Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.06 19:00:00,1_63117638294E-05
2024.08.06 20:00:00,1_5953930415E-05
2024.08.06 21:00:00,1_55520046974E-05
2024.08.06 22:00:00,1_51569774971E-05
2024.08.06 23:00:00,1_48098069985E-05
2024.08.07 00:00:00,1_44820487549E-05
2024.08.07 01:00:00,1_41595191963E-05
2024.08.07 02:00:00,1_38159621201E-05
2024.08.07 03:00:00,1_35402142405E-05
2024.08.07 04:00:00,1_3249931726E-05
2024.08.07 05:00:00,1_30388216348E-05
2024.08.07 06:00:00,1_28066376419E-05
2024.08.07 07:00:00,1_25077167468E-05
2024.08.07 08:00:00,1_23163044918E-05
2024.08.07 09:00:00,1_2100159438E-05
2024.08.07 10:00:00,1_1888237168E-05
2024.08.07 11:00:00,1_16826222438E-05
2024.08.07 12:00:00,1_14370759547E-05
2024.08.07 13:00:00,1_12628104034E-05
2024.08.07 14:00:00,1_10121354737E-05
2024.08.07 15:00:00,1_08121284939E-05
2024.08.07 16:00:00,1_06352381408E-05
2024.08.07 17:00:00,1_04732125692E-05
2024.08.07 18:00:00,1_03353495433E-05
2024.08.07 19:00:00,1_01999157778E-05
2024.08.07 20:00:00,9_71827375906E-06
2024.08.07 21:00:00,9_3580556495E-06
2024.08.07 22:00:00,9_18830664887E-06
2024.08.07 23:00:00,9_23253992369E-06
2024.08.08 00:00:00,9_42278711591E-06
2024.08.08 01:00:00,9_33783030632E-06
2024.08.08 02:00:00,9_17892975849E-06
2024.08.08 03:00:00,8_77675029187E-06
2024.08.08 04:00:00,8_65413949214E-06
2024.08.08 05:00:00,1_306024933E-05
2024.08.08 06:00:00,2_06514305319E-05
2024.08.08 07:00:00,2_91535907309E-05
2024.08.08 08:00:00,3_62089922419E-05
2024.08.08 09:00:00,3_99691161874E-05
2024.08.08 10:00:00,3_81510144507E-05
2024.08.08 11:00:00,3_6579753214E-05
2024.08.08 12:00:00,3_59870864486E-05
2024.08.08 13:00:00,3_6728244595E-05
2024.08.08 14:00:00,3_66488020518E-05
2024.08.08 15:00:00,3_17912199534E-05
2024.08.08 16:00:00,2_83464869426E-05
2024.08.08 17:00:00,2_66153874691E-05
2024.08.08 18:00:00,2_61842633336E-05
2024.08.08 19:00:00,2_62708908849E-05
2024.08.08 20:00:00,2_58783311438E-05
2024.08.08 21:00:00,2_570268407E-05
2024.08.08 22:00:00,2_62565063167E-05
2024.08.08 23:00:00,2_51397104876E-05
2024.08.09 00:00:00,2_3480022719E-05
2024.08.09 01:00:00,2_25598523684E-05
2024.08.09 02:00:00,2_17821107071E-05
2024.08.09 03:00:00,2_10291036638E-05
2024.08.09 04:00:00,2_0323013814E-05
2024.08.09 05:00:00,1_9635688659E-05
2024.08.09 06:00:00,1_89251732081E-05
2024.08.09 07:00:00,1_81552186405E-05
2024.08.09 08:00:00,1_72867330548E-05
2024.08.09 09:00:00,1_66558893397E-05
2024.08.09 10:00:00,1_64730390679E-05
2024.08.09 11:00:00,1_63821496244E-05
2024.08.09 12:00:00,1_55795150931E-05
2024.08.09 13:00:00,1_39084131661E-05
2024.08.09 14:00:00,1_45822323248E-05
2024.08.09 15:00:00,1_4909111087E-05
2024.08.09 16:00:00,1_46411566675E-05
2024.08.09 17:00:00,1_42698909258E-05
2024.08.09 18:00:00,1_38482282637E-05
2024.08.09 19:00:00,1_3473686522E-05
2024.08.09 20:00:00,1_31575361593E-05
2024.08.09 21:00:00,1_28659157781E-05
2024.08.09 22:00:00,1_25592041513E-05
2024.08.09 23:00:00,1_22200990518E-05
2024.08.10 00:00:00,1_20327504192E-05
2024.08.10 01:00:00,1_18239304356E-05
2024.08.10 02:00:00,1_16003238873E-05
2024.08.10 03:00:00,1_13679489004E-05
2024.08.10 04:00:00,1_11678518806E-05
2024.08.10 05:00:00,1_43920979099E-05
2024.08.10 06:00:00,2_09964273381E-05
2024.08.10 07:00:00,2_7953148674E-05
2024.08.10 08:00:00,3_41911909345E-05
2024.08.10 09:00:00,3_77752585337E-05
2024.08.10 10:00:00,3_91646753997E-05
2024.08.10 11:00:00,3_91501816921E-05
2024.08.10 12:00:00,3_90180430259E-05
2024.08.10 13:00:00,3_81081772503E-05
2024.08.10 14:00:00,3_67031716451E-05
2024.08.10 15:00:00,3_53990362782E-05
2024.08.10 16:00:00,3_39579673891E-05
2024.08.10 17:00:00,3_27990201185E-05
2024.08.10 18:00:00,3_1668041629E-05
2024.08.10 19:00:00,3_05240100715E-05
2024.08.10 20:00:00,2_95160152746E-05
2024.08.10 21:00:00,2_8540049243E-05
2024.08.10 22:00:00,2_76187347481E-05
2024.08.10 23:00:00,2_67635768978E-05
2024.08.11 00:00:00,2_59538701357E-05
2024.08.11 01:00:00,2_51835444942E-05
2024.08.11 02:00:00,2_44590610237E-05
2024.08.11 03:00:00,2_37851345446E-05
2024.08.11 04:00:00,2_31552130572E-05
2024.08.11 05:00:00,2_25531675824E-05
2024.08.11 06:00:00,2_19658959395E-05
2024.08.11 07:00:00,2_14083775063E-05
2024.08.11 08:00:00,2_08575129363E-05
2024.08.11 09:00:00,2_03403305932E-05
2024.08.11 10:00:00,1_98529851332E-05
2024.08.11 11:00:00,1_93583928194E-05
2024.08.11 12:00:00,1_88712801901E-05
2024.08.11 13:00:00,1_8386528609E-05
2024.08.11 14:00:00,1_79465405381E-05
2024.08.11 15:00:00,1_75231871253E-05
2024.08.11 16:00:00,1_71202027559E-05
2024.08.11 17:00:00,1_67289290403E-05
2024.08.11 18:00:00,1_63703844009E-05
2024.08.11 19:00:00,1_60433901328E-05
2024.08.11 20:00:00,1_57411923283E-05
2024.08.11 21:00:00,1_54500012286E-05
2024.08.11 22:00:00,1_51733374878E-05
2024.08.11 23:00:00,1_48978260768E-05
2024.08.12 00:00:00,1_46364718603E-05
2024.08.12 01:00:00,1_43767056215E-05
2024.08.12 02:00:00,1_4117327737E-05
2024.08.12 03:00:00,1_38631403388E-05
2024.08.12 04:00:00,1_36156741064E-05
2024.08.12 05:00:00,1_61523057614E-05
2024.08.12 06:00:00,2_15281343117E-05
