Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.06 19:00:00,3_67813772755E-05
2024.08.06 20:00:00,3_85717175959E-05
2024.08.06 21:00:00,4_00131575589E-05
2024.08.06 22:00:00,4_10701723013E-05
2024.08.06 23:00:00,4_14415626437E-05
2024.08.07 00:00:00,4_07971165259E-05
2024.08.07 01:00:00,3_92857509723E-05
2024.08.07 02:00:00,3_73906368623E-05
2024.08.07 03:00:00,3_55100200977E-05
2024.08.07 04:00:00,3_40115002473E-05
2024.08.07 05:00:00,3_29261856677E-05
2024.08.07 06:00:00,3_21987317875E-05
2024.08.07 07:00:00,3_15831057378E-05
2024.08.07 08:00:00,3_09679744532E-05
2024.08.07 09:00:00,3_04963159579E-05
2024.08.07 10:00:00,3_01910476992E-05
2024.08.07 11:00:00,3_01410327666E-05
2024.08.07 12:00:00,3_05346293317E-05
2024.08.07 13:00:00,3_11016883643E-05
2024.08.07 14:00:00,3_1245588616E-05
2024.08.07 15:00:00,3_08649941871E-05
2024.08.07 16:00:00,3_0388495361E-05
2024.08.07 17:00:00,3_00981228065E-05
2024.08.07 18:00:00,3_01297841361E-05
2024.08.07 19:00:00,3_06342772092E-05
2024.08.07 20:00:00,3_14941316901E-05
2024.08.07 21:00:00,3_25058463204E-05
2024.08.07 22:00:00,3_34870055667E-05
2024.08.07 23:00:00,3_45337502949E-05
2024.08.08 00:00:00,3_52971837856E-05
2024.08.08 01:00:00,3_58393554052E-05
2024.08.08 02:00:00,3_63413673767E-05
2024.08.08 03:00:00,3_69914559997E-05
2024.08.08 04:00:00,3_7653833715E-05
2024.08.08 05:00:00,3_82322614314E-05
2024.08.08 06:00:00,3_87632171623E-05
2024.08.08 07:00:00,3_93101508962E-05
2024.08.08 08:00:00,3_99268574256E-05
2024.08.08 09:00:00,4_05865430366E-05
2024.08.08 10:00:00,4_17126502725E-05
2024.08.08 11:00:00,4_43152712251E-05
2024.08.08 12:00:00,4_79628724861E-05
2024.08.08 13:00:00,5_03034170833E-05
2024.08.08 14:00:00,5_06030628458E-05
2024.08.08 15:00:00,5_11438811373E-05
2024.08.08 16:00:00,5_21490837855E-05
2024.08.08 17:00:00,5_29245044163E-05
2024.08.08 18:00:00,5_27795746166E-05
2024.08.08 19:00:00,5_12934493599E-05
2024.08.08 20:00:00,4_97765067848E-05
2024.08.08 21:00:00,4_75581400678E-05
2024.08.08 22:00:00,4_5203447371E-05
2024.08.08 23:00:00,4_34034445789E-05
2024.08.09 00:00:00,4_18085874117E-05
2024.08.09 01:00:00,4_0534974687E-05
2024.08.09 02:00:00,3_93880945921E-05
2024.08.09 03:00:00,3_82600192097E-05
2024.08.09 04:00:00,3_72823888029E-05
2024.08.09 05:00:00,3_65391279047E-05
2024.08.09 06:00:00,3_60133708455E-05
2024.08.09 07:00:00,3_5670465877E-05
2024.08.09 08:00:00,3_54635194526E-05
2024.08.09 09:00:00,3_5302600736E-05
2024.08.09 10:00:00,3_51688140654E-05
2024.08.09 11:00:00,3_53258328687E-05
2024.08.09 12:00:00,3_65640662494E-05
2024.08.09 13:00:00,3_86504143535E-05
2024.08.09 14:00:00,4_01653051085E-05
2024.08.09 15:00:00,4_00630633521E-05
2024.08.09 16:00:00,3_95774113713E-05
2024.08.09 17:00:00,3_92116999137E-05
2024.08.09 18:00:00,3_86991232517E-05
2024.08.09 19:00:00,3_80936617148E-05
2024.08.09 20:00:00,3_74778428522E-05
2024.08.09 21:00:00,3_69588851754E-05
2024.08.09 22:00:00,3_65494670405E-05
2024.08.09 23:00:00,3_61321617675E-05
2024.08.10 00:00:00,3_57598401024E-05
2024.08.10 01:00:00,3_53982723027E-05
2024.08.10 02:00:00,3_50212030753E-05
2024.08.10 03:00:00,3_47081077052E-05
2024.08.10 04:00:00,3_44841719198E-05
2024.08.10 05:00:00,3_43642059306E-05
2024.08.10 06:00:00,3_44107902492E-05
2024.08.10 07:00:00,3_45352345903E-05
2024.08.10 08:00:00,3_47291315848E-05
2024.08.10 09:00:00,3_5009583371E-05
2024.08.10 10:00:00,3_55643169314E-05
2024.08.10 11:00:00,3_66420899809E-05
2024.08.10 12:00:00,3_7879577576E-05
2024.08.10 13:00:00,3_85396306228E-05
2024.08.10 14:00:00,3_8557795051E-05
2024.08.10 15:00:00,3_83970836992E-05
2024.08.10 16:00:00,3_81645586458E-05
2024.08.10 17:00:00,3_78172844648E-05
2024.08.10 18:00:00,3_72836293536E-05
2024.08.10 19:00:00,3_66834683518E-05
2024.08.10 20:00:00,3_60849662684E-05
2024.08.10 21:00:00,3_55144620698E-05
2024.08.10 22:00:00,3_49358633684E-05
2024.08.10 23:00:00,3_44128093275E-05
2024.08.11 00:00:00,3_40034930559E-05
2024.08.11 01:00:00,3_37301862601E-05
2024.08.11 02:00:00,3_35900367645E-05
2024.08.11 03:00:00,3_35293734679E-05
2024.08.11 04:00:00,3_35295371769E-05
2024.08.11 05:00:00,3_35512049787E-05
2024.08.11 06:00:00,3_35231052304E-05
2024.08.11 07:00:00,3_34395372192E-05
2024.08.11 08:00:00,3_33512907673E-05
2024.08.11 09:00:00,3_33343377861E-05
2024.08.11 10:00:00,3_33754469466E-05
2024.08.11 11:00:00,3_34340220434E-05
2024.08.11 12:00:00,3_35277363774E-05
2024.08.11 13:00:00,3_36049051839E-05
2024.08.11 14:00:00,3_35633048962E-05
2024.08.11 15:00:00,3_33416501235E-05
2024.08.11 16:00:00,3_30088660121E-05
2024.08.11 17:00:00,3_26522604155E-05
2024.08.11 18:00:00,3_23379354086E-05
2024.08.11 19:00:00,3_21088191413E-05
2024.08.11 20:00:00,3_19493192364E-05
2024.08.11 21:00:00,3_18503152812E-05
2024.08.11 22:00:00,3_18080674333E-05
2024.08.11 23:00:00,3_18091333611E-05
2024.08.12 00:00:00,3_18559577863E-05
2024.08.12 01:00:00,3_19576611219E-05
2024.08.12 02:00:00,3_21089282806E-05
2024.08.12 03:00:00,3_22968007822E-05
2024.08.12 04:00:00,3_25034197886E-05
2024.08.12 05:00:00,3_27047200699E-05
2024.08.12 06:00:00,3_28725400323E-05
2024.08.12 07:00:00,3_29815447913E-05
2024.08.12 08:00:00,3_30028342432E-05
2024.08.12 09:00:00,3_29225222231E-05
2024.08.12 10:00:00,3_27708257828E-05
2024.08.12 11:00:00,3_25558321492E-05
2024.08.12 12:00:00,3_22902124026E-05
2024.08.12 13:00:00,3_20407780237E-05
2024.08.12 14:00:00,3_1869061786E-05
2024.08.12 15:00:00,3_18396487273E-05
2024.08.12 16:00:00,3_18172642437E-05
2024.08.12 17:00:00,3_16643490805E-05
2024.08.12 18:00:00,3_1464453059E-05
2024.08.12 19:00:00,3_12892843795E-05
2024.08.12 20:00:00,3_11652656819E-05
2024.08.12 21:00:00,3_10854520649E-05
2024.08.12 22:00:00,3_10269606416E-05
2024.08.12 23:00:00,3_10177238134E-05
2024.08.13 00:00:00,3_10465766233E-05
2024.08.13 01:00:00,3_11129806505E-05
2024.08.13 02:00:00,3_11935873469E-05
2024.08.13 03:00:00,3_12754236802E-05
2024.08.13 04:00:00,3_13394048135E-05
2024.08.13 05:00:00,3_13694145007E-05
2024.08.13 06:00:00,3_1388233765E-05
2024.08.13 07:00:00,3_14052958856E-05
2024.08.13 08:00:00,3_14215976687E-05
2024.08.13 09:00:00,3_13466734951E-05
2024.08.13 10:00:00,3_11212170345E-05
2024.08.13 11:00:00,3_07993577735E-05
2024.08.13 12:00:00,3_04803052131E-05
2024.08.13 13:00:00,3_02486314467E-05
2024.08.13 14:00:00,3_01520631183E-05
2024.08.13 15:00:00,3_01233831124E-05
2024.08.13 16:00:00,3_01051204588E-05
2024.08.13 17:00:00,3_00717038044E-05
2024.08.13 18:00:00,3_00878491544E-05
2024.08.13 19:00:00,3_01874242723E-05
2024.08.13 20:00:00,3_03596734739E-05
2024.08.13 21:00:00,3_05588437186E-05
2024.08.13 22:00:00,3_07523005176E-05
2024.08.13 23:00:00,3_0899012927E-05
2024.08.14 00:00:00,3_09822207782E-05
2024.08.14 01:00:00,3_10277646349E-05
2024.08.14 02:00:00,3_09955612465E-05
2024.08.14 03:00:00,3_10641771648E-05
2024.08.14 04:00:00,3_11599214911E-05
2024.08.14 05:00:00,3_12649281113E-05
2024.08.14 06:00:00,3_13749078487E-05
2024.08.14 07:00:00,3_14854623866E-05
2024.08.14 08:00:00,3_15845609293E-05
2024.08.14 09:00:00,3_16397672577E-05
2024.08.14 10:00:00,3_16557670885E-05
2024.08.14 11:00:00,3_16641562677E-05
2024.08.14 12:00:00,3_16856348945E-05
2024.08.14 13:00:00,3_17261583405E-05
2024.08.14 14:00:00,3_17359554174E-05
2024.08.14 15:00:00,3_1744599255E-05
2024.08.14 16:00:00,3_17349258694E-05
2024.08.14 17:00:00,3_17036901833E-05
2024.08.14 18:00:00,3_16850273521E-05
2024.08.14 19:00:00,3_16625300911E-05
2024.08.14 20:00:00,3_16195037158E-05
2024.08.14 21:00:00,3_15735887852E-05
2024.08.14 22:00:00,3_15103679895E-05
2024.08.14 23:00:00,3_14513017656E-05
2024.08.15 00:00:00,3_14003773383E-05
2024.08.15 01:00:00,3_13605705742E-05
2024.08.15 02:00:00,3_13109485433E-05
2024.08.15 03:00:00,3_12548945658E-05
2024.08.15 04:00:00,3_1188428693E-05
2024.08.15 05:00:00,3_11064031848E-05
2024.08.15 06:00:00,3_10111354338E-05
2024.08.15 07:00:00,3_08983326249E-05
2024.08.15 08:00:00,3_07774353132E-05
2024.08.15 09:00:00,3_06699257635E-05
2024.08.15 10:00:00,3_05887224386E-05
2024.08.15 11:00:00,3_05187422782E-05
2024.08.15 12:00:00,3_04675941152E-05
2024.08.15 13:00:00,3_04453624267E-05
2024.08.15 14:00:00,3_04556670017E-05
2024.08.15 15:00:00,3_04834502458E-05
2024.08.15 16:00:00,3_05286994262E-05
2024.08.15 17:00:00,3_0550880183E-05
2024.08.15 18:00:00,3_05226567434E-05
2024.08.15 19:00:00,3_04686363961E-05
2024.08.15 20:00:00,3_0378181691E-05
2024.08.15 21:00:00,3_02740645566E-05
2024.08.15 22:00:00,3_01624822896E-05
2024.08.15 23:00:00,3_00491064991E-05
2024.08.16 00:00:00,2_9918819564E-05
2024.08.16 01:00:00,2_97792139463E-05
2024.08.16 02:00:00,2_96337548207E-05
2024.08.16 03:00:00,2_94880028378E-05
2024.08.16 04:00:00,2_93507382594E-05
2024.08.16 05:00:00,2_92201584671E-05
2024.08.16 06:00:00,2_90994576062E-05
2024.08.16 07:00:00,2_89888121188E-05
2024.08.16 08:00:00,2_88818173431E-05
2024.08.16 09:00:00,2_87610273517E-05
2024.08.16 10:00:00,2_86127124127E-05
2024.08.16 11:00:00,2_84248399112E-05
2024.08.16 12:00:00,2_820291229E-05
2024.08.16 13:00:00,2_79737323581E-05
2024.08.16 14:00:00,2_77847848338E-05
2024.08.16 15:00:00,2_76750906778E-05
2024.08.16 16:00:00,2_76270529866E-05
2024.08.16 17:00:00,2_76227656286E-05
2024.08.16 18:00:00,2_76408300124E-05
2024.08.16 19:00:00,2_76701557596E-05
2024.08.16 20:00:00,2_77125745924E-05
2024.08.16 21:00:00,2_77629278571E-05
2024.08.16 22:00:00,2_7812036933E-05
2024.08.16 23:00:00,2_78514198726E-05
2024.08.17 00:00:00,2_78757815977E-05
2024.08.17 01:00:00,2_78905281448E-05
2024.08.17 02:00:00,2_7895643143E-05
2024.08.17 03:00:00,2_78862498817E-05
2024.08.17 04:00:00,2_78695843008E-05
2024.08.17 05:00:00,2_78528423223E-05
2024.08.17 06:00:00,2_78176903521E-05
2024.08.17 07:00:00,2_77173294307E-05
2024.08.17 08:00:00,2_74802587228E-05
2024.08.17 09:00:00,2_71613607765E-05
2024.08.17 10:00:00,2_68867661362E-05
2024.08.17 11:00:00,2_67138020718E-05
2024.08.17 12:00:00,2_66829520115E-05
2024.08.17 13:00:00,2_67958985205E-05
2024.08.17 14:00:00,2_70240598184E-05
2024.08.17 15:00:00,2_72696925094E-05
2024.08.17 16:00:00,2_74508111033E-05
2024.08.17 17:00:00,2_75651182164E-05
2024.08.17 18:00:00,2_76330538327E-05
2024.08.17 19:00:00,2_7668702387E-05
2024.08.17 20:00:00,2_76811224467E-05
2024.08.17 21:00:00,2_76697483059E-05
2024.08.17 22:00:00,2_76396131085E-05
2024.08.17 23:00:00,2_75945876638E-05
2024.08.18 00:00:00,2_75377187791E-05
2024.08.18 01:00:00,2_74924277619E-05
2024.08.18 02:00:00,2_74516296486E-05
2024.08.18 03:00:00,2_74158301181E-05
2024.08.18 04:00:00,2_7382202461E-05
2024.08.18 05:00:00,2_73414643743E-05
2024.08.18 06:00:00,2_72976230917E-05
2024.08.18 07:00:00,2_72536108241E-05
2024.08.18 08:00:00,2_72341876553E-05
2024.08.18 09:00:00,2_72240340564E-05
2024.08.18 10:00:00,2_72036613751E-05
2024.08.18 11:00:00,2_71761291515E-05
2024.08.18 12:00:00,2_71445478575E-05
2024.08.18 13:00:00,2_71326916845E-05
2024.08.18 14:00:00,2_71788376267E-05
2024.08.18 15:00:00,2_72979850706E-05
2024.08.18 16:00:00,2_74299436569E-05
2024.08.18 17:00:00,2_75282563962E-05
2024.08.18 18:00:00,2_75900474662E-05
2024.08.18 19:00:00,2_75938728009E-05
2024.08.18 20:00:00,2_75660077023E-05
2024.08.18 21:00:00,2_75190777757E-05
2024.08.18 22:00:00,2_74648155028E-05
2024.08.18 23:00:00,2_73958830803E-05
2024.08.19 00:00:00,2_73400419246E-05
