Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.07 08:00:00,0_000110138884338
2024.08.07 09:00:00,0_000109142689325
2024.08.07 10:00:00,0_000108147985884
2024.08.07 11:00:00,0_000107120104076
2024.08.07 12:00:00,0_000105587641883
2024.08.07 13:00:00,0_000105182123662
2024.08.07 14:00:00,0_000103505444713
2024.08.07 15:00:00,0_000102475067251
2024.08.07 16:00:00,0_000101531382825
2024.08.07 17:00:00,0_000100629804365
2024.08.07 18:00:00,0_000100065721199
2024.08.07 19:00:00,9_96718808892E-05
2024.08.07 20:00:00,9_56085714279E-05
2024.08.07 21:00:00,9_26070861169E-05
2024.08.07 22:00:00,9_14834308787E-05
2024.08.07 23:00:00,9_27414293983E-05
2024.08.08 00:00:00,9_53980779741E-05
2024.08.08 01:00:00,9_49339882936E-05
2024.08.08 02:00:00,9_4019495009E-05
2024.08.08 03:00:00,9_08246292965E-05
2024.08.08 04:00:00,9_00783343241E-05
2024.08.08 05:00:00,9_19638987398E-05
2024.08.08 06:00:00,9_14503834792E-05
2024.08.08 07:00:00,9_07489520614E-05
2024.08.08 08:00:00,8_98252255865E-05
2024.08.08 09:00:00,8_88398790266E-05
2024.08.08 10:00:00,7_92040955275E-05
2024.08.08 11:00:00,7_44411154301E-05
2024.08.08 12:00:00,7_40369650885E-05
2024.08.08 13:00:00,7_3256676842E-05
2024.08.08 14:00:00,7_30515021132E-05
2024.08.08 15:00:00,6_8772911618E-05
2024.08.08 16:00:00,6_9293906563E-05
2024.08.08 17:00:00,6_80877055856E-05
2024.08.08 18:00:00,6_83512043906E-05
2024.08.08 19:00:00,6_82426107232E-05
2024.08.08 20:00:00,6_92462272127E-05
2024.08.08 21:00:00,7_15279311407E-05
2024.08.08 22:00:00,7_49090104364E-05
2024.08.08 23:00:00,7_45350844227E-05
2024.08.09 00:00:00,7_45178476791E-05
2024.08.09 01:00:00,7_41301992093E-05
2024.08.09 02:00:00,7_35644716769E-05
2024.08.09 03:00:00,7_30736064725E-05
2024.08.09 04:00:00,7_23139601178E-05
2024.08.09 05:00:00,7_14110938134E-05
2024.08.09 06:00:00,7_05767670297E-05
2024.08.09 07:00:00,6_96580464137E-05
2024.08.09 08:00:00,6_84127880959E-05
2024.08.09 09:00:00,6_76794079482E-05
2024.08.09 10:00:00,6_78539145156E-05
2024.08.09 11:00:00,6_79872100591E-05
2024.08.09 12:00:00,6_57484124531E-05
2024.08.09 13:00:00,6_04224733252E-05
2024.08.09 14:00:00,6_51592417853E-05
2024.08.09 15:00:00,6_64416293148E-05
2024.08.09 16:00:00,6_61098893033E-05
2024.08.09 17:00:00,6_56782867736E-05
2024.08.09 18:00:00,6_52275703033E-05
2024.08.09 19:00:00,6_48162458674E-05
2024.08.09 20:00:00,6_41735896352E-05
2024.08.09 21:00:00,6_38564670226E-05
2024.08.09 22:00:00,6_30185531918E-05
2024.08.09 23:00:00,6_19939673925E-05
2024.08.10 00:00:00,6_21100552962E-05
2024.08.10 01:00:00,6_19354832452E-05
2024.08.10 02:00:00,6_1502069002E-05
2024.08.10 03:00:00,6_09850867477E-05
2024.08.10 04:00:00,6_07991823927E-05
2024.08.10 05:00:00,6_05854547757E-05
2024.08.10 06:00:00,6_01974716119E-05
2024.08.10 07:00:00,5_98090191488E-05
2024.08.10 08:00:00,5_93132426729E-05
2024.08.10 09:00:00,5_90515373915E-05
2024.08.10 10:00:00,5_86797104916E-05
2024.08.10 11:00:00,5_82376924285E-05
2024.08.10 12:00:00,5_76543970965E-05
2024.08.10 13:00:00,5_69351905142E-05
2024.08.10 14:00:00,5_63457033422E-05
2024.08.10 15:00:00,5_59676191187E-05
2024.08.10 16:00:00,5_56438935746E-05
2024.08.10 17:00:00,5_5585805967E-05
2024.08.10 18:00:00,5_5312688346E-05
2024.08.10 19:00:00,5_50448312424E-05
2024.08.10 20:00:00,5_47228046344E-05
2024.08.10 21:00:00,5_44773138245E-05
2024.08.10 22:00:00,5_42884736205E-05
2024.08.10 23:00:00,5_40315086255E-05
2024.08.11 00:00:00,5_38877502549E-05
2024.08.11 01:00:00,5_36735969945E-05
2024.08.11 02:00:00,5_35019025847E-05
2024.08.11 03:00:00,5_33277416253E-05
2024.08.11 04:00:00,5_31825826329E-05
2024.08.11 05:00:00,5_29846984136E-05
