Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.06 19:00:00,4_37900479766E-11
2024.08.06 20:00:00,4_38832060967E-11
2024.08.06 21:00:00,4_39766903448E-11
2024.08.06 22:00:00,4_40668751489E-11
2024.08.06 23:00:00,4_4141558464E-11
2024.08.07 00:00:00,4_42995050365E-11
2024.08.07 01:00:00,4_45241100933E-11
2024.08.07 02:00:00,4_47531352255E-11
2024.08.07 03:00:00,4_49521253554E-11
2024.08.07 04:00:00,4_51479582886E-11
2024.08.07 05:00:00,4_5272750826E-11
2024.08.07 06:00:00,4_54188076038E-11
2024.08.07 07:00:00,4_56041246433E-11
2024.08.07 08:00:00,4_58467500075E-11
2024.08.07 09:00:00,4_60059629281E-11
2024.08.07 10:00:00,4_61282817499E-11
2024.08.07 11:00:00,4_62356333775E-11
2024.08.07 12:00:00,4_636371842E-11
2024.08.07 13:00:00,4_65424469798E-11
2024.08.07 14:00:00,4_6747137411E-11
2024.08.07 15:00:00,4_6948837179E-11
2024.08.07 16:00:00,4_71207239894E-11
2024.08.07 17:00:00,4_72631100923E-11
2024.08.07 18:00:00,4_73910945209E-11
2024.08.07 19:00:00,4_75374913045E-11
2024.08.07 20:00:00,4_77210458649E-11
2024.08.07 21:00:00,4_80406478487E-11
2024.08.07 22:00:00,4_83608535162E-11
2024.08.07 23:00:00,4_86400607291E-11
2024.08.08 00:00:00,4_89466453479E-11
2024.08.08 01:00:00,4_92334714663E-11
2024.08.08 02:00:00,4_94379814864E-11
2024.08.08 03:00:00,4_96467901512E-11
2024.08.08 04:00:00,4_99514665742E-11
2024.08.08 05:00:00,5_02819591519E-11
2024.08.08 06:00:00,5_06009713297E-11
2024.08.08 07:00:00,5_0983228056E-11
2024.08.08 08:00:00,5_14272652241E-11
2024.08.08 09:00:00,5_18672153837E-11
2024.08.08 10:00:00,5_27221773183E-11
2024.08.08 11:00:00,5_56648824257E-11
2024.08.08 12:00:00,6_6005763355E-11
2024.08.08 13:00:00,8_59153095889E-11
2024.08.08 14:00:00,9_7422063472E-11
2024.08.08 15:00:00,1_33970223803E-10
2024.08.08 16:00:00,2_52664777989E-10
2024.08.08 17:00:00,4_60028681815E-10
2024.08.08 18:00:00,5_25451293587E-10
2024.08.08 19:00:00,5_47239975557E-10
2024.08.08 20:00:00,5_82655423909E-10
2024.08.08 21:00:00,6_317467105E-10
2024.08.08 22:00:00,7_00101809858E-10
2024.08.08 23:00:00,8_01063937406E-10
2024.08.09 00:00:00,9_08476571748E-10
2024.08.09 01:00:00,1_03850905653E-09
2024.08.09 02:00:00,1_19152576694E-09
2024.08.09 03:00:00,1_31819044569E-09
2024.08.09 04:00:00,1_4569391249E-09
2024.08.09 05:00:00,1_59291091428E-09
2024.08.09 06:00:00,1_67836256004E-09
2024.08.09 07:00:00,1_75279846193E-09
2024.08.09 08:00:00,1_85737980551E-09
2024.08.09 09:00:00,1_97722549444E-09
2024.08.09 10:00:00,2_17553175474E-09
2024.08.09 11:00:00,2_82405920871E-09
2024.08.09 12:00:00,4_07964462212E-09
2024.08.09 13:00:00,5_39289057855E-09
2024.08.09 14:00:00,5_68692382075E-09
2024.08.09 15:00:00,5_63770496953E-09
2024.08.09 16:00:00,5_46262146628E-09
2024.08.09 17:00:00,5_40600408883E-09
2024.08.09 18:00:00,5_26614662988E-09
2024.08.09 19:00:00,5_24201304586E-09
2024.08.09 20:00:00,5_2784474569E-09
2024.08.09 21:00:00,5_37536060108E-09
2024.08.09 22:00:00,5_63872903925E-09
2024.08.09 23:00:00,5_95864912967E-09
2024.08.10 00:00:00,6_1439320298E-09
2024.08.10 01:00:00,6_19724938034E-09
2024.08.10 02:00:00,6_22479623402E-09
2024.08.10 03:00:00,6_28957508297E-09
2024.08.10 04:00:00,6_35796348902E-09
2024.08.10 05:00:00,6_45500586316E-09
2024.08.10 06:00:00,6_58566623457E-09
2024.08.10 07:00:00,6_71350974812E-09
2024.08.10 08:00:00,6_88514978364E-09
2024.08.10 09:00:00,7_09720993086E-09
2024.08.10 10:00:00,7_42529548958E-09
2024.08.10 11:00:00,7_92478793699E-09
2024.08.10 12:00:00,8_45755465662E-09
2024.08.10 13:00:00,8_69148930605E-09
2024.08.10 14:00:00,8_6802840471E-09
2024.08.10 15:00:00,8_71708127903E-09
2024.08.10 16:00:00,8_67930616266E-09
2024.08.10 17:00:00,8_56657678128E-09
2024.08.10 18:00:00,8_54219273094E-09
2024.08.10 19:00:00,8_58308624174E-09
2024.08.10 20:00:00,8_63997140499E-09
2024.08.10 21:00:00,8_72141114883E-09
2024.08.10 22:00:00,8_83304718258E-09
2024.08.10 23:00:00,8_92224871762E-09
2024.08.11 00:00:00,9_01572239087E-09
2024.08.11 01:00:00,9_09642228208E-09
2024.08.11 02:00:00,9_17009224111E-09
2024.08.11 03:00:00,9_23669585262E-09
2024.08.11 04:00:00,9_29138010974E-09
2024.08.11 05:00:00,9_31795085535E-09
2024.08.11 06:00:00,9_37444788462E-09
2024.08.11 07:00:00,9_42504563284E-09
2024.08.11 08:00:00,9_47348155478E-09
2024.08.11 09:00:00,9_5360146446E-09
2024.08.11 10:00:00,9_63091295603E-09
2024.08.11 11:00:00,9_74100267115E-09
2024.08.11 12:00:00,9_89636816939E-09
2024.08.11 13:00:00,1_00357899768E-08
2024.08.11 14:00:00,1_00896633271E-08
2024.08.11 15:00:00,1_00584687246E-08
2024.08.11 16:00:00,1_00024601934E-08
2024.08.11 17:00:00,9_97574822748E-09
2024.08.11 18:00:00,9_96488935812E-09
2024.08.11 19:00:00,1_00198587205E-08
2024.08.11 20:00:00,1_01055235291E-08
2024.08.11 21:00:00,1_0182368726E-08
2024.08.11 22:00:00,1_02547437209E-08
2024.08.11 23:00:00,1_03326254219E-08
2024.08.12 00:00:00,1_0419054064E-08
2024.08.12 01:00:00,1_04875974571E-08
2024.08.12 02:00:00,1_05517914406E-08
2024.08.12 03:00:00,1_06310151793E-08
2024.08.12 04:00:00,1_07144622064E-08
2024.08.12 05:00:00,1_07821387374E-08
2024.08.12 06:00:00,1_0856214594E-08
