Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.07 08:00:00,0_000104410362837
2024.08.07 09:00:00,0_000103521655547
2024.08.07 10:00:00,0_00010178998491
2024.08.07 11:00:00,0_000100355697214
2024.08.07 12:00:00,9_78595853667E-05
2024.08.07 13:00:00,9_73766291281E-05
2024.08.07 14:00:00,9_59393946687E-05
2024.08.07 15:00:00,9_51462789089E-05
2024.08.07 16:00:00,9_51021793298E-05
2024.08.07 17:00:00,9_50865214691E-05
2024.08.07 18:00:00,9_55788273131E-05
2024.08.07 19:00:00,9_59441094892E-05
2024.08.07 20:00:00,9_61391269811E-05
2024.08.07 21:00:00,9_58772870945E-05
2024.08.07 22:00:00,9_54882416409E-05
2024.08.07 23:00:00,9_51404799707E-05
2024.08.08 00:00:00,9_46379223024E-05
2024.08.08 01:00:00,9_3332171673E-05
2024.08.08 02:00:00,9_23059196793E-05
2024.08.08 03:00:00,9_19713056646E-05
2024.08.08 04:00:00,9_12238683668E-05
2024.08.08 05:00:00,9_03398031369E-05
2024.08.08 06:00:00,8_94783734111E-05
2024.08.08 07:00:00,8_86627967702E-05
2024.08.08 08:00:00,8_77469719853E-05
2024.08.08 09:00:00,8_67606941028E-05
2024.08.08 10:00:00,8_66166665219E-05
2024.08.08 11:00:00,8_64308749442E-05
2024.08.08 12:00:00,8_58396670083E-05
2024.08.08 13:00:00,8_45092508825E-05
2024.08.08 14:00:00,8_30696153571E-05
2024.08.08 15:00:00,8_2054430095E-05
2024.08.08 16:00:00,8_15570820123E-05
2024.08.08 17:00:00,8_07008327683E-05
2024.08.08 18:00:00,7_93711005826E-05
2024.08.08 19:00:00,7_7709541074E-05
2024.08.08 20:00:00,7_65285440139E-05
2024.08.08 21:00:00,7_5711410318E-05
2024.08.08 22:00:00,7_47996382415E-05
2024.08.08 23:00:00,7_37675727578E-05
2024.08.09 00:00:00,7_34707573429E-05
2024.08.09 01:00:00,7_29210441932E-05
2024.08.09 02:00:00,7_26038997527E-05
2024.08.09 03:00:00,7_21090618754E-05
2024.08.09 04:00:00,7_15411733836E-05
2024.08.09 05:00:00,7_1010501415E-05
2024.08.09 06:00:00,7_04432968632E-05
2024.08.09 07:00:00,6_94007685524E-05
2024.08.09 08:00:00,6_77056159475E-05
2024.08.09 09:00:00,6_60623700242E-05
2024.08.09 10:00:00,6_51300724712E-05
2024.08.09 11:00:00,6_56407137285E-05
2024.08.09 12:00:00,6_69796645525E-05
2024.08.09 13:00:00,6_76712079439E-05
2024.08.09 14:00:00,6_80630400893E-05
2024.08.09 15:00:00,6_7404776928E-05
2024.08.09 16:00:00,6_64537947159E-05
2024.08.09 17:00:00,6_56109405099E-05
2024.08.09 18:00:00,6_48838322377E-05
2024.08.09 19:00:00,6_43975290586E-05
2024.08.09 20:00:00,6_38223573333E-05
2024.08.09 21:00:00,6_34343887214E-05
2024.08.09 22:00:00,6_28838606644E-05
2024.08.09 23:00:00,6_19095226284E-05
2024.08.10 00:00:00,6_18323028903E-05
2024.08.10 01:00:00,6_1698279751E-05
2024.08.10 02:00:00,6_1165621446E-05
2024.08.10 03:00:00,6_06979920121E-05
2024.08.10 04:00:00,6_03780681558E-05
2024.08.10 05:00:00,6_02889194852E-05
2024.08.10 06:00:00,5_99950471951E-05
2024.08.10 07:00:00,5_96249083173E-05
2024.08.10 08:00:00,5_91850803175E-05
2024.08.10 09:00:00,5_89190785831E-05
2024.08.10 10:00:00,5_87299800827E-05
2024.08.10 11:00:00,5_86058777117E-05
2024.08.10 12:00:00,5_86425376241E-05
2024.08.10 13:00:00,5_83143119002E-05
2024.08.10 14:00:00,5_76454294787E-05
2024.08.10 15:00:00,5_70672673348E-05
2024.08.10 16:00:00,5_63429639442E-05
2024.08.10 17:00:00,5_59921500098E-05
2024.08.10 18:00:00,5_5687767599E-05
2024.08.10 19:00:00,5_52701603738E-05
2024.08.10 20:00:00,5_48987372895E-05
2024.08.10 21:00:00,5_4788433772E-05
2024.08.10 22:00:00,5_45652110304E-05
2024.08.10 23:00:00,5_44303256902E-05
2024.08.11 00:00:00,5_42441266589E-05
2024.08.11 01:00:00,5_40450091648E-05
2024.08.11 02:00:00,5_38691565453E-05
2024.08.11 03:00:00,5_37051346328E-05
2024.08.11 04:00:00,5_3544423281E-05
2024.08.11 05:00:00,5_33357524546E-05
2024.08.11 06:00:00,5_31107325514E-05
2024.08.11 07:00:00,5_28102100361E-05
2024.08.11 08:00:00,5_24548122485E-05
2024.08.11 09:00:00,5_21148795087E-05
2024.08.11 10:00:00,5_19065324625E-05
2024.08.11 11:00:00,5_15912579431E-05
2024.08.11 12:00:00,5_14089406352E-05
2024.08.11 13:00:00,5_11801335961E-05
2024.08.11 14:00:00,5_0951151934E-05
2024.08.11 15:00:00,5_05389471073E-05
2024.08.11 16:00:00,5_03881310578E-05
2024.08.11 17:00:00,5_00773421663E-05
2024.08.11 18:00:00,4_98374611198E-05
2024.08.11 19:00:00,4_97339933645E-05
2024.08.11 20:00:00,4_96048414789E-05
2024.08.11 21:00:00,4_94819505548E-05
2024.08.11 22:00:00,4_93207480758E-05
2024.08.11 23:00:00,4_91436112497E-05
2024.08.12 00:00:00,4_89858211949E-05
2024.08.12 01:00:00,4_87833422085E-05
2024.08.12 02:00:00,4_85579766973E-05
2024.08.12 03:00:00,4_83363255626E-05
2024.08.12 04:00:00,4_81489150843E-05
2024.08.12 05:00:00,4_79434347653E-05
2024.08.12 06:00:00,4_77480971313E-05
2024.08.12 07:00:00,4_75125125377E-05
2024.08.12 08:00:00,4_71503408335E-05
2024.08.12 09:00:00,4_68343132525E-05
2024.08.12 10:00:00,4_65967568744E-05
2024.08.12 11:00:00,4_6215565817E-05
2024.08.12 12:00:00,4_60847259092E-05
2024.08.12 13:00:00,4_60366281914E-05
2024.08.12 14:00:00,4_5925633458E-05
2024.08.12 15:00:00,4_59129551018E-05
2024.08.12 16:00:00,4_57117857877E-05
2024.08.12 17:00:00,4_54810615338E-05
2024.08.12 18:00:00,4_52950007457E-05
2024.08.12 19:00:00,4_51082341897E-05
2024.08.12 20:00:00,4_4973079639E-05
2024.08.12 21:00:00,4_49043145636E-05
2024.08.12 22:00:00,4_46268240921E-05
2024.08.12 23:00:00,4_45749064966E-05
2024.08.13 00:00:00,4_44245961262E-05
2024.08.13 01:00:00,4_42877171736E-05
2024.08.13 02:00:00,4_41882184532E-05
2024.08.13 03:00:00,4_40475923824E-05
2024.08.13 04:00:00,4_38526294602E-05
2024.08.13 05:00:00,4_37255403085E-05
2024.08.13 06:00:00,4_35932161054E-05
2024.08.13 07:00:00,4_34208923252E-05
2024.08.13 08:00:00,4_32702727267E-05
2024.08.13 09:00:00,4_30615327787E-05
2024.08.13 10:00:00,4_28099665442E-05
2024.08.13 11:00:00,4_26626393164E-05
2024.08.13 12:00:00,4_24276149715E-05
2024.08.13 13:00:00,4_23858691647E-05
2024.08.13 14:00:00,4_23342062277E-05
2024.08.13 15:00:00,4_22335469921E-05
2024.08.13 16:00:00,4_19220086769E-05
2024.08.13 17:00:00,4_16352304455E-05
2024.08.13 18:00:00,4_17244445998E-05
2024.08.13 19:00:00,4_1781233449E-05
2024.08.13 20:00:00,4_16983675677E-05
2024.08.13 21:00:00,4_16081420553E-05
2024.08.13 22:00:00,4_1504175897E-05
2024.08.13 23:00:00,4_13315319747E-05
2024.08.14 00:00:00,4_11783366872E-05
2024.08.14 01:00:00,4_10329412261E-05
2024.08.14 02:00:00,4_03691083193E-05
2024.08.14 03:00:00,4_05237260566E-05
2024.08.14 04:00:00,4_05343453167E-05
2024.08.14 05:00:00,4_04261263611E-05
2024.08.14 06:00:00,4_0308044845E-05
2024.08.14 07:00:00,4_0215869376E-05
2024.08.14 08:00:00,4_00651806558E-05
2024.08.14 09:00:00,3_9946193283E-05
2024.08.14 10:00:00,3_98173178837E-05
2024.08.14 11:00:00,3_9708444092E-05
2024.08.14 12:00:00,3_96110408474E-05
2024.08.14 13:00:00,3_94571943616E-05
2024.08.14 14:00:00,3_92028050555E-05
2024.08.14 15:00:00,3_92275142076E-05
2024.08.14 16:00:00,3_90817331208E-05
2024.08.14 17:00:00,3_88877670048E-05
2024.08.14 18:00:00,3_88057160308E-05
2024.08.14 19:00:00,3_87225336453E-05
2024.08.14 20:00:00,3_85545572499E-05
2024.08.14 21:00:00,3_85022867704E-05
2024.08.14 22:00:00,3_83790466003E-05
2024.08.14 23:00:00,3_83144106308E-05
2024.08.15 00:00:00,3_82437538065E-05
2024.08.15 01:00:00,3_81738827855E-05
2024.08.15 02:00:00,3_80562414648E-05
2024.08.15 03:00:00,3_79562807211E-05
2024.08.15 04:00:00,3_78622826247E-05
2024.08.15 05:00:00,3_77856995328E-05
2024.08.15 06:00:00,3_76822245016E-05
2024.08.15 07:00:00,3_7564052036E-05
2024.08.15 08:00:00,3_74319934053E-05
2024.08.15 09:00:00,3_72897629859E-05
2024.08.15 10:00:00,3_72145077563E-05
2024.08.15 11:00:00,3_70644775103E-05
2024.08.15 12:00:00,3_69916597265E-05
2024.08.15 13:00:00,3_69265326299E-05
2024.08.15 14:00:00,3_6900411942E-05
2024.08.15 15:00:00,3_67913344235E-05
2024.08.15 16:00:00,3_67602297047E-05
2024.08.15 17:00:00,3_66804051737E-05
2024.08.15 18:00:00,3_6542336602E-05
2024.08.15 19:00:00,3_64365369023E-05
2024.08.15 20:00:00,3_63329490938E-05
2024.08.15 21:00:00,3_62908394891E-05
2024.08.15 22:00:00,3_61950442311E-05
2024.08.15 23:00:00,3_61518577847E-05
2024.08.16 00:00:00,3_60970370821E-05
2024.08.16 01:00:00,3_59935147571E-05
2024.08.16 02:00:00,3_59477890015E-05
2024.08.16 03:00:00,3_58672186849E-05
2024.08.16 04:00:00,3_57924436685E-05
2024.08.16 05:00:00,3_57103490387E-05
2024.08.16 06:00:00,3_56145937985E-05
2024.08.16 07:00:00,3_55339725502E-05
2024.08.16 08:00:00,3_54219773726E-05
2024.08.16 09:00:00,3_52805946022E-05
2024.08.16 10:00:00,3_51414528268E-05
2024.08.16 11:00:00,3_49295150954E-05
2024.08.16 12:00:00,3_4753120417E-05
2024.08.16 13:00:00,3_4613392927E-05
2024.08.16 14:00:00,3_46022461599E-05
2024.08.16 15:00:00,3_46172346326E-05
2024.08.16 16:00:00,3_46431152138E-05
2024.08.16 17:00:00,3_46518936567E-05
2024.08.16 18:00:00,3_46623346559E-05
2024.08.16 19:00:00,3_46629458363E-05
2024.08.16 20:00:00,3_46474407706E-05
2024.08.16 21:00:00,3_46273482137E-05
2024.08.16 22:00:00,3_45857806678E-05
2024.08.16 23:00:00,3_45445187122E-05
2024.08.17 00:00:00,3_44794279954E-05
2024.08.17 01:00:00,3_4441043681E-05
2024.08.17 02:00:00,3_43899300788E-05
2024.08.17 03:00:00,3_43312349287E-05
2024.08.17 04:00:00,3_42750208802E-05
2024.08.17 05:00:00,3_42297571478E-05
2024.08.17 06:00:00,3_41642444255E-05
2024.08.17 07:00:00,3_40549013345E-05
2024.08.17 08:00:00,3_38710742653E-05
2024.08.17 09:00:00,3_37643687089E-05
2024.08.17 10:00:00,3_35967051797E-05
2024.08.17 11:00:00,3_35737786372E-05
