Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.03 17:00:00,2.30597940742E-09
2024.08.03 18:00:00,2.72327671524E-09
2024.08.03 19:00:00,3.23992255247E-09
2024.08.03 20:00:00,3.83051190767E-09
2024.08.03 21:00:00,4.44098402497E-09
2024.08.03 22:00:00,5.02501595889E-09
2024.08.03 23:00:00,5.62334445675E-09
2024.08.04 00:00:00,6.42580477717E-09
2024.08.04 01:00:00,7.52412443461E-09
2024.08.04 02:00:00,8.98023877483E-09
2024.08.04 03:00:00,1.08330446835E-08
2024.08.04 04:00:00,1.30366615281E-08
2024.08.04 05:00:00,1.56755000091E-08
2024.08.04 06:00:00,1.89993070165E-08
2024.08.04 07:00:00,2.33101076219E-08
2024.08.04 08:00:00,2.89381336671E-08
2024.08.04 09:00:00,3.59420759821E-08
2024.08.04 10:00:00,4.43372591974E-08
2024.08.04 11:00:00,5.33983772755E-08
2024.08.04 12:00:00,6.27176817147E-08
2024.08.04 13:00:00,7.30586648956E-08
2024.08.04 14:00:00,9.10671076326E-08
2024.08.04 15:00:00,1.2928521187E-07
2024.08.04 16:00:00,1.97930333456E-07
2024.08.04 17:00:00,2.76828217238E-07
2024.08.04 18:00:00,3.48885777157E-07
2024.08.04 19:00:00,4.04997734904E-07
2024.08.04 20:00:00,4.46695509027E-07
2024.08.04 21:00:00,4.9478416031E-07
2024.08.04 22:00:00,5.47116599137E-07
2024.08.04 23:00:00,5.97263522195E-07
2024.08.05 00:00:00,6.34653872567E-07
2024.08.05 01:00:00,6.56181271097E-07
2024.08.05 02:00:00,6.63905609599E-07
2024.08.05 03:00:00,6.83137841406E-07
2024.08.05 04:00:00,7.05796196598E-07
2024.08.05 05:00:00,7.12172663953E-07
2024.08.05 06:00:00,6.98186909176E-07
2024.08.05 07:00:00,6.73858608025E-07
2024.08.05 08:00:00,6.50437982586E-07
2024.08.05 09:00:00,6.31646230431E-07
2024.08.05 10:00:00,6.20577225163E-07
2024.08.05 11:00:00,6.17227499333E-07
2024.08.05 12:00:00,6.19019203896E-07
2024.08.05 13:00:00,6.22561969976E-07
2024.08.05 14:00:00,6.32100807252E-07
2024.08.05 15:00:00,6.55875851407E-07
2024.08.05 16:00:00,6.8803387876E-07
2024.08.05 17:00:00,7.16221904895E-07
2024.08.05 18:00:00,7.36849415262E-07
2024.08.05 19:00:00,7.55785777073E-07
2024.08.05 20:00:00,7.75102705575E-07
2024.08.05 21:00:00,7.84990277225E-07
2024.08.05 22:00:00,7.78626713327E-07
2024.08.05 23:00:00,7.61216313094E-07
2024.08.06 00:00:00,7.36663139378E-07
2024.08.06 01:00:00,7.0751440262E-07
2024.08.06 02:00:00,6.74398279443E-07
2024.08.06 03:00:00,6.4188526494E-07
2024.08.06 04:00:00,6.11824816588E-07
2024.08.06 05:00:00,5.8405157688E-07
2024.08.06 06:00:00,5.58728231681E-07
2024.08.06 07:00:00,5.30384738795E-07
2024.08.06 08:00:00,4.97176927183E-07
2024.08.06 09:00:00,4.64287381874E-07
2024.08.06 10:00:00,4.38377924183E-07
2024.08.06 11:00:00,4.17870239744E-07
2024.08.06 12:00:00,4.04499900242E-07
2024.08.06 13:00:00,4.00727202532E-07
2024.08.06 14:00:00,4.04743673244E-07
2024.08.06 15:00:00,4.18378618861E-07
2024.08.06 16:00:00,4.41374368165E-07
