Column,Max Value,Datetime
Blast Site,10.3394260406,2024-10-31 18:00:00
Spjelkavikelva,10.3178825378,2024-11-01 00:00:00
Vasstrandlia Pump Intake,10.3117485046,2024-10-31 18:00:00
Profiler,10.3020448685,2024-10-31 18:00:00
Nørebotnen,10.4423389435,2024-10-31 15:00:00
