Column,Min Value,Time
Blast Site,9.74499130249,2024-08-14 02:00:00
Spjelkavikelva,8.34770870209,2024-08-08 15:00:00
Vasstrandlia Pump Intake,9.96769142151,2024-08-14 04:00:00
Profiler,10.0,2024-08-01 00:00:00
Nørebotnen,9.88436412811,2024-08-14 02:00:00
