Column,Max Value,Datetime
Blast Site,106.2055613324277,2024-08-26 05:00:00
Spjelkavikelva,0.1121863238149797,2024-08-24 11:00:00
Vasstrandlia Pump Intake,0.015219817934864401,2024-08-25 01:00:00
Profiler,0.0027366082949848497,2024-10-21 01:00:00
Nørebotnen,0.001091603024803863,2024-10-31 15:00:00
