Column,Min Value,Time
Blast Site,0.0,2024-08-01
Spjelkavikelva,0.0,2024-08-01
Vasstrandlia Pump Intake,0.0,2024-08-01
Profiler,0.0,2024-08-01
Nørebotnen,0.0,2024-08-01
