Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.06 19:00:00,1_11033398298E-06
2024.08.06 20:00:00,1_2191087535E-06
2024.08.06 21:00:00,1_30571731916E-06
2024.08.06 22:00:00,1_37129677569E-06
2024.08.06 23:00:00,1_39253415909E-06
2024.08.07 00:00:00,1_34440972488E-06
2024.08.07 01:00:00,1_23939639707E-06
2024.08.07 02:00:00,1_11148096948E-06
2024.08.07 03:00:00,9_86024929261E-07
2024.08.07 04:00:00,8_88697570645E-07
2024.08.07 05:00:00,8_20658385692E-07
2024.08.07 06:00:00,7_78248875122E-07
2024.08.07 07:00:00,7_46228352E-07
2024.08.07 08:00:00,7_1737702001E-07
2024.08.07 09:00:00,6_98225164797E-07
2024.08.07 10:00:00,6_88909324253E-07
2024.08.07 11:00:00,6_98478515915E-07
2024.08.07 12:00:00,7_38427104352E-07
2024.08.07 13:00:00,7_88792590356E-07
2024.08.07 14:00:00,8_09681694136E-07
2024.08.07 15:00:00,7_97479060566E-07
2024.08.07 16:00:00,7_75710191192E-07
2024.08.07 17:00:00,7_61778267133E-07
2024.08.07 18:00:00,7_66204266256E-07
2024.08.07 19:00:00,7_980043506E-07
2024.08.07 20:00:00,8_50338096825E-07
2024.08.07 21:00:00,9_11510539936E-07
2024.08.07 22:00:00,9_70096266428E-07
2024.08.07 23:00:00,1_03067316104E-06
2024.08.08 00:00:00,1_07556127205E-06
2024.08.08 01:00:00,1_10401697384E-06
2024.08.08 02:00:00,1_12956854537E-06
2024.08.08 03:00:00,1_16517117021E-06
2024.08.08 04:00:00,1_20204958876E-06
2024.08.08 05:00:00,1_233957164E-06
2024.08.08 06:00:00,1_2626452417E-06
2024.08.08 07:00:00,1_29420504891E-06
2024.08.08 08:00:00,1_33231526434E-06
2024.08.08 09:00:00,1_37512517995E-06
2024.08.08 10:00:00,1_45627814163E-06
2024.08.08 11:00:00,1_67602763668E-06
2024.08.08 12:00:00,2_13583689401E-06
2024.08.08 13:00:00,2_69964675681E-06
2024.08.08 14:00:00,2_98857025882E-06
2024.08.08 15:00:00,3_24024790643E-06
2024.08.08 16:00:00,3_67609209206E-06
2024.08.08 17:00:00,4_31891203334E-06
2024.08.08 18:00:00,4_77409503219E-06
2024.08.08 19:00:00,4_63765491077E-06
2024.08.08 20:00:00,4_24372547059E-06
2024.08.08 21:00:00,3_6069586713E-06
2024.08.08 22:00:00,3_00031820188E-06
2024.08.08 23:00:00,2_58126124209E-06
2024.08.09 00:00:00,2_26675865633E-06
2024.08.09 01:00:00,2_04833690987E-06
2024.08.09 02:00:00,1_86986505923E-06
2024.08.09 03:00:00,1_70730982063E-06
2024.08.09 04:00:00,1_58036061748E-06
2024.08.09 05:00:00,1_49761785906E-06
2024.08.09 06:00:00,1_45312253608E-06
2024.08.09 07:00:00,1_43804152231E-06
2024.08.09 08:00:00,1_44176715366E-06
2024.08.09 09:00:00,1_45122419326E-06
2024.08.09 10:00:00,1_46232946463E-06
2024.08.09 11:00:00,1_51732581344E-06
2024.08.09 12:00:00,1_75997161023E-06
2024.08.09 13:00:00,2_1939376893E-06
2024.08.09 14:00:00,2_54276665146E-06
2024.08.09 15:00:00,2_52509835263E-06
2024.08.09 16:00:00,2_42400687966E-06
2024.08.09 17:00:00,2_3522131869E-06
2024.08.09 18:00:00,2_26075485443E-06
2024.08.09 19:00:00,2_1577679945E-06
2024.08.09 20:00:00,2_05858896152E-06
2024.08.09 21:00:00,1_97891836251E-06
2024.08.09 22:00:00,1_92392258214E-06
2024.08.09 23:00:00,1_87195269064E-06
2024.08.10 00:00:00,1_82289454642E-06
2024.08.10 01:00:00,1_77428830739E-06
2024.08.10 02:00:00,1_72426803147E-06
2024.08.10 03:00:00,1_68331291661E-06
2024.08.10 04:00:00,1_6537439933E-06
2024.08.10 05:00:00,1_63701963629E-06
2024.08.10 06:00:00,1_64375592249E-06
2024.08.10 07:00:00,1_66289817116E-06
2024.08.10 08:00:00,1_69180509602E-06
2024.08.10 09:00:00,1_73153819105E-06
2024.08.10 10:00:00,1_80698418717E-06
2024.08.10 11:00:00,1_9597418941E-06
2024.08.10 12:00:00,2_16784042095E-06
2024.08.10 13:00:00,2_32068759942E-06
2024.08.10 14:00:00,2_35944094129E-06
2024.08.10 15:00:00,2_35685183725E-06
2024.08.10 16:00:00,2_33811761063E-06
2024.08.10 17:00:00,2_29517900152E-06
2024.08.10 18:00:00,2_21792765842E-06
2024.08.10 19:00:00,2_13048724618E-06
2024.08.10 20:00:00,2_0444135771E-06
2024.08.10 21:00:00,1_96403743757E-06
2024.08.10 22:00:00,1_88134413293E-06
2024.08.10 23:00:00,1_80775646186E-06
2024.08.11 00:00:00,1_75350862719E-06
2024.08.11 01:00:00,1_72323791503E-06
2024.08.11 02:00:00,1_71751401012E-06
2024.08.11 03:00:00,1_72622651462E-06
2024.08.11 04:00:00,1_74416516074E-06
2024.08.11 05:00:00,1_76724506673E-06
2024.08.11 06:00:00,1_77928086487E-06
2024.08.11 07:00:00,1_77663093837E-06
2024.08.11 08:00:00,1_77268373136E-06
2024.08.11 09:00:00,1_78604238954E-06
2024.08.11 10:00:00,1_81296240953E-06
2024.08.11 11:00:00,1_84595023711E-06
2024.08.11 12:00:00,1_88964838799E-06
2024.08.11 13:00:00,1_92754896489E-06
2024.08.11 14:00:00,1_92615630112E-06
2024.08.11 15:00:00,1_86545287306E-06
2024.08.11 16:00:00,1_76660319084E-06
2024.08.11 17:00:00,1_65917288086E-06
2024.08.11 18:00:00,1_56388250616E-06
2024.08.11 19:00:00,1_49508639424E-06
2024.08.11 20:00:00,1_44934961099E-06
2024.08.11 21:00:00,1_42247336044E-06
2024.08.11 22:00:00,1_41217026339E-06
2024.08.11 23:00:00,1_41367422657E-06
2024.08.12 00:00:00,1_4281725953E-06
2024.08.12 01:00:00,1_45761532622E-06
2024.08.12 02:00:00,1_50268124344E-06
2024.08.12 03:00:00,1_55844395522E-06
2024.08.12 04:00:00,1_6195281205E-06
2024.08.12 05:00:00,1_67821792729E-06
2024.08.12 06:00:00,1_72615204974E-06
2024.08.12 07:00:00,1_75813363512E-06
2024.08.12 08:00:00,1_76658954842E-06
2024.08.12 09:00:00,1_74824879196E-06
2024.08.12 10:00:00,1_71260978732E-06
2024.08.12 11:00:00,1_66455743056E-06
2024.08.12 12:00:00,1_6117683117E-06
2024.08.12 13:00:00,1_5715443169E-06
2024.08.12 14:00:00,1_55648228883E-06
2024.08.12 15:00:00,1_57826650593E-06
2024.08.12 16:00:00,1_59407295541E-06
2024.08.12 17:00:00,1_57620797836E-06
2024.08.12 18:00:00,1_54956558163E-06
2024.08.12 19:00:00,1_53045800744E-06
2024.08.12 20:00:00,1_52292545863E-06
2024.08.12 21:00:00,1_52530833475E-06
2024.08.12 22:00:00,1_5366297248E-06
2024.08.12 23:00:00,1_5557285451E-06
2024.08.13 00:00:00,1_58538637152E-06
2024.08.13 01:00:00,1_62573724083E-06
2024.08.13 02:00:00,1_671573159E-06
2024.08.13 03:00:00,1_71975625562E-06
2024.08.13 04:00:00,1_763819796E-06
2024.08.13 05:00:00,1_7987024421E-06
2024.08.13 06:00:00,1_83115037089E-06
2024.08.13 07:00:00,1_86457964446E-06
2024.08.13 08:00:00,1_89916761428E-06
2024.08.13 09:00:00,1_90044727333E-06
2024.08.13 10:00:00,1_84660314062E-06
2024.08.13 11:00:00,1_75637114808E-06
2024.08.13 12:00:00,1_66581435224E-06
2024.08.13 13:00:00,1_60224954016E-06
2024.08.13 14:00:00,1_57859346928E-06
2024.08.13 15:00:00,1_5722940816E-06
2024.08.13 16:00:00,1_57563431458E-06
2024.08.13 17:00:00,1_57544866397E-06
2024.08.13 18:00:00,1_58099032888E-06
2024.08.13 19:00:00,1_60894251167E-06
2024.08.13 20:00:00,1_66345660091E-06
2024.08.13 21:00:00,1_73239959622E-06
2024.08.13 22:00:00,1_80175788955E-06
2024.08.13 23:00:00,1_85335409242E-06
