Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.06 20:00:00,1_20184849948E-05
2024.08.06 21:00:00,1_16761884783E-05
2024.08.06 22:00:00,1_13557280201E-05
2024.08.06 23:00:00,1_09982920549E-05
2024.08.07 00:00:00,1_05313283711E-05
2024.08.07 01:00:00,1_01340037872E-05
2024.08.07 02:00:00,9_76001683739E-06
2024.08.07 03:00:00,9_44182011153E-06
2024.08.07 04:00:00,9_14076281333E-06
2024.08.07 05:00:00,8_93862397788E-06
2024.08.07 06:00:00,8_74730812939E-06
2024.08.07 07:00:00,8_45263639349E-06
2024.08.07 08:00:00,8_24336621008E-06
2024.08.07 09:00:00,8_04964838608E-06
2024.08.07 10:00:00,7_80290429248E-06
2024.08.07 11:00:00,7_62039007896E-06
2024.08.07 12:00:00,7_38553853807E-06
2024.08.07 13:00:00,7_24060191715E-06
2024.08.07 14:00:00,7_0176229201E-06
2024.08.07 15:00:00,6_85661188982E-06
2024.08.07 16:00:00,6_76535819366E-06
2024.08.07 17:00:00,6_70566623739E-06
2024.08.07 18:00:00,6_68252550895E-06
2024.08.07 19:00:00,6_6458837864E-06
2024.08.07 20:00:00,6_59439092487E-06
2024.08.07 21:00:00,6_52254402667E-06
2024.08.07 22:00:00,6_43804924039E-06
2024.08.07 23:00:00,6_34941261524E-06
2024.08.08 00:00:00,6_23854066362E-06
2024.08.08 01:00:00,6_10816232438E-06
2024.08.08 02:00:00,6_01341525908E-06
2024.08.08 03:00:00,5_91763000557E-06
2024.08.08 04:00:00,5_79517836741E-06
2024.08.08 05:00:00,0_0362081304193
2024.08.08 06:00:00,0_00250868313015
2024.08.08 07:00:00,0_000570973905269
2024.08.08 08:00:00,0_000259051652392
2024.08.08 09:00:00,0_000161923700944
2024.08.08 10:00:00,0_000109658758447
2024.08.08 11:00:00,7_6502263255E-05
2024.08.08 12:00:00,5_85651250731E-05
2024.08.08 13:00:00,4_96925858897E-05
2024.08.08 14:00:00,4_47867241746E-05
2024.08.08 15:00:00,4_15544345742E-05
2024.08.08 16:00:00,3_42262501363E-05
2024.08.08 17:00:00,2_99379007629E-05
2024.08.08 18:00:00,2_67917093879E-05
2024.08.08 19:00:00,2_48750802712E-05
2024.08.08 20:00:00,2_37742879108E-05
2024.08.08 21:00:00,2_3022892492E-05
2024.08.08 22:00:00,2_19654302782E-05
