Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.06 20:00:00,1_54086101247E-05
2024.08.06 21:00:00,1_50434052557E-05
2024.08.06 22:00:00,1_4697368897E-05
2024.08.06 23:00:00,1_43050274346E-05
2024.08.07 00:00:00,1_37672650453E-05
2024.08.07 01:00:00,1_33089324663E-05
2024.08.07 02:00:00,1_28807105284E-05
2024.08.07 03:00:00,1_25180913528E-05
2024.08.07 04:00:00,1_21741286421E-05
2024.08.07 05:00:00,1_19537717183E-05
2024.08.07 06:00:00,1_17471945487E-05
2024.08.07 07:00:00,1_14065696835E-05
2024.08.07 08:00:00,1_11725385068E-05
2024.08.07 09:00:00,1_09562843136E-05
2024.08.07 10:00:00,1_06720463009E-05
2024.08.07 11:00:00,1_04740274764E-05
2024.08.07 12:00:00,1_02127714854E-05
2024.08.07 13:00:00,1_00536053651E-05
2024.08.07 14:00:00,9_79098422249E-06
2024.08.07 15:00:00,9_60807665251E-06
2024.08.07 16:00:00,9_51617676037E-06
2024.08.07 17:00:00,9_46987074713E-06
2024.08.07 18:00:00,9_46933505475E-06
2024.08.07 19:00:00,9_44913699641E-06
2024.08.07 20:00:00,9_40767404245E-06
2024.08.07 21:00:00,9_34169111133E-06
2024.08.07 22:00:00,9_25672065932E-06
2024.08.07 23:00:00,9_16263343242E-06
2024.08.08 00:00:00,9_03421096154E-06
2024.08.08 01:00:00,8_8898177637E-06
2024.08.08 02:00:00,8_79603521753E-06
2024.08.08 03:00:00,8_68329971127E-06
2024.08.08 04:00:00,8_53431083669E-06
2024.08.08 05:00:00,0_0362108424306
2024.08.08 06:00:00,0_00252423109487
2024.08.08 07:00:00,0_00057944864966
2024.08.08 08:00:00,0_00026559442631
2024.08.08 09:00:00,0_00016778302961
2024.08.08 10:00:00,0_00011501028348
2024.08.08 11:00:00,8_13130027382E-05
2024.08.08 12:00:00,6_30399590591E-05
2024.08.08 13:00:00,5_40377186553E-05
2024.08.08 14:00:00,4_91127029818E-05
2024.08.08 15:00:00,4_59316142951E-05
2024.08.08 16:00:00,3_83009064535E-05
2024.08.08 17:00:00,3_38528443535E-05
2024.08.08 18:00:00,3_05776375171E-05
2024.08.08 19:00:00,2_85997175524E-05
2024.08.08 20:00:00,2_75061847788E-05
2024.08.08 21:00:00,2_67928080575E-05
2024.08.08 22:00:00,2_57319607044E-05
2024.08.08 23:00:00,2_3985050575E-05
2024.08.09 00:00:00,2_22430007852E-05
2024.08.09 01:00:00,2_11272781598E-05
2024.08.09 02:00:00,2_00397389563E-05
2024.08.09 03:00:00,1_92605657503E-05
2024.08.09 04:00:00,1_85977150977E-05
2024.08.09 05:00:00,1_80156839633E-05
2024.08.09 06:00:00,1_74929791683E-05
2024.08.09 07:00:00,1_68993301486E-05
2024.08.09 08:00:00,1_61076277436E-05
2024.08.09 09:00:00,1_53167875396E-05
2024.08.09 10:00:00,1_48975814227E-05
2024.08.09 11:00:00,1_50160140038E-05
2024.08.09 12:00:00,1_51611575347E-05
2024.08.09 13:00:00,1_51708218254E-05
