case,cells,layers,depthavg_Source,surface_Source,depthavg_Spjelkavikelva,surface_Spjelkavikelva,depthavg_Vasstrandlia,surface_Vasstrandlia,depthavg_Profiler,surface_Profiler,final_mass_g,loads_g,outflow_g,retained_pct,residual_ppm
fine40,4935,40,0.0018568171701758372,0.0018568529048934579,0.002328205023943618,0.0023283176124095917,2.3994819323826e-05,0.00013910967390984297,9.710412562691496e-07,1.773596159182489e-05,3433.4,3600.0,166.625,95.37222222222222,6.944444444469708
fine20,4935,20,0.0017646887499597399,0.0017646970227360725,0.0021168363524897245,0.0021168612875044346,2.630067984262361e-05,7.962321978993714e-05,9.658787892782795e-07,8.873599654179998e-06,3452.0,3600.0,148.04969999999997,95.88888888888889,13.805555555563842
coarse40,2603,40,0.0015441563458324468,0.0015441607683897018,0.002731644799543121,0.0026623480953276157,2.286723143073862e-05,0.00015699691721238196,1.094534618196365e-06,2.3097200028132647e-05,3403.9,3600.0,196.1506594,94.55277777777778,14.07205555564259
coarse20,2603,20,0.0018926839876784783,0.0018926853081211448,0.0022303932648793006,0.0022303941659629345,2.615121435823901e-05,7.469990669051185e-05,1.1035546811364343e-06,9.180976121569984e-06,3430.1,3600.0,169.9535,95.28055555555555,14.86111111110707
