Column,Max Value,Datetime
Blast Site,10.0,2024-08-01
Spjelkavikelva,10.0,2024-08-01
Vasstrandlia Pump Intake,10.0,2024-08-01
Profiler,10.0,2024-08-01
Nørebotnen,10.0,2024-08-01
