Column,Max Value,Datetime
Blast Site,2.38502025604,2024-08-01 05:00:00
Spjelkavikelva,0.00245920219459,2024-08-01 12:00:00
Vasstrandlia Pump Intake,3.92557994928e-05,2024-08-04 17:00:00
Profiler,1.15758321044e-05,2024-08-08 20:00:00
Nørebotnen,5.06371293341e-07,2024-09-13 17:00:00
