Column,Min Value,Time
Blast Site,8.81573963165,2024-10-14 16:00:00
Spjelkavikelva,7.7365489006,2024-10-03 13:00:00
Vasstrandlia Pump Intake,8.98375511169,2024-10-20 14:00:00
Profiler,8.9950761795,2024-10-20 14:00:00
Nørebotnen,8.90403461456,2024-08-14 02:00:00
