Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.06 02:00:00,3.87196871787E-11
2024.08.06 03:00:00,3.88995537171E-11
2024.08.06 04:00:00,3.90645953086E-11
2024.08.06 05:00:00,3.92503217428E-11
2024.08.06 06:00:00,3.93921284481E-11
2024.08.06 07:00:00,3.95316487878E-11
2024.08.06 08:00:00,3.97649829731E-11
2024.08.06 09:00:00,3.99022932751E-11
2024.08.06 10:00:00,4.00040799098E-11
2024.08.06 11:00:00,4.01406373418E-11
2024.08.06 12:00:00,4.03029241924E-11
2024.08.06 13:00:00,4.03874260424E-11
2024.08.06 14:00:00,4.04711091029E-11
2024.08.06 15:00:00,4.06087455329E-11
2024.08.06 16:00:00,4.07815239911E-11
2024.08.06 17:00:00,4.08939618279E-11
2024.08.06 18:00:00,4.09933892387E-11
2024.08.06 19:00:00,4.10509091997E-11
2024.08.06 20:00:00,4.11222271512E-11
2024.08.06 21:00:00,4.11932779554E-11
2024.08.06 22:00:00,4.12612964629E-11
2024.08.06 23:00:00,4.13128489751E-11
2024.08.07 00:00:00,4.14441259089E-11
2024.08.07 01:00:00,4.16436329864E-11
2024.08.07 02:00:00,4.18376375211E-11
2024.08.07 03:00:00,4.20056697759E-11
2024.08.07 04:00:00,4.21725189492E-11
2024.08.07 05:00:00,4.22714745152E-11
2024.08.07 06:00:00,4.23914132963E-11
2024.08.07 07:00:00,4.25489331268E-11
2024.08.07 08:00:00,4.2762200031E-11
2024.08.07 09:00:00,4.28947016795E-11
2024.08.07 10:00:00,4.29910204658E-11
2024.08.07 11:00:00,4.30743704594E-11
2024.08.07 12:00:00,4.31760183162E-11
2024.08.07 13:00:00,4.33243059483E-11
2024.08.07 14:00:00,4.34985381048E-11
2024.08.07 15:00:00,4.36705047124E-11
2024.08.07 16:00:00,4.38019932825E-11
2024.08.07 17:00:00,4.39161276788E-11
2024.08.07 18:00:00,4.40168630711E-11
2024.08.07 19:00:00,4.41346958979E-11
2024.08.07 20:00:00,4.42856619431E-11
2024.08.07 21:00:00,4.45659273374E-11
2024.08.07 22:00:00,4.48466680458E-11
2024.08.07 23:00:00,4.50821116549E-11
2024.08.08 00:00:00,4.53489051866E-11
2024.08.08 01:00:00,4.5597501469E-11
2024.08.08 02:00:00,4.57754077698E-11
2024.08.08 03:00:00,4.59648152873E-11
2024.08.08 04:00:00,4.62342351903E-11
2024.08.08 05:00:00,4.65119817661E-11
2024.08.08 06:00:00,4.6788441177E-11
2024.08.08 07:00:00,4.71204152086E-11
2024.08.08 08:00:00,4.75055342286E-11
2024.08.08 09:00:00,4.78952225103E-11
2024.08.08 10:00:00,4.8674501929E-11
2024.08.08 11:00:00,5.13861765639E-11
2024.08.08 12:00:00,6.17937506719E-11
2024.08.08 13:00:00,8.0110619527E-11
2024.08.08 14:00:00,9.06253613819E-11
2024.08.08 15:00:00,1.24392968148E-10
2024.08.08 16:00:00,2.34319841308E-10
2024.08.08 17:00:00,4.26522539509E-10
2024.08.08 18:00:00,4.87001827754E-10
2024.08.08 19:00:00,5.06984010329E-10
2024.08.08 20:00:00,5.39581823666E-10
2024.08.08 21:00:00,5.84819748184E-10
2024.08.08 22:00:00,6.47855602498E-10
2024.08.08 23:00:00,7.41015915295E-10
2024.08.09 00:00:00,8.40062075458E-10
2024.08.09 01:00:00,9.59940682499E-10
2024.08.09 02:00:00,1.10096221029E-09
2024.08.09 03:00:00,1.21751952964E-09
2024.08.09 04:00:00,1.34513833405E-09
2024.08.09 05:00:00,1.47008794027E-09
2024.08.09 06:00:00,1.54831791832E-09
2024.08.09 07:00:00,1.61632496276E-09
2024.08.09 08:00:00,1.71206837596E-09
2024.08.09 09:00:00,1.82179860087E-09
2024.08.09 10:00:00,2.00371474968E-09
2024.08.09 11:00:00,2.60003996111E-09
2024.08.09 12:00:00,3.75462416713E-09
2024.08.09 13:00:00,4.96127494642E-09
2024.08.09 14:00:00,5.22959764382E-09
2024.08.09 15:00:00,5.18215070855E-09
2024.08.09 16:00:00,5.01910646378E-09
2024.08.09 17:00:00,4.96500973668E-09
2024.08.09 18:00:00,4.83453277411E-09
2024.08.09 19:00:00,4.8103698802E-09
2024.08.09 20:00:00,4.84177009596E-09
2024.08.09 21:00:00,4.92862151091E-09
