Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.07 08:00:00,9_82058918453E-05
2024.08.07 09:00:00,9_73294154392E-05
2024.08.07 10:00:00,9_56614530878E-05
2024.08.07 11:00:00,9_42742262851E-05
2024.08.07 12:00:00,9_18910664041E-05
2024.08.07 13:00:00,9_13994736038E-05
2024.08.07 14:00:00,9_00129307411E-05
2024.08.07 15:00:00,8_92316165846E-05
2024.08.07 16:00:00,8_915309445E-05
2024.08.07 17:00:00,8_91012750799E-05
2024.08.07 18:00:00,8_95252742339E-05
2024.08.07 19:00:00,8_98299840628E-05
2024.08.07 20:00:00,8_99750593817E-05
2024.08.07 21:00:00,8_9692628535E-05
2024.08.07 22:00:00,8_929145406E-05
2024.08.07 23:00:00,8_89291914064E-05
2024.08.08 00:00:00,8_84225810296E-05
2024.08.08 01:00:00,8_71662559803E-05
2024.08.08 02:00:00,8_6171879957E-05
2024.08.08 03:00:00,8_58237326611E-05
2024.08.08 04:00:00,8_50907817949E-05
2024.08.08 05:00:00,8_42310473672E-05
2024.08.08 06:00:00,8_33931044326E-05
2024.08.08 07:00:00,8_25985625852E-05
2024.08.08 08:00:00,8_17113177618E-05
2024.08.08 09:00:00,8_07592150522E-05
2024.08.08 10:00:00,8_05915551609E-05
2024.08.08 11:00:00,8_03851871751E-05
2024.08.08 12:00:00,7_98020628281E-05
2024.08.08 13:00:00,7_853248826E-05
2024.08.08 14:00:00,7_71625054767E-05
2024.08.08 15:00:00,7_61877527111E-05
2024.08.08 16:00:00,7_56944064051E-05
2024.08.08 17:00:00,7_48685051803E-05
2024.08.08 18:00:00,7_36041911296E-05
2024.08.08 19:00:00,7_20333264326E-05
2024.08.08 20:00:00,7_09090381861E-05
2024.08.08 21:00:00,7_0122681791E-05
2024.08.08 22:00:00,6_92493413226E-05
2024.08.08 23:00:00,6_82654062985E-05
2024.08.09 00:00:00,6_79623917677E-05
2024.08.09 01:00:00,6_74257898936E-05
2024.08.09 02:00:00,6_71045781928E-05
2024.08.09 03:00:00,6_66194464429E-05
2024.08.09 04:00:00,6_60672521917E-05
2024.08.09 05:00:00,6_55498588458E-05
2024.08.09 06:00:00,6_49991852697E-05
2024.08.09 07:00:00,6_4010542701E-05
2024.08.09 08:00:00,6_24210297246E-05
2024.08.09 09:00:00,6_0880665842E-05
2024.08.09 10:00:00,5_99964805588E-05
2024.08.09 11:00:00,6_04416782153E-05
2024.08.09 12:00:00,6_16488759988E-05
2024.08.09 13:00:00,6_2259430706E-05
2024.08.09 14:00:00,6_25938409939E-05
2024.08.09 15:00:00,6_1962644395E-05
2024.08.09 16:00:00,6_10629867879E-05
2024.08.09 17:00:00,6_02633845119E-05
2024.08.09 18:00:00,5_95707097091E-05
2024.08.09 19:00:00,5_90995950915E-05
2024.08.09 20:00:00,5_85473317187E-05
2024.08.09 21:00:00,5_81671847613E-05
2024.08.09 22:00:00,5_7638342696E-05
2024.08.09 23:00:00,5_67216338823E-05
2024.08.10 00:00:00,5_66272829019E-05
2024.08.10 01:00:00,5_6481003412E-05
2024.08.10 02:00:00,5_59700565645E-05
2024.08.10 03:00:00,5_55190017621E-05
2024.08.10 04:00:00,5_52033670829E-05
2024.08.10 05:00:00,5_50988916075E-05
2024.08.10 06:00:00,5_48074713151E-05
2024.08.10 07:00:00,5_44466420251E-05
2024.08.10 08:00:00,5_4022490076E-05
2024.08.10 09:00:00,5_3757285059E-05
2024.08.10 10:00:00,5_35624240001E-05
2024.08.10 11:00:00,5_34269711352E-05
2024.08.10 12:00:00,5_34381142643E-05
2024.08.10 13:00:00,5_31168807356E-05
2024.08.10 14:00:00,5_24857350683E-05
2024.08.10 15:00:00,5_1937673561E-05
2024.08.10 16:00:00,5_12571095896E-05
2024.08.10 17:00:00,5_09167366545E-05
2024.08.10 18:00:00,5_06188443978E-05
2024.08.10 19:00:00,5_02183174831E-05
2024.08.10 20:00:00,4_98600602441E-05
2024.08.10 21:00:00,4_97391447425E-05
2024.08.10 22:00:00,4_95158565172E-05
2024.08.10 23:00:00,4_93728730362E-05
2024.08.11 00:00:00,4_91834725835E-05
2024.08.11 01:00:00,4_89825142722E-05
2024.08.11 02:00:00,4_88027908432E-05
2024.08.11 03:00:00,4_86339231429E-05
2024.08.11 04:00:00,4_84681804664E-05
2024.08.11 05:00:00,4_8259178584E-05
2024.08.11 06:00:00,4_80355520267E-05
2024.08.11 07:00:00,4_7743847972E-05
2024.08.11 08:00:00,4_74027874589E-05
2024.08.11 09:00:00,4_70759696327E-05
2024.08.11 10:00:00,4_68682301289E-05
2024.08.11 11:00:00,4_65641496703E-05
2024.08.11 12:00:00,4_63802643935E-05
2024.08.11 13:00:00,4_61545969301E-05
2024.08.11 14:00:00,4_59289549326E-05
2024.08.11 15:00:00,4_55383997178E-05
2024.08.11 16:00:00,4_53835891676E-05
2024.08.11 17:00:00,4_50848747278E-05
2024.08.11 18:00:00,4_48502105428E-05
2024.08.11 19:00:00,4_47384518338E-05
2024.08.11 20:00:00,4_4603675633E-05
2024.08.11 21:00:00,4_44746365247E-05
2024.08.11 22:00:00,4_43112767243E-05
2024.08.11 23:00:00,4_41337360826E-05
2024.08.12 00:00:00,4_39737013949E-05
2024.08.12 01:00:00,4_3773692596E-05
2024.08.12 02:00:00,4_35533147538E-05
2024.08.12 03:00:00,4_33364439232E-05
2024.08.12 04:00:00,4_31504304288E-05
2024.08.12 05:00:00,4_29483770858E-05
2024.08.12 06:00:00,4_2755571485E-05
2024.08.12 07:00:00,4_25268917752E-05
2024.08.12 08:00:00,4_21851400461E-05
2024.08.12 09:00:00,4_18849340349E-05
2024.08.12 10:00:00,4_16551192757E-05
2024.08.12 11:00:00,4_12971385231E-05
2024.08.12 12:00:00,4_11630644521E-05
2024.08.12 13:00:00,4_11029686802E-05
2024.08.12 14:00:00,4_0986786189E-05
2024.08.12 15:00:00,4_09583954024E-05
2024.08.12 16:00:00,4_07619481848E-05
2024.08.12 17:00:00,4_05393075198E-05
2024.08.12 18:00:00,4_03566373279E-05
2024.08.12 19:00:00,4_01734905608E-05
2024.08.12 20:00:00,4_00364297093E-05
2024.08.12 21:00:00,3_99585587729E-05
2024.08.12 22:00:00,3_96950854338E-05
2024.08.12 23:00:00,3_9632384869E-05
2024.08.13 00:00:00,3_94822818635E-05
2024.08.13 01:00:00,3_93442314817E-05
2024.08.13 02:00:00,3_92394831579E-05
2024.08.13 03:00:00,3_90983077523E-05
2024.08.13 04:00:00,3_89090346289E-05
2024.08.13 05:00:00,3_878010466E-05
2024.08.13 06:00:00,3_86466381315E-05
2024.08.13 07:00:00,3_84778286389E-05
2024.08.13 08:00:00,3_83283804695E-05
2024.08.13 09:00:00,3_81275858672E-05
2024.08.13 10:00:00,3_78890508728E-05
2024.08.13 11:00:00,3_7742924178E-05
2024.08.13 12:00:00,3_75193631044E-05
2024.08.13 13:00:00,3_74668270524E-05
2024.08.13 14:00:00,3_74055671273E-05
2024.08.13 15:00:00,3_73010843759E-05
2024.08.13 16:00:00,3_70104971807E-05
2024.08.13 17:00:00,3_67420034308E-05
2024.08.13 18:00:00,3_68053915736E-05
2024.08.13 19:00:00,3_68401269952E-05
2024.08.13 20:00:00,3_67517459381E-05
2024.08.13 21:00:00,3_66569402104E-05
2024.08.13 22:00:00,3_65501109627E-05
2024.08.13 23:00:00,3_63829058188E-05
2024.08.14 00:00:00,3_62329519703E-05
2024.08.14 01:00:00,3_60899721272E-05
2024.08.14 02:00:00,3_54913172487E-05
2024.08.14 03:00:00,3_56124037353E-05
2024.08.14 04:00:00,3_56068958354E-05
2024.08.14 05:00:00,3_54970361514E-05
2024.08.14 06:00:00,3_53786053893E-05
2024.08.14 07:00:00,3_52829956682E-05
2024.08.14 08:00:00,3_51361413777E-05
2024.08.14 09:00:00,3_50171976606E-05
2024.08.14 10:00:00,3_48896792275E-05
2024.08.14 11:00:00,3_47797795257E-05
2024.08.14 12:00:00,3_46800152329E-05
2024.08.14 13:00:00,3_45309272234E-05
2024.08.14 14:00:00,3_42940002156E-05
2024.08.14 15:00:00,3_4301316191E-05
2024.08.14 16:00:00,3_41596060025E-05
2024.08.14 17:00:00,3_39759062626E-05
2024.08.14 18:00:00,3_38900899806E-05
2024.08.14 19:00:00,3_38033569278E-05
2024.08.14 20:00:00,3_36426928698E-05
2024.08.14 21:00:00,3_3583080949E-05
2024.08.14 22:00:00,3_34616415785E-05
