Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0.000299442268442
2024.08.01 06:00:00,0.000808279786725
2024.08.01 07:00:00,0.00133534509223
2024.08.01 08:00:00,0.00170793151483
2024.08.01 09:00:00,0.00187306141015
2024.08.01 10:00:00,0.00220388290472
2024.08.01 11:00:00,0.00234617711976
2024.08.01 12:00:00,0.0024906755425
2024.08.01 13:00:00,0.00240577571094
2024.08.01 14:00:00,0.00227589881979
2024.08.01 15:00:00,0.00222889939323
2024.08.01 16:00:00,0.00205974816345
2024.08.01 17:00:00,0.00182603299618
2024.08.01 18:00:00,0.00170393590815
2024.08.01 19:00:00,0.00169398344588
2024.08.01 20:00:00,0.00168116518762
2024.08.01 21:00:00,0.00163743400481
2024.08.01 22:00:00,0.00158718996681
2024.08.01 23:00:00,0.00152934296057
2024.08.02 00:00:00,0.00149381207302
2024.08.02 01:00:00,0.00144642603118
2024.08.02 02:00:00,0.00138872687239
2024.08.02 03:00:00,0.00134692678694
2024.08.02 04:00:00,0.00129337282851
2024.08.02 05:00:00,0.00125129637308
2024.08.02 06:00:00,0.00119763496332
2024.08.02 07:00:00,0.00113335286733
2024.08.02 08:00:00,0.00106263440102
2024.08.02 09:00:00,0.000996160903014
2024.08.02 10:00:00,0.000944586528931
2024.08.02 11:00:00,0.000938958721235
2024.08.02 12:00:00,0.000910185917746
2024.08.02 13:00:00,0.000864141969942
2024.08.02 14:00:00,0.000841710425448
2024.08.02 15:00:00,0.000819212058559
2024.08.02 16:00:00,0.000784780015238
2024.08.02 17:00:00,0.00074938533362
2024.08.02 18:00:00,0.000715893926099
2024.08.02 19:00:00,0.000692800502293
2024.08.02 20:00:00,0.000688695814461
2024.08.02 21:00:00,0.000681532023009
2024.08.02 22:00:00,0.00066391681321
2024.08.02 23:00:00,0.000638552766759
2024.08.03 00:00:00,0.000615577329881
2024.08.03 01:00:00,0.000600753468461
2024.08.03 02:00:00,0.00059983326355
2024.08.03 03:00:00,0.000598234299105
2024.08.03 04:00:00,0.000588804774452
2024.08.03 05:00:00,0.000578867795411
2024.08.03 06:00:00,0.000569300027564
2024.08.03 07:00:00,0.000552700075787
2024.08.03 08:00:00,0.00053446093807
2024.08.03 09:00:00,0.00051921478007
2024.08.03 10:00:00,0.000500738737173
2024.08.03 11:00:00,0.000486914854264
2024.08.03 12:00:00,0.000472287560115
2024.08.03 13:00:00,0.000462289317511
2024.08.03 14:00:00,0.000446717313025
2024.08.03 15:00:00,0.000442908931291
2024.08.03 16:00:00,0.000432934961282
2024.08.03 17:00:00,0.00042577428394
2024.08.03 18:00:00,0.000417273346102
2024.08.03 19:00:00,0.00041181143024
2024.08.03 20:00:00,0.000401760509703
2024.08.03 21:00:00,0.000384633050999
2024.08.03 22:00:00,0.000380133773433
