Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.06 19:00:00,3_47836248693E-05
2024.08.06 20:00:00,3_64615225408E-05
2024.08.06 21:00:00,3_78083459509E-05
2024.08.06 22:00:00,3_87909494748E-05
2024.08.06 23:00:00,3_91254179704E-05
2024.08.07 00:00:00,3_85009407182E-05
2024.08.07 01:00:00,3_70591915271E-05
2024.08.07 02:00:00,3_52567876689E-05
2024.08.07 03:00:00,3_34695432684E-05
2024.08.07 04:00:00,3_20437757182E-05
2024.08.07 05:00:00,3_10083269142E-05
2024.08.07 06:00:00,3_03106116917E-05
2024.08.07 07:00:00,2_97186943499E-05
2024.08.07 08:00:00,2_91277356155E-05
2024.08.07 09:00:00,2_86721533485E-05
2024.08.07 10:00:00,2_83733170363E-05
2024.08.07 11:00:00,2_83145109279E-05
2024.08.07 12:00:00,2_86723061436E-05
2024.08.07 13:00:00,2_91926080536E-05
2024.08.07 14:00:00,2_93154553219E-05
2024.08.07 15:00:00,2_89463059744E-05
2024.08.07 16:00:00,2_84875550278E-05
2024.08.07 17:00:00,2_82035889541E-05
2024.08.07 18:00:00,2_82214932668E-05
2024.08.07 19:00:00,2_86820795736E-05
2024.08.07 20:00:00,2_94748497254E-05
2024.08.07 21:00:00,3_04090226564E-05
2024.08.07 22:00:00,3_13138370984E-05
2024.08.07 23:00:00,3_22791966028E-05
2024.08.08 00:00:00,3_29790454998E-05
2024.08.08 01:00:00,3_34716569341E-05
2024.08.08 02:00:00,3_39263642672E-05
2024.08.08 03:00:00,3_45188636857E-05
2024.08.08 04:00:00,3_51223243342E-05
2024.08.08 05:00:00,3_56470045517E-05
2024.08.08 06:00:00,3_61269994755E-05
2024.08.08 07:00:00,3_6621473555E-05
2024.08.08 08:00:00,3_71804962924E-05
2024.08.08 09:00:00,3_77790565835E-05
2024.08.08 10:00:00,3_88110929634E-05
2024.08.08 11:00:00,4_12154913647E-05
2024.08.08 12:00:00,4_45893674623E-05
2024.08.08 13:00:00,4_67457975901E-05
2024.08.08 14:00:00,4_70046616101E-05
2024.08.08 15:00:00,4_7487224947E-05
2024.08.08 16:00:00,4_84003830934E-05
2024.08.08 17:00:00,4_90995989821E-05
2024.08.08 18:00:00,4_89447411383E-05
2024.08.08 19:00:00,4_75467713841E-05
2024.08.08 20:00:00,4_61214076495E-05
2024.08.08 21:00:00,4_40475741925E-05
2024.08.08 22:00:00,4_18492527388E-05
2024.08.08 23:00:00,4_01660727221E-05
2024.08.09 00:00:00,3_86740503018E-05
2024.08.09 01:00:00,3_74803021259E-05
2024.08.09 02:00:00,3_6404671846E-05
2024.08.09 03:00:00,3_53473078576E-05
2024.08.09 04:00:00,3_44297550328E-05
2024.08.09 05:00:00,3_37293058692E-05
2024.08.09 06:00:00,3_32301278831E-05
2024.08.09 07:00:00,3_29000067723E-05
2024.08.09 08:00:00,3_26955050696E-05
2024.08.09 09:00:00,3_25335859088E-05
2024.08.09 10:00:00,3_23967869917E-05
2024.08.09 11:00:00,3_25278742821E-05
2024.08.09 12:00:00,3_36540033459E-05
2024.08.09 13:00:00,3_55594784196E-05
2024.08.09 14:00:00,3_69378249161E-05
2024.08.09 15:00:00,3_68284490833E-05
2024.08.09 16:00:00,3_63668477803E-05
2024.08.09 17:00:00,3_60157901014E-05
2024.08.09 18:00:00,3_55301781383E-05
2024.08.09 19:00:00,3_49597248714E-05
2024.08.09 20:00:00,3_43802385032E-05
2024.08.09 21:00:00,3_38900463248E-05
2024.08.09 22:00:00,3_35006589012E-05
2024.08.09 23:00:00,3_31043629558E-05
2024.08.10 00:00:00,3_27495909005E-05
2024.08.10 01:00:00,3_24049506162E-05
2024.08.10 02:00:00,3_20464096148E-05
2024.08.10 03:00:00,3_17466765409E-05
2024.08.10 04:00:00,3_15287070407E-05
2024.08.10 05:00:00,3_14059288939E-05
2024.08.10 06:00:00,3_14354001603E-05
2024.08.10 07:00:00,3_15359393426E-05
2024.08.10 08:00:00,3_16997829941E-05
2024.08.10 09:00:00,3_19424580084E-05
2024.08.10 10:00:00,3_24350730807E-05
2024.08.10 11:00:00,3_34040887537E-05
2024.08.10 12:00:00,3_45178341377E-05
2024.08.10 13:00:00,3_5104676499E-05
2024.08.10 14:00:00,3_51065864379E-05
2024.08.10 15:00:00,3_49456931872E-05
2024.08.10 16:00:00,3_47195964423E-05
2024.08.10 17:00:00,3_43893334502E-05
2024.08.10 18:00:00,3_38899262715E-05
2024.08.10 19:00:00,3_33305033564E-05
2024.08.10 20:00:00,3_27730449499E-05
2024.08.10 21:00:00,3_22414598486E-05
2024.08.10 22:00:00,3_17029698635E-05
2024.08.10 23:00:00,3_12153024424E-05
2024.08.11 00:00:00,3_08311682602E-05
2024.08.11 01:00:00,3_0570616218E-05
2024.08.11 02:00:00,3_04309105559E-05
2024.08.11 03:00:00,3_03632969008E-05
2024.08.11 04:00:00,3_03507949866E-05
2024.08.11 05:00:00,3_035775444E-05
2024.08.11 06:00:00,3_03196884488E-05
2024.08.11 07:00:00,3_02315056615E-05
2024.08.11 08:00:00,3_01391628454E-05
2024.08.11 09:00:00,3_01112904708E-05
2024.08.11 10:00:00,3_01358631987E-05
2024.08.11 11:00:00,3_01761720038E-05
2024.08.11 12:00:00,3_02481457766E-05
2024.08.11 13:00:00,3_03051347146E-05
2024.08.11 14:00:00,3_02550070046E-05
2024.08.11 15:00:00,3_00426800095E-05
2024.08.11 16:00:00,2_97304286505E-05
