Model-spread score,Longitude,Latitude,time,cluster
1.0,6.465559909013655,62.47221125870056,2024-08-07,0
0.9952494059998322,6.407358722041686,62.4685847568149,2024-08-07,1
0.993942817500073,6.406500050104771,62.46823718115878,2024-08-07,1
0.9914549489636452,6.405795285108471,62.46788757092113,2024-08-07,1
0.988895346642281,6.408007745080235,62.46910560266259,2024-08-07,1
0.9886197067607398,6.4085182880069365,62.46959549687576,2024-08-07,1
0.9884643320577892,6.405037547363554,62.46760696296254,2024-08-07,1
0.9866553144730933,6.405130883584092,62.46711511424695,2024-08-07,1
0.9865697341686469,6.404766058186107,62.46736600092437,2024-08-07,1
0.9861580952636938,6.407013642061683,62.466463690733775,2024-08-07,1
0.9849641123909578,6.4059287817918085,62.46664051201011,2024-08-07,1
0.9841521694796015,6.404846312167208,62.46686167749344,2024-08-07,1
0.98365554307775,6.414566460226654,62.47443574733539,2024-08-07,2
0.9828356843207016,6.41515435971826,62.47457617695396,2024-08-07,2
0.981865002438996,6.408927155466546,62.47056341866512,2024-08-07,1
0.9817283257397016,6.4087917637964535,62.47024125372503,2024-08-07,1
0.981722121980107,6.408254444462609,62.46659735420852,2024-08-07,1
0.9781123710207072,6.416144105199369,62.47451042002944,2024-08-07,2
0.9745225244150565,6.413201216148235,62.47407996113499,2024-08-07,2
0.9704299195834494,6.40948664361212,62.47148494793706,2024-08-07,1
0.969372149130685,6.415657576237626,62.47439066074263,2024-08-07,2
0.9682357388268044,6.4170450172326365,62.47467224390105,2024-08-07,2
0.9673309133724347,6.411757951743484,62.467101198206,2024-08-07,1
0.9668735599424099,6.417460064926615,62.474733830968354,2024-08-07,2
0.9651871520834101,6.412323468920082,62.467192308581545,2024-08-07,1
0.9651267176114062,6.412542454096355,62.47385049153865,2024-08-07,2
0.9642919888235152,6.406855628155198,62.46882751219097,2024-08-07,1
0.9625266688736754,6.409740707632312,62.47202194059154,2024-08-07,1
0.9624129680924489,6.409186168851824,62.47120303977586,2024-08-07,1
0.9612719905563999,6.411462829672757,62.4733137026441,2024-08-07,2
0.9603819688894449,6.416511428631796,62.47434046170988,2024-08-07,2
0.9599218218593039,6.418272710759437,62.47472141548274,2024-08-07,2
0.9589256232023807,6.406086701232972,62.46843183229003,2024-08-07,1
0.9576760349268213,6.410962246535244,62.473052289013815,2024-08-07,2
0.9567802235778318,6.405627689723008,62.46834200513876,2024-08-07,1
0.9567478435275377,6.416926671599875,62.47441985349573,2024-08-07,2
0.9555663633953423,6.4188884377902085,62.4746835277637,2024-08-07,2
0.95505105721437,6.413491341730626,62.46740115287057,2024-08-07,1
0.9547662868833663,6.405503086482806,62.46808494409365,2024-08-07,1
0.9543446861384567,6.419275223745347,62.47438870004219,2024-08-07,2
0.952785517510896,6.404988528178395,62.468085632107005,2024-08-07,1
0.9508032577240465,6.4560447171644055,62.47163527624968,2024-08-07,3
0.9506230738774433,6.404705966256122,62.46787115543332,2024-08-07,1
0.9506115507697913,6.458486000443648,62.47174439676013,2024-08-07,4
0.9505394517428176,6.40809453802432,62.4663119788121,2024-08-07,1
0.9500184225092796,6.419986492886214,62.47437198393803,2024-08-07,2
0.9494708912232084,6.414106064788295,62.46752420522176,2024-08-07,1
0.9494640183282486,6.417797255995343,62.474249384789424,2024-08-07,2
0.9490622519577404,6.417880349493601,62.47454867671389,2024-08-07,2
0.9476894563788747,6.409313249141524,62.46646821359168,2024-08-07,1
0.9473629877888713,6.454705144613471,62.47800203506754,2024-08-07,5
0.9472927240841353,6.409909722358452,62.466552137409806,2024-08-07,1
0.9472268630227222,6.411074680225754,62.466725733336126,2024-08-07,1
0.9471387472489757,6.406363218764757,62.4664104704359,2024-08-07,1
0.9469465518094076,6.420410220938845,62.4740903373969,2024-08-07,2
0.9449760900272968,6.404077648903461,62.46735985366004,2024-08-07,1
0.9426055914889284,6.405249220707256,62.46661285158505,2024-08-07,1
0.9421135758415545,6.420985766946445,62.47418413481126,2024-08-07,2
0.9421106528723079,6.403805103491531,62.46710799676001,2024-08-07,1
0.9411547972338884,6.421736413806529,62.4737489082507,2024-08-07,2
