cluster,n_cells,mean_co_association,baseline_weight,in_selected_route
0,1,,1.0,0
1,35,0.5893642750954281,33.860603295043646,1
2,21,0.7302888729350738,20.173404615318947,1
3,1,,0.9508032577240465,1
4,1,,0.9506115507697913,1
5,1,,0.9473629877888713,1
