Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.07 14:00:00,9_23794174194
2024.08.07 15:00:00,9_24411392212
2024.08.07 16:00:00,9_25540542603
2024.08.07 17:00:00,9_25368499756
2024.08.07 18:00:00,9_26950263977
2024.08.07 19:00:00,9_30629825592
2024.08.07 20:00:00,9_31854534149
2024.08.07 21:00:00,9_31776332855
2024.08.07 22:00:00,9_32192134857
2024.08.07 23:00:00,9_33508396149
2024.08.08 00:00:00,9_35465431213
2024.08.08 01:00:00,9_31455516815
2024.08.08 02:00:00,9_28014087677
2024.08.08 03:00:00,9_31858253479
2024.08.08 04:00:00,9_3311920166
2024.08.08 05:00:00,9_33589076996
2024.08.08 06:00:00,9_3467540741
2024.08.08 07:00:00,9_34565830231
2024.08.08 08:00:00,9_34131908417
2024.08.08 09:00:00,9_2871465683
2024.08.08 10:00:00,9_25542640686
2024.08.08 11:00:00,9_33521080017
2024.08.08 12:00:00,9_38282871246
2024.08.08 13:00:00,9_37111473083
2024.08.08 14:00:00,9_32476902008
2024.08.08 15:00:00,9_24834728241
2024.08.08 16:00:00,9_36374759674
2024.08.08 17:00:00,9_38401126862
2024.08.08 18:00:00,9_39520931244
2024.08.08 19:00:00,9_37106704712
2024.08.08 20:00:00,9_33211612701
2024.08.08 21:00:00,9_2889623642
2024.08.08 22:00:00,9_27083015442
2024.08.08 23:00:00,9_29703044891
2024.08.09 00:00:00,9_3424577713
2024.08.09 01:00:00,9_34927558899
2024.08.09 02:00:00,9_36680984497
2024.08.09 03:00:00,9_36544322968
2024.08.09 04:00:00,9_36207866669
2024.08.09 05:00:00,9_35402202606
2024.08.09 06:00:00,9_34243011475
2024.08.09 07:00:00,9_32406139374
2024.08.09 08:00:00,9_28506851196
2024.08.09 09:00:00,9_24700737
2024.08.09 10:00:00,9_20748519897
2024.08.09 11:00:00,9_21190071106
2024.08.09 12:00:00,9_26926517487
2024.08.09 13:00:00,9_29707050323
2024.08.09 14:00:00,9_34060955048
2024.08.09 15:00:00,9_31105422974
2024.08.09 16:00:00,9_27977561951
2024.08.09 17:00:00,9_24246692657
2024.08.09 18:00:00,9_20581626892
2024.08.09 19:00:00,9_2254524231
2024.08.09 20:00:00,9_25093173981
2024.08.09 21:00:00,9_27465057373
2024.08.09 22:00:00,9_2459487915
2024.08.09 23:00:00,9_18074226379
2024.08.10 00:00:00,9_2382516861
2024.08.10 01:00:00,9_27418327332
2024.08.10 02:00:00,9_27365493774
2024.08.10 03:00:00,9_27194404602
2024.08.10 04:00:00,9_28227043152
2024.08.10 05:00:00,9_29990959167
2024.08.10 06:00:00,9_29882049561
2024.08.10 07:00:00,9_29825305939
2024.08.10 08:00:00,9_27953720093
2024.08.10 09:00:00,9_27546024323
2024.08.10 10:00:00,9_27084445953
2024.08.10 11:00:00,9_27872180939
2024.08.10 12:00:00,9_31071662903
2024.08.10 13:00:00,9_30512142181
2024.08.10 14:00:00,9_2745552063
2024.08.10 15:00:00,9_25821208954
2024.08.10 16:00:00,9_22065258026
2024.08.10 17:00:00,9_24598121643
2024.08.10 18:00:00,9_26512145996
2024.08.10 19:00:00,9_26642990112
2024.08.10 20:00:00,9_25980854034
2024.08.10 21:00:00,9_28314399719
2024.08.10 22:00:00,9_29028701782
2024.08.10 23:00:00,9_29776668549
2024.08.11 00:00:00,9_30352497101
2024.08.11 01:00:00,9_30576229095
2024.08.11 02:00:00,9_31152439117
2024.08.11 03:00:00,9_31192588806
2024.08.11 04:00:00,9_31432342529
2024.08.11 05:00:00,9_31373691559
2024.08.11 06:00:00,9_31695079803
2024.08.11 07:00:00,9_3082075119
2024.08.11 08:00:00,9_2932510376
2024.08.11 09:00:00,9_26801776886
2024.08.11 10:00:00,9_26438617706
2024.08.11 11:00:00,9_24678897858
2024.08.11 12:00:00,9_24516010284
2024.08.11 13:00:00,9_23749351501
2024.08.11 14:00:00,9_23774147034
2024.08.11 15:00:00,9_21627044678
2024.08.11 16:00:00,9_23517990112
2024.08.11 17:00:00,9_21672534943
2024.08.11 18:00:00,9_21487522125
2024.08.11 19:00:00,9_2350320816
2024.08.11 20:00:00,9_24264907837
2024.08.11 21:00:00,9_25514984131
2024.08.11 22:00:00,9_26217079163
2024.08.11 23:00:00,9_2644367218
2024.08.12 00:00:00,9_27171325684
2024.08.12 01:00:00,9_27010440826
2024.08.12 02:00:00,9_27241706848
2024.08.12 03:00:00,9_26793575287
2024.08.12 04:00:00,9_27159976959
2024.08.12 05:00:00,9_27263450623
2024.08.12 06:00:00,9_27901363373
2024.08.12 07:00:00,9_27669048309
2024.08.12 08:00:00,9_24192047119
2024.08.12 09:00:00,9_22852230072
2024.08.12 10:00:00,9_21959781647
2024.08.12 11:00:00,9_18254089355
2024.08.12 12:00:00,9_18507575989
2024.08.12 13:00:00,9_18802070618
2024.08.12 14:00:00,9_17517948151
2024.08.12 15:00:00,9_22051620483
2024.08.12 16:00:00,9_23373222351
2024.08.12 17:00:00,9_21088695526
2024.08.12 18:00:00,9_19379138947
2024.08.12 19:00:00,9_19184303284
2024.08.12 20:00:00,9_19555282593
2024.08.12 21:00:00,9_22485637665
2024.08.12 22:00:00,9_20094776154
2024.08.12 23:00:00,9_21849822998
2024.08.13 00:00:00,9_2229757309
2024.08.13 01:00:00,9_22640705109
2024.08.13 02:00:00,9_24260234833
2024.08.13 03:00:00,9_24382305145
2024.08.13 04:00:00,9_23322868347
2024.08.13 05:00:00,9_24845123291
