Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.07 14:00:00,9_48750686646
2024.08.07 15:00:00,9_48829650879
2024.08.07 16:00:00,9_48960208893
2024.08.07 17:00:00,9_49068260193
2024.08.07 18:00:00,9_49118614197
2024.08.07 19:00:00,9_49228954315
2024.08.07 20:00:00,9_49179553986
2024.08.07 21:00:00,9_49083328247
2024.08.07 22:00:00,9_4892206192
2024.08.07 23:00:00,9_48768901825
2024.08.08 00:00:00,9_48598575592
2024.08.08 01:00:00,9_48323631287
2024.08.08 02:00:00,9_47983074188
2024.08.08 03:00:00,9_47637081146
2024.08.08 04:00:00,9_47525024414
2024.08.08 05:00:00,9_48056697845
2024.08.08 06:00:00,9_48506259918
2024.08.08 07:00:00,9_48560428619
2024.08.08 08:00:00,9_4859790802
2024.08.08 09:00:00,9_48745918274
2024.08.08 10:00:00,9_49022483826
2024.08.08 11:00:00,9_50106906891
2024.08.08 12:00:00,9_52176094055
2024.08.08 13:00:00,9_53516864777
2024.08.08 14:00:00,9_5373878479
2024.08.08 15:00:00,9_53431034088
2024.08.08 16:00:00,9_53441905975
2024.08.08 17:00:00,9_53531265259
2024.08.08 18:00:00,9_53346252441
2024.08.08 19:00:00,9_53002357483
2024.08.08 20:00:00,9_52443885803
2024.08.08 21:00:00,9_52144050598
2024.08.08 22:00:00,9_52178573608
2024.08.08 23:00:00,9_52027130127
2024.08.09 00:00:00,9_51507759094
2024.08.09 01:00:00,9_51184177399
2024.08.09 02:00:00,9_51009082794
2024.08.09 03:00:00,9_51368618011
2024.08.09 04:00:00,9_51404857635
2024.08.09 05:00:00,9_5135011673
2024.08.09 06:00:00,9_51935005188
2024.08.09 07:00:00,9_52861785889
2024.08.09 08:00:00,9_53329086304
2024.08.09 09:00:00,9_53337478638
2024.08.09 10:00:00,9_53383541107
2024.08.09 11:00:00,9_53590106964
2024.08.09 12:00:00,9_53781986237
2024.08.09 13:00:00,9_53608417511
2024.08.09 14:00:00,9_53130054474
2024.08.09 15:00:00,9_52485466003
2024.08.09 16:00:00,9_51246643066
2024.08.09 17:00:00,9_50496101379
2024.08.09 18:00:00,9_51124095917
2024.08.09 19:00:00,9_51912212372
2024.08.09 20:00:00,9_514793396
2024.08.09 21:00:00,9_50472354889
2024.08.09 22:00:00,9_48873806
2024.08.09 23:00:00,9_47624206543
2024.08.10 00:00:00,9_47792720795
2024.08.10 01:00:00,9_4795293808
2024.08.10 02:00:00,9_47816467285
2024.08.10 03:00:00,9_4781703949
2024.08.10 04:00:00,9_48266506195
2024.08.10 05:00:00,9_48034858704
2024.08.10 06:00:00,9_47505187988
2024.08.10 07:00:00,9_47294139862
2024.08.10 08:00:00,9_47236251831
2024.08.10 09:00:00,9_47302436829
2024.08.10 10:00:00,9_47527503967
2024.08.10 11:00:00,9_47634601593
2024.08.10 12:00:00,9_48050498962
2024.08.10 13:00:00,9_47993850708
2024.08.10 14:00:00,9_47263908386
2024.08.10 15:00:00,9_46103096008
2024.08.10 16:00:00,9_45414733887
2024.08.10 17:00:00,9_45447063446
2024.08.10 18:00:00,9_45720767975
2024.08.10 19:00:00,9_46202754974
2024.08.10 20:00:00,9_46664333344
2024.08.10 21:00:00,9_46853351593
2024.08.10 22:00:00,9_47246074677
2024.08.10 23:00:00,9_47895812988
2024.08.11 00:00:00,9_4815568924
2024.08.11 01:00:00,9_48094081879
2024.08.11 02:00:00,9_48063755035
2024.08.11 03:00:00,9_47701740265
2024.08.11 04:00:00,9_47321891785
2024.08.11 05:00:00,9_46667385101
2024.08.11 06:00:00,9_461353302
2024.08.11 07:00:00,9_45942115784
2024.08.11 08:00:00,9_45697021484
2024.08.11 09:00:00,9_45645618439
2024.08.11 10:00:00,9_4567155838
2024.08.11 11:00:00,9_45483875275
2024.08.11 12:00:00,9_45370292664
2024.08.11 13:00:00,9_45171070099
2024.08.11 14:00:00,9_44910240173
2024.08.11 15:00:00,9_44676589966
2024.08.11 16:00:00,9_44541549683
2024.08.11 17:00:00,9_44296360016
2024.08.11 18:00:00,9_43927574158
2024.08.11 19:00:00,9_43226242065
2024.08.11 20:00:00,9_42305660248
2024.08.11 21:00:00,9_41550350189
2024.08.11 22:00:00,9_40922832489
2024.08.11 23:00:00,9_4029340744
2024.08.12 00:00:00,9_39801120758
2024.08.12 01:00:00,9_39559936523
2024.08.12 02:00:00,9_39495563507
2024.08.12 03:00:00,9_39237689972
2024.08.12 04:00:00,9_39016914368
2024.08.12 05:00:00,9_38898468018
2024.08.12 06:00:00,9_38858699799
2024.08.12 07:00:00,9_38974761963
2024.08.12 08:00:00,9_39137268066
2024.08.12 09:00:00,9_39422988892
2024.08.12 10:00:00,9_39797592163
2024.08.12 11:00:00,9_40004444122
