Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.07 14:00:00,9_42358016968
2024.08.07 15:00:00,9_42218112946
2024.08.07 16:00:00,9_41848945618
2024.08.07 17:00:00,9_4092206955
2024.08.07 18:00:00,9_39748001099
2024.08.07 19:00:00,9_38433361053
2024.08.07 20:00:00,9_37064266205
2024.08.07 21:00:00,9_35642433167
2024.08.07 22:00:00,9_34288787842
2024.08.07 23:00:00,9_33351421356
2024.08.08 00:00:00,9_31997394562
2024.08.08 01:00:00,9_31107330322
2024.08.08 02:00:00,9_30493927002
2024.08.08 03:00:00,9_29998683929
2024.08.08 04:00:00,9_29458618164
2024.08.08 05:00:00,9_28946304321
2024.08.08 06:00:00,9_28751564026
2024.08.08 07:00:00,9_28424453735
2024.08.08 08:00:00,9_28006362915
2024.08.08 09:00:00,9_27610015869
2024.08.08 10:00:00,9_269323349
2024.08.08 11:00:00,9_25500488281
2024.08.08 12:00:00,9_24722766876
2024.08.08 13:00:00,9_26461696625
2024.08.08 14:00:00,9_28949260712
2024.08.08 15:00:00,9_28918743134
2024.08.08 16:00:00,9_28579330444
2024.08.08 17:00:00,9_29444217682
2024.08.08 18:00:00,9_31130504608
2024.08.08 19:00:00,9_33336734772
2024.08.08 20:00:00,9_33882904053
2024.08.08 21:00:00,9_34998416901
2024.08.08 22:00:00,9_36773014069
2024.08.08 23:00:00,9_37759685516
2024.08.09 00:00:00,9_38867473602
2024.08.09 01:00:00,9_39527893066
2024.08.09 02:00:00,9_40047359467
2024.08.09 03:00:00,9_40767860413
2024.08.09 04:00:00,9_4153175354
2024.08.09 05:00:00,9_42234420776
2024.08.09 06:00:00,9_42625141144
2024.08.09 07:00:00,9_42761707306
2024.08.09 08:00:00,9_42745876312
2024.08.09 09:00:00,9_42594432831
2024.08.09 10:00:00,9_4231004715
2024.08.09 11:00:00,9_41889286041
2024.08.09 12:00:00,9_40647220612
2024.08.09 13:00:00,9_3819437027
2024.08.09 14:00:00,9_36176776886
2024.08.09 15:00:00,9_37413978577
2024.08.09 16:00:00,9_38093852997
2024.08.09 17:00:00,9_37836360931
2024.08.09 18:00:00,9_38050270081
2024.08.09 19:00:00,9_38296985626
2024.08.09 20:00:00,9_38074970245
2024.08.09 21:00:00,9_37531757355
2024.08.09 22:00:00,9_35636615753
2024.08.09 23:00:00,9_33091926575
2024.08.10 00:00:00,9_31999397278
2024.08.10 01:00:00,9_3159828186
2024.08.10 02:00:00,9_31376361847
2024.08.10 03:00:00,9_31329345703
2024.08.10 04:00:00,9_31508159637
2024.08.10 05:00:00,9_31935501099
2024.08.10 06:00:00,9_32013320923
2024.08.10 07:00:00,9_31839370728
2024.08.10 08:00:00,9_31601142883
2024.08.10 09:00:00,9_31455612183
2024.08.10 10:00:00,9_31433486938
2024.08.10 11:00:00,9_31171703339
2024.08.10 12:00:00,9_29743766785
2024.08.10 13:00:00,9_2858953476
2024.08.10 14:00:00,9_28917980194
2024.08.10 15:00:00,9_29106426239
2024.08.10 16:00:00,9_28651809692
2024.08.10 17:00:00,9_29029083252
2024.08.10 18:00:00,9_29738998413
2024.08.10 19:00:00,9_30259418488
2024.08.10 20:00:00,9_30657291412
2024.08.10 21:00:00,9_30841255188
2024.08.10 22:00:00,9_31065177917
2024.08.10 23:00:00,9_31266498566
2024.08.11 00:00:00,9_31481647491
2024.08.11 01:00:00,9_31613922119
2024.08.11 02:00:00,9_31654930115
2024.08.11 03:00:00,9_31625080109
2024.08.11 04:00:00,9_31749534607
2024.08.11 05:00:00,9_31641674042
2024.08.11 06:00:00,9_31460475922
2024.08.11 07:00:00,9_31391716003
2024.08.11 08:00:00,9_31405258179
2024.08.11 09:00:00,9_31492710114
2024.08.11 10:00:00,9_31474113464
2024.08.11 11:00:00,9_31196212769
2024.08.11 12:00:00,9_30819225311
2024.08.11 13:00:00,9_30447769165
2024.08.11 14:00:00,9_30125427246
2024.08.11 15:00:00,9_29849338531
2024.08.11 16:00:00,9_29753017426
2024.08.11 17:00:00,9_29766750336
2024.08.11 18:00:00,9_30008029938
2024.08.11 19:00:00,9_30202007294
2024.08.11 20:00:00,9_30228614807
2024.08.11 21:00:00,9_30131530762
2024.08.11 22:00:00,9_29882907867
2024.08.11 23:00:00,9_29598331451
2024.08.12 00:00:00,9_29298591614
2024.08.12 01:00:00,9_291431427
2024.08.12 02:00:00,9_28958702087
2024.08.12 03:00:00,9_28786468506
2024.08.12 04:00:00,9_28678703308
2024.08.12 05:00:00,9_2872505188
2024.08.12 06:00:00,9_28954792023
2024.08.12 07:00:00,9_29144859314
2024.08.12 08:00:00,9_29259872437
2024.08.12 09:00:00,9_29334831238
2024.08.12 10:00:00,9_29475688934
2024.08.12 11:00:00,9_29455757141
2024.08.12 12:00:00,9_29295158386
2024.08.12 13:00:00,9_29025650024
2024.08.12 14:00:00,9_28413963318
2024.08.12 15:00:00,9_27194690704
2024.08.12 16:00:00,9_26477622986
2024.08.12 17:00:00,9_26173686981
2024.08.12 18:00:00,9_2588186264
2024.08.12 19:00:00,9_25644779205
2024.08.12 20:00:00,9_25613021851
2024.08.12 21:00:00,9_2578458786
2024.08.12 22:00:00,9_25218677521
2024.08.12 23:00:00,9_25275802612
2024.08.13 00:00:00,9_2524394989
2024.08.13 01:00:00,9_25269412994
2024.08.13 02:00:00,9_2535276413
2024.08.13 03:00:00,9_25478076935
2024.08.13 04:00:00,9_25656700134
2024.08.13 05:00:00,9_26012516022
2024.08.13 06:00:00,9_26378154755
2024.08.13 07:00:00,9_26667881012
2024.08.13 08:00:00,9_26935577393
2024.08.13 09:00:00,9_27335166931
2024.08.13 10:00:00,9_27681159973
2024.08.13 11:00:00,9_28064441681
2024.08.13 12:00:00,9_28601932526
2024.08.13 13:00:00,9_2932510376
2024.08.13 14:00:00,9_29542922974
2024.08.13 15:00:00,9_29300403595
2024.08.13 16:00:00,9_27574253082
2024.08.13 17:00:00,9_25167560577
2024.08.13 18:00:00,9_23828601837
2024.08.13 19:00:00,9_23388767242
2024.08.13 20:00:00,9_23229885101
2024.08.13 21:00:00,9_23050785065
2024.08.13 22:00:00,9_23032283783
2024.08.13 23:00:00,9_23201656342
2024.08.14 00:00:00,9_23352718353
2024.08.14 01:00:00,9_2296037674
2024.08.14 02:00:00,9_19650650024
2024.08.14 03:00:00,9_18546390533
2024.08.14 04:00:00,9_18300914764
2024.08.14 05:00:00,9_18452644348
2024.08.14 06:00:00,9_18832015991
2024.08.14 07:00:00,9_19417762756
2024.08.14 08:00:00,9_19595146179
2024.08.14 09:00:00,9_19930267334
2024.08.14 10:00:00,9_2057466507
2024.08.14 11:00:00,9_21145915985
2024.08.14 12:00:00,9_21614170074
2024.08.14 13:00:00,9_21569252014
2024.08.14 14:00:00,9_20760154724
2024.08.14 15:00:00,9_20963478088
2024.08.14 16:00:00,9_2119436264
2024.08.14 17:00:00,9_2106924057
2024.08.14 18:00:00,9_21221733093
2024.08.14 19:00:00,9_21482944489
2024.08.14 20:00:00,9_21438694
2024.08.14 21:00:00,9_21829319
2024.08.14 22:00:00,9_22038269043
2024.08.14 23:00:00,9_22414398193
2024.08.15 00:00:00,9_22790813446
2024.08.15 01:00:00,9_23108196259
2024.08.15 02:00:00,9_23396396637
2024.08.15 03:00:00,9_236992836
2024.08.15 04:00:00,9_24068069458
2024.08.15 05:00:00,9_24439907074
2024.08.15 06:00:00,9_24757194519
2024.08.15 07:00:00,9_2502040863
2024.08.15 08:00:00,9_25316429138
2024.08.15 09:00:00,9_25332832336
2024.08.15 10:00:00,9_25545883179
2024.08.15 11:00:00,9_25590324402
2024.08.15 12:00:00,9_25419902802
2024.08.15 13:00:00,9_25199317932
2024.08.15 14:00:00,9_24850177765
2024.08.15 15:00:00,9_24602603912
2024.08.15 16:00:00,9_24303340912
2024.08.15 17:00:00,9_24108695984
2024.08.15 18:00:00,9_23971652985
2024.08.15 19:00:00,9_23509883881
2024.08.15 20:00:00,9_23204994202
2024.08.15 21:00:00,9_23290729523
2024.08.15 22:00:00,9_23169994354
2024.08.15 23:00:00,9_23154830933
2024.08.16 00:00:00,9_23385334015
2024.08.16 01:00:00,9_234623909
2024.08.16 02:00:00,9_23621749878
2024.08.16 03:00:00,9_23837089539
2024.08.16 04:00:00,9_24183559418
2024.08.16 05:00:00,9_24613189697
2024.08.16 06:00:00,9_25023078918
2024.08.16 07:00:00,9_2540473938
2024.08.16 08:00:00,9_25749397278
2024.08.16 09:00:00,9_26020050049
2024.08.16 10:00:00,9_26429462433
2024.08.16 11:00:00,9_27089977264
2024.08.16 12:00:00,9_27884960175
2024.08.16 13:00:00,9_28670501709
2024.08.16 14:00:00,9_29244327545
2024.08.16 15:00:00,9_29399204254
2024.08.16 16:00:00,9_29201030731
2024.08.16 17:00:00,9_28797054291
2024.08.16 18:00:00,9_28290462494
2024.08.16 19:00:00,9_27737808228
2024.08.16 20:00:00,9_27223205566
2024.08.16 21:00:00,9_26799964905
2024.08.16 22:00:00,9_26484775543
2024.08.16 23:00:00,9_26281452179
2024.08.17 00:00:00,9_26251220703
2024.08.17 01:00:00,9_26325321198
2024.08.17 02:00:00,9_26445960999
2024.08.17 03:00:00,9_26676368713
2024.08.17 04:00:00,9_27024555206
2024.08.17 05:00:00,9_27506256104
2024.08.17 06:00:00,9_28116893768
2024.08.17 07:00:00,9_28807163239
2024.08.17 08:00:00,9_29535102844
2024.08.17 09:00:00,9_30160999298
2024.08.17 10:00:00,9_30516719818
2024.08.17 11:00:00,9_30547809601
2024.08.17 12:00:00,9_30245494843
2024.08.17 13:00:00,9_29614639282
2024.08.17 14:00:00,9_28611373901
2024.08.17 15:00:00,9_27500247955
2024.08.17 16:00:00,9_26484489441
2024.08.17 17:00:00,9_25663757324
2024.08.17 18:00:00,9_24846935272
2024.08.17 19:00:00,9_24069786072
2024.08.17 20:00:00,9_23449707031
2024.08.17 21:00:00,9_23035335541
2024.08.17 22:00:00,9_22667503357
2024.08.17 23:00:00,9_22284793854
2024.08.18 00:00:00,9_21988868713
2024.08.18 01:00:00,9_21820259094
2024.08.18 02:00:00,9_21680641174
2024.08.18 03:00:00,9_21641635895
2024.08.18 04:00:00,9_21680355072
2024.08.18 05:00:00,9_21625900269
2024.08.18 06:00:00,9_21465778351
2024.08.18 07:00:00,9_210272789
2024.08.18 08:00:00,9_20764541626
2024.08.18 09:00:00,9_2057352066
2024.08.18 10:00:00,9_20185375214
2024.08.18 11:00:00,9_20085716248
2024.08.18 12:00:00,9_19952487946
2024.08.18 13:00:00,9_19793796539
2024.08.18 14:00:00,9_19669532776
2024.08.18 15:00:00,9_19402980804
2024.08.18 16:00:00,9_19085884094
2024.08.18 17:00:00,9_18877410889
2024.08.18 18:00:00,9_18597507477
2024.08.18 19:00:00,9_18113422394
2024.08.18 20:00:00,9_17862510681
2024.08.18 21:00:00,9_17529582977
2024.08.18 22:00:00,9_17393684387
2024.08.18 23:00:00,9_17198181152
2024.08.19 00:00:00,9_17404842377
2024.08.19 01:00:00,9_16795730591
2024.08.19 02:00:00,9_15377902985
2024.08.19 03:00:00,9_15812683105
2024.08.19 04:00:00,9_16335296631
2024.08.19 05:00:00,9_16979598999
2024.08.19 06:00:00,9_17264461517
2024.08.19 07:00:00,9_1811208725
2024.08.19 08:00:00,9_19007778168
2024.08.19 09:00:00,9_19760799408
2024.08.19 10:00:00,9_20198249817
2024.08.19 11:00:00,9_20067310333
2024.08.19 12:00:00,9_19795131683
2024.08.19 13:00:00,9_19780158997
2024.08.19 14:00:00,9_18957519531
2024.08.19 15:00:00,9_18815612793
2024.08.19 16:00:00,9_18974590302
2024.08.19 17:00:00,9_19221973419
2024.08.19 18:00:00,9_19582271576
2024.08.19 19:00:00,9_19114685059
2024.08.19 20:00:00,9_18701934814
2024.08.19 21:00:00,9_1842508316
