Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.07 14:00:00,9_22557735443
2024.08.07 15:00:00,9_22405910492
2024.08.07 16:00:00,9_21656417847
2024.08.07 17:00:00,9_20430374146
2024.08.07 18:00:00,9_21187496185
2024.08.07 19:00:00,9_25127506256
2024.08.07 20:00:00,8_93321800232
2024.08.07 21:00:00,8_72595500946
2024.08.07 22:00:00,8_69449424744
2024.08.07 23:00:00,8_89056396484
2024.08.08 00:00:00,9_20790100098
2024.08.08 01:00:00,9_2013463974
2024.08.08 02:00:00,9_18414974213
2024.08.08 03:00:00,8_9577293396
2024.08.08 04:00:00,8_96495914459
2024.08.08 05:00:00,9_22969150543
2024.08.08 06:00:00,9_26651000977
2024.08.08 07:00:00,9_27979755402
2024.08.08 08:00:00,9_26575565338
2024.08.08 09:00:00,9_23873996735
2024.08.08 10:00:00,8_36745166779
2024.08.08 11:00:00,8_03144931793
2024.08.08 12:00:00,8_12236499786
2024.08.08 13:00:00,8_20084190369
2024.08.08 14:00:00,8_26576519012
2024.08.08 15:00:00,7_8897652626
2024.08.08 16:00:00,8_04232978821
2024.08.08 17:00:00,8_04679965973
2024.08.08 18:00:00,8_20478439331
2024.08.08 19:00:00,8_2175359726
2024.08.08 20:00:00,8_38658332825
2024.08.08 21:00:00,8_72201728821
2024.08.08 22:00:00,9_18405532837
2024.08.08 23:00:00,9_22595882416
2024.08.09 00:00:00,9_31175899506
2024.08.09 01:00:00,9_31820201874
2024.08.09 02:00:00,9_31391525269
2024.08.09 03:00:00,9_31452941895
2024.08.09 04:00:00,9_30560493469
2024.08.09 05:00:00,9_28875160217
2024.08.09 06:00:00,9_2744550705
2024.08.09 07:00:00,9_26037883759
2024.08.09 08:00:00,9_23620605469
2024.08.09 09:00:00,9_22755527496
2024.08.09 10:00:00,9_24166107178
2024.08.09 11:00:00,9_25184059143
2024.08.09 12:00:00,8_9515542984
2024.08.09 13:00:00,8_25526714325
2024.08.09 14:00:00,8_96305179596
2024.08.09 15:00:00,9_23066043854
2024.08.09 16:00:00,9_22381687164
2024.08.09 17:00:00,9_22590637207
2024.08.09 18:00:00,9_23537349701
2024.08.09 19:00:00,9_259516716
2024.08.09 20:00:00,9_24847698212
2024.08.09 21:00:00,9_26436138153
2024.08.09 22:00:00,9_20305538177
2024.08.09 23:00:00,9_1294670105
2024.08.10 00:00:00,9_21695995331
2024.08.10 01:00:00,9_24362182617
2024.08.10 02:00:00,9_24054050446
2024.08.10 03:00:00,9_23173046112
2024.08.10 04:00:00,9_251912117
2024.08.10 05:00:00,9_26436328888
2024.08.10 06:00:00,9_26214504242
2024.08.10 07:00:00,9_26091384888
2024.08.10 08:00:00,9_24793052673
2024.08.10 09:00:00,9_25901126862
