Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.07 06:00:00,7_72477797E-05
2024.08.07 07:00:00,7_56973677198E-05
2024.08.07 08:00:00,7_48033053242E-05
2024.08.07 09:00:00,7_40218820283E-05
2024.08.07 10:00:00,7_26046346244E-05
2024.08.07 11:00:00,7_13845001883E-05
2024.08.07 12:00:00,6_93491165293E-05
2024.08.07 13:00:00,6_88799991622E-05
2024.08.07 14:00:00,6_77079879097E-05
2024.08.07 15:00:00,6_70114823151E-05
2024.08.07 16:00:00,6_68647262501E-05
2024.08.07 17:00:00,6_67138010613E-05
2024.08.07 18:00:00,6_69456276228E-05
2024.08.07 19:00:00,6_70906738378E-05
2024.08.07 20:00:00,6_71159941703E-05
2024.08.07 21:00:00,6_67916538077E-05
2024.08.07 22:00:00,6_63823229843E-05
2024.08.07 23:00:00,6_60178920953E-05
2024.08.08 00:00:00,6_55596377328E-05
2024.08.08 01:00:00,6_44648825983E-05
2024.08.08 02:00:00,6_35587857687E-05
2024.08.08 03:00:00,6_32370865787E-05
2024.08.08 04:00:00,6_26143882982E-05
2024.08.08 05:00:00,6_18885896984E-05
2024.08.08 06:00:00,6_11768191447E-05
2024.08.08 07:00:00,6_04873494012E-05
2024.08.08 08:00:00,5_97301732341E-05
2024.08.08 09:00:00,5_88634247833E-05
2024.08.08 10:00:00,5_86052083236E-05
2024.08.08 11:00:00,5_84688968956E-05
2024.08.08 12:00:00,5_8034198446E-05
2024.08.08 13:00:00,5_70113916183E-05
2024.08.08 14:00:00,5_58735409868E-05
2024.08.08 15:00:00,5_4989970522E-05
2024.08.08 16:00:00,5_46675473743E-05
2024.08.08 17:00:00,5_40297296538E-05
2024.08.08 18:00:00,5_30478246219E-05
2024.08.08 19:00:00,5_18007655046E-05
2024.08.08 20:00:00,5_08617631567E-05
2024.08.08 21:00:00,5_0168553571E-05
2024.08.08 22:00:00,4_94274790981E-05
2024.08.08 23:00:00,4_8645921197E-05
2024.08.09 00:00:00,4_83954099764E-05
2024.08.09 01:00:00,4_7939534852E-05
2024.08.09 02:00:00,4_76523127872E-05
2024.08.09 03:00:00,4_72294050269E-05
2024.08.09 04:00:00,4_67540739919E-05
2024.08.09 05:00:00,4_63055221189E-05
2024.08.09 06:00:00,4_58314571006E-05
2024.08.09 07:00:00,4_50307197752E-05
2024.08.09 08:00:00,4_37878225057E-05
2024.08.09 09:00:00,4_25864418503E-05
2024.08.09 10:00:00,4_18616036768E-05
2024.08.09 11:00:00,4_21126387664E-05
2024.08.09 12:00:00,4_29460305895E-05
