Column,Max Value,Datetime
Blast Site,2.38502025604,2024-08-01 05:00:00
Spjelkavikelva,0.00249795219861,2024-08-01 12:00:00
Vasstrandlia Pump Intake,5.29245044163e-05,2024-08-08 17:00:00
Profiler,1.85943499673e-05,2024-08-25 01:00:00
Nørebotnen,1.21959901662e-05,2024-10-31 16:00:00
