Unnamed: 0,Depth-averaged uncertainty,Longitude,Latitude,time,cluster
0,2.4688322205359268,6.409397297392903,62.47000313606216,2024-11-20,0
1,2.381391607457171,6.511032796228493,62.48120400867616,2024-11-20,1
2,2.3551695129323686,6.512189739402536,62.480128370418456,2024-11-20,1
3,2.2763008759678405,6.51274566136189,62.48053234577755,2024-11-20,1
4,2.193188144550714,6.511338646100247,62.48108800163186,2024-11-20,1
5,2.173885182097476,6.511982526034625,62.48059473057855,2024-11-20,1
6,2.1672340103066845,6.512354075075961,62.480631984756045,2024-11-20,1
7,2.1420404239047945,6.4088045990724645,62.47025513467139,2024-11-20,0
8,2.1401182315905696,6.512634426680741,62.48017651585666,2024-11-20,1
9,2.134247074148649,6.511566129282156,62.4810917773838,2024-11-20,1
10,2.108545637243729,6.511668773239533,62.48068795253922,2024-11-20,1
11,2.0955136663913008,6.511806453527815,62.480259416442834,2024-11-20,1
12,2.0532746354639837,6.409300252695339,62.46975711136828,2024-11-20,0
13,2.038773088826773,6.4102879234585854,62.4701818944867,2024-11-20,0
14,1.9425877386266568,6.426774712424253,62.47742905604143,2024-11-20,2
15,1.922938263772546,6.511982726302946,62.47980862693824,2024-11-20,1
16,1.916030587088484,6.410769020730272,62.46994386443525,2024-11-20,0
17,1.9108013706313096,6.448730869838617,62.47534140611217,2024-11-20,3
18,1.909393462230096,6.511234475597598,62.48067144898748,2024-11-20,1
19,1.9067329593165336,6.5118312193525165,62.48103239761053,2024-11-20,1
20,1.9059010364851543,6.51320461871685,62.4806112606998,2024-11-20,1
21,1.889871829442688,6.410608552421655,62.46956347096044,2024-11-20,0
22,1.871110276891381,6.40891330961421,62.47055155511625,2024-11-20,0
23,1.8439712633255632,6.42608997509395,62.47729756972439,2024-11-20,2
24,1.8434039098276545,6.449495331960813,62.47527829960239,2024-11-20,3
25,1.8308323496953451,6.511020511989864,62.48077856448007,2024-11-20,1
26,1.8278079232246816,6.448530336727035,62.47566723297385,2024-11-20,3
27,1.816708440114784,6.510589339632902,62.481148229425,2024-11-20,1
28,1.814295712965948,6.427219129520752,62.47685797664052,2024-11-20,2
29,1.797317433200542,6.512156655402384,62.48106727138264,2024-11-20,1
30,1.7739875240175471,6.484957173884503,62.47398882303076,2024-11-20,4
31,1.758391381193209,6.426554361643276,62.47674277377772,2024-11-20,2
32,1.7496535807684093,6.512438091792276,62.48100084333007,2024-11-20,1
33,1.7358453871424593,6.44975553037535,62.47501807476544,2024-11-20,3
34,1.7233012407194803,6.511565268527438,62.47978083833545,2024-11-20,1
35,1.7131786663752429,6.511384086179118,62.48023166501455,2024-11-20,1
36,1.6947202433870214,6.448206379721543,62.475115437390365,2024-11-20,3
37,1.6764815295658255,6.40989256265097,62.46946308015436,2024-11-20,0
38,1.652231719993326,6.513234088009438,62.48097221065068,2024-11-20,1
39,1.636529027618974,6.427358220831611,62.47716497020272,2024-11-20,2
40,1.6298593060471696,6.413959424197514,62.47393917549866,2024-11-20,5
41,1.6197464390723573,6.411034624181632,62.46938463689998,2024-11-20,0
42,1.6175436720449354,6.449484550773033,62.47478328140637,2024-11-20,3
43,1.6083519027281028,6.512772584001933,62.48104099317121,2024-11-20,1
44,1.5942859338810544,6.447456446015863,62.47527276334809,2024-11-20,3
45,1.5785469234213498,6.427669034096878,62.47630939599055,2024-11-20,2
46,1.5750589385986435,6.448267556132968,62.47483430962509,2024-11-20,3
47,1.5746110875441008,6.448751478450905,62.47469866507163,2024-11-20,3
48,1.5683736039622629,6.513712385794523,62.48047698394021,2024-11-20,1
49,1.5609429886575876,6.511185048748245,62.47993141926459,2024-11-20,1
50,1.5544834026365866,6.449941593774881,62.475609581112,2024-11-20,3
