Index;Include?;Label;Path to Results;Max Layers;Layer Type;Secchi Depth (m);HMF?;VFF?;Vicoww;Dicoww;Mesh;Area (m2);Volume (m3);2D Cells;3D Cells;3D Links;Courant Limit;Max Timestep (s);Start;End;Simulation Period (h);Timesteps;Model Size;Run Time (h);Simulation Time/Run Time;Correlation;Sum of Squares Error;Mean Absolute Error;Mean Squared Error;Root Mean Squared Error;Mean Percent Error
6;1;40 Layer Full Season High Res noVfilter;D:\Russell\Delft3D\Projects\ESwA\Results\7mnth\40_highres_novfilt;40;z;1;1;0;1.00E-06;1.00E-06;High Res;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;19.76;253.83371;0.9571;7,774.5002;1.0604;1.7478;1.3221;15.1069
5;1;40 Layer Full Season High Res;D:\Russell\Delft3D\Projects\ESwA\Results\7mnth\40_highres_contam;40;z;1;1;1;1.00E-06;1.00E-06;High Res;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;18.4;272.66956;0.9574;7,817.1621;1.0629;1.7553;1.3249;15.1892
4;1;40 Layer Full Season Low Res;D:\Russell\Delft3D\Projects\ESwA\Results\7mnth\40_low_filtered;40;z;1;1;1;1.00E-06;1.00E-06;Low Res;7.58E+06;2.59E+08;2603;36197;50719;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;52318651620;11.58;433.2052;0.958;7,971.646;1.0711;1.786;1.3364;15.4806
3;1;40high_Vico6Dico5;D:\Russell\Delft3D\Projects\ESwA\Results\7mnth\40high_Vico6Dico5;40;z;1;1;1;1.00E-06;1.00E-05;High;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;23.53;213.16335;0.958;7,971.646;1.0711;1.786;1.3364;15.4806
2;1;20 Layer Full Season Low Res;D:\Russell\Delft3D\Projects\ESwA\Results\7mnth\20_lowres_contam;20;z;1;1;1;1.00E-06;1.00E-06;Low Res;7.58E+06;2.59E+08;2603;18661;26203;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;27005660480;5.33;940.94337;0.8564;-88.1413;1.0697;2.2778;1.5092;-1.8598
15;0;20 Layer Low Res;D:\Russell\Delft3D\Projects\ESwA\Results\7mnth\20Low;20;z;1;1;1;1.00E-06;1.00E-06;Low Res;7.58E+06;2.59E+08;2603;36197;50719;0.7;30;25.04.2024 00:00;15.11.2024 00:00;4920;590425;51317379300;5.23;940.05015;0.8564;-88.3826;1.0697;2.2779;1.5093;-1.8606
1;1;20 Layer Full Season High Res;D:\Russell\Delft3D\Projects\ESwA\Results\7mnth\20_highres_filtered;20;z;1;1;1;1.00E-06;1.00E-06;High Res;7.55E+06;2.54E+08;4935;34160;48822;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;49950599990;11.71;428.31331;0.8418;-513.842;1.1188;2.5038;1.5823;-3.921
23;0;40 Layer High Res Dicoww4;D:\Russell\Delft3D\Projects\ESwA\Results\7mnth\40High_Dico4;40;z;1;1;1;1.00E-06;1.00E-04;High Res;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;23.7;211.62218;0.7378;-5,022.8572;1.6205;4.3198;2.0784;-15.8059
24;0;40 Layer High Res VicoDicoww3;D:\Russell\Delft3D\Projects\ESwA\Results\7mnth\40_highresVicDic;40;z;1;1;1;1.00E-03;1.00E-03;High Res;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;18.99;264.09254;0.4513;-7,973.2572;2.2843;8.1214;2.8498;-25.2996
25;0;40 Layer High Res Dicoww3;D:\Russell\Delft3D\Projects\ESwA\Results\7mnth\40_highresDic;40;z;1;1;1;1.00E-06;1.00E-03;High Res;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;18.02;278.35653;0.4511;-8,004.9629;2.2872;8.1327;2.8518;-25.3706
