Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.03 23:00:00,0_000213925115531
2024.08.04 00:00:00,0_0002093079529
2024.08.04 01:00:00,0_000208192956052
2024.08.04 02:00:00,0_000206933327718
2024.08.04 03:00:00,0_000206101321965
2024.08.04 04:00:00,0_000203081581276
2024.08.04 05:00:00,0_000199155736482
2024.08.04 06:00:00,0_00019504269585
2024.08.04 07:00:00,0_00019090983551
2024.08.04 08:00:00,0_000186780336662
2024.08.04 09:00:00,0_000182688076166
2024.08.04 10:00:00,0_000178926828085
2024.08.04 11:00:00,0_000175063774805
2024.08.04 12:00:00,0_000159902338055
2024.08.04 13:00:00,0_000155640154844
2024.08.04 14:00:00,0_000151805114001
2024.08.04 15:00:00,0_000142894205055
2024.08.04 16:00:00,0_000146804930409
2024.08.04 17:00:00,0_000150472085807
2024.08.04 18:00:00,0_000149608327774
2024.08.04 19:00:00,0_000147596452734
2024.08.04 20:00:00,0_000144982856
2024.08.04 21:00:00,0_000142922406667
2024.08.04 22:00:00,0_000140613439726
2024.08.04 23:00:00,0_000138696137583
2024.08.05 00:00:00,0_000137102193548
2024.08.05 01:00:00,0_0001352049876
2024.08.05 02:00:00,0_000133560432005
2024.08.05 03:00:00,0_000131769018481
2024.08.05 04:00:00,0_000129215899506
2024.08.05 05:00:00,0_000127714447444
2024.08.05 06:00:00,0_000126163678942
2024.08.05 07:00:00,0_000124363054056
2024.08.05 08:00:00,0_000122141616885
2024.08.05 09:00:00,0_000120062497444
2024.08.05 10:00:00,0_000118814408779
2024.08.05 11:00:00,0_00011742861534
2024.08.05 12:00:00,0_000116198971227
2024.08.05 13:00:00,0_000107599211333
2024.08.05 14:00:00,0_000107451211079
2024.08.05 15:00:00,0_000106509920442
2024.08.05 16:00:00,0_000107951993414
2024.08.05 17:00:00,0_000106323714135
2024.08.05 18:00:00,0_000105314473331
2024.08.05 19:00:00,0_000104114660644
2024.08.05 20:00:00,0_000102532183519
2024.08.05 21:00:00,0_000101297206129
2024.08.05 22:00:00,0_00010012279381
2024.08.05 23:00:00,9_94397269096E-05
2024.08.06 00:00:00,9_84845828498E-05
2024.08.06 01:00:00,9_72713387455E-05
2024.08.06 02:00:00,9_64518840192E-05
2024.08.06 03:00:00,9_54680290306E-05
2024.08.06 04:00:00,9_41551334108E-05
2024.08.06 05:00:00,9_32062248467E-05
2024.08.06 06:00:00,9_20435923035E-05
2024.08.06 07:00:00,9_0343215561E-05
2024.08.06 08:00:00,8_81870873854E-05
2024.08.06 09:00:00,8_67391863721E-05
2024.08.06 10:00:00,8_57227059896E-05
2024.08.06 11:00:00,8_47731644171E-05
2024.08.06 12:00:00,8_48636045703E-05
2024.08.06 13:00:00,8_37673796923E-05
2024.08.06 14:00:00,8_3700826508E-05
2024.08.06 15:00:00,8_25744282338E-05
2024.08.06 16:00:00,8_10509518487E-05
2024.08.06 17:00:00,7_75309817982E-05
2024.08.06 18:00:00,7_67217861721E-05
2024.08.06 19:00:00,7_82411370892E-05
2024.08.06 20:00:00,7_7567412518E-05
2024.08.06 21:00:00,7_71100167185E-05
2024.08.06 22:00:00,7_64314900152E-05
2024.08.06 23:00:00,7_54695356591E-05
2024.08.07 00:00:00,7_44445933378E-05
2024.08.07 01:00:00,7_38664602977E-05
2024.08.07 02:00:00,7_29843959562E-05
2024.08.07 03:00:00,7_25826685084E-05
2024.08.07 04:00:00,7_18264491297E-05
2024.08.07 05:00:00,7_15415371815E-05
2024.08.07 06:00:00,7_10053718649E-05
2024.08.07 07:00:00,6_9958397944E-05
2024.08.07 08:00:00,6_96603819961E-05
2024.08.07 09:00:00,6_91103487043E-05
2024.08.07 10:00:00,6_85595077812E-05
2024.08.07 11:00:00,6_79895310896E-05
2024.08.07 12:00:00,6_71116213198E-05
2024.08.07 13:00:00,6_69095607009E-05
2024.08.07 14:00:00,6_59426150378E-05
2024.08.07 15:00:00,6_5365464252E-05
2024.08.07 16:00:00,6_4845844463E-05
2024.08.07 17:00:00,6_43537714495E-05
2024.08.07 18:00:00,6_40617217869E-05
2024.08.07 19:00:00,6_38647761662E-05
2024.08.07 20:00:00,6_13320007687E-05
2024.08.07 21:00:00,5_94807861489E-05
2024.08.07 22:00:00,5_8829496993E-05
2024.08.07 23:00:00,5_96898789809E-05
2024.08.08 00:00:00,6_14564414718E-05
2024.08.08 01:00:00,6_12364237895E-05
2024.08.08 02:00:00,6_07045003562E-05
2024.08.08 03:00:00,5_86797650612E-05
2024.08.08 04:00:00,5_82639404456E-05
2024.08.08 05:00:00,5_95557357883E-05
2024.08.08 06:00:00,5_92768010392E-05
2024.08.08 07:00:00,5_88777111261E-05
2024.08.08 08:00:00,5_83516921324E-05
2024.08.08 09:00:00,5_77889913984E-05
2024.08.08 10:00:00,5_15450519742E-05
2024.08.08 11:00:00,4_84381489514E-05
2024.08.08 12:00:00,4_82089308207E-05
2024.08.08 13:00:00,4_77903122373E-05
2024.08.08 14:00:00,4_77372705063E-05
2024.08.08 15:00:00,4_49594335805E-05
2024.08.08 16:00:00,4_52864442195E-05
2024.08.08 17:00:00,4_45423102065E-05
2024.08.08 18:00:00,4_47804522992E-05
2024.08.08 19:00:00,4_47875099781E-05
2024.08.08 20:00:00,4_54971850559E-05
2024.08.08 21:00:00,4_70400882477E-05
2024.08.08 22:00:00,4_93255647598E-05
2024.08.08 23:00:00,4_91287210025E-05
2024.08.09 00:00:00,4_91297141707E-05
2024.08.09 01:00:00,4_89184603794E-05
2024.08.09 02:00:00,4_85973250761E-05
2024.08.09 03:00:00,4_83214171254E-05
2024.08.09 04:00:00,4_78746151202E-05
2024.08.09 05:00:00,4_73350410175E-05
2024.08.09 06:00:00,4_68354737677E-05
2024.08.09 07:00:00,4_62782882096E-05
2024.08.09 08:00:00,4_55080007669E-05
2024.08.09 09:00:00,4_50682709925E-05
2024.08.09 10:00:00,4_52207241324E-05
2024.08.09 11:00:00,4_5350228902E-05
2024.08.09 12:00:00,4_38829301856E-05
2024.08.09 13:00:00,4_03456724598E-05
2024.08.09 14:00:00,4_35368965555E-05
2024.08.09 15:00:00,4_44778015662E-05
2024.08.09 16:00:00,4_43070821348E-05
2024.08.09 17:00:00,4_4059845095E-05
2024.08.09 18:00:00,4_37926610175E-05
2024.08.09 19:00:00,4_3551390263E-05
2024.08.09 20:00:00,4_3168252887E-05
2024.08.09 21:00:00,4_29906031059E-05
2024.08.09 22:00:00,4_24742684118E-05
2024.08.09 23:00:00,4_1833081923E-05
2024.08.10 00:00:00,4_19421558036E-05
2024.08.10 01:00:00,4_18592171627E-05
2024.08.10 02:00:00,4_16081202275E-05
2024.08.10 03:00:00,4_13016496168E-05
2024.08.10 04:00:00,4_12066729041E-05
2024.08.10 05:00:00,4_10944485338E-05
2024.08.10 06:00:00,4_08700434491E-05
2024.08.10 07:00:00,4_06444887631E-05
2024.08.10 08:00:00,4_03494850616E-05
2024.08.10 09:00:00,4_02042496717E-05
2024.08.10 10:00:00,3_99867894885E-05
2024.08.10 11:00:00,3_97187868657E-05
2024.08.10 12:00:00,3_93579539377E-05
2024.08.10 13:00:00,3_89122033084E-05
2024.08.10 14:00:00,3_85526982427E-05
2024.08.10 15:00:00,3_83284786949E-05
2024.08.10 16:00:00,3_81338250008E-05
2024.08.10 17:00:00,3_81206482416E-05
2024.08.10 18:00:00,3_79667872039E-05
2024.08.10 19:00:00,3_78151562472E-05
2024.08.10 20:00:00,3_76289026462E-05
2024.08.10 21:00:00,3_74921146431E-05
2024.08.10 22:00:00,3_73924885935E-05
2024.08.10 23:00:00,3_72484864783E-05
2024.08.11 00:00:00,3_71782734874E-05
2024.08.11 01:00:00,3_70616908185E-05
2024.08.11 02:00:00,3_69725930796E-05
2024.08.11 03:00:00,3_68816909031E-05
2024.08.11 04:00:00,3_68100445485E-05
2024.08.11 05:00:00,3_67034554074E-05
2024.08.11 06:00:00,3_65906053048E-05
2024.08.11 07:00:00,3_64606785297E-05
2024.08.11 08:00:00,3_63330291293E-05
2024.08.11 09:00:00,3_61771162716E-05
2024.08.11 10:00:00,3_59975238098E-05
2024.08.11 11:00:00,3_58308643627E-05
2024.08.11 12:00:00,3_5662065784E-05
2024.08.11 13:00:00,3_54359581252E-05
2024.08.11 14:00:00,3_52656497853E-05
2024.08.11 15:00:00,3_5048728023E-05
2024.08.11 16:00:00,3_49570182152E-05
2024.08.11 17:00:00,3_48150460923E-05
2024.08.11 18:00:00,3_47346758645E-05
2024.08.11 19:00:00,3_46382439602E-05
2024.08.11 20:00:00,3_45430744346E-05
2024.08.11 21:00:00,3_44589789165E-05
2024.08.11 22:00:00,3_43894243997E-05
2024.08.11 23:00:00,3_43041610904E-05
2024.08.12 00:00:00,3_42498460668E-05
2024.08.12 01:00:00,3_4157983464E-05
2024.08.12 02:00:00,3_40639417118E-05
2024.08.12 03:00:00,3_39540019922E-05
2024.08.12 04:00:00,3_387507968E-05
2024.08.12 05:00:00,3_37778183166E-05
2024.08.12 06:00:00,3_36786688422E-05
2024.08.12 07:00:00,3_35687836923E-05
2024.08.12 08:00:00,3_34236647177E-05
2024.08.12 09:00:00,3_3282685763E-05
2024.08.12 10:00:00,3_31666815327E-05
2024.08.12 11:00:00,3_29678005073E-05
2024.08.12 12:00:00,3_29262074956E-05
