Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.06 19:00:00,1_3921901882E-05
2024.08.06 20:00:00,1_45642707139E-05
2024.08.06 21:00:00,1_5076222553E-05
2024.08.06 22:00:00,1_54419176397E-05
2024.08.06 23:00:00,1_55514026119E-05
2024.08.07 00:00:00,1_52847278514E-05
2024.08.07 01:00:00,1_4696598555E-05
2024.08.07 02:00:00,1_39660596687E-05
2024.08.07 03:00:00,1_32445056806E-05
2024.08.07 04:00:00,1_26674522107E-05
2024.08.07 05:00:00,1_2245472135E-05
2024.08.07 06:00:00,1_19576343423E-05
2024.08.07 07:00:00,1_17104473247E-05
2024.08.07 08:00:00,1_14634331112E-05
2024.08.07 09:00:00,1_12696770884E-05
2024.08.07 10:00:00,1_11375056804E-05
2024.08.07 11:00:00,1_10980008685E-05
2024.08.07 12:00:00,1_12177485789E-05
2024.08.07 13:00:00,1_13993091873E-05
2024.08.07 14:00:00,1_14282765935E-05
2024.08.07 15:00:00,1_12682628242E-05
2024.08.07 16:00:00,1_10731480163E-05
2024.08.07 17:00:00,1_09430329758E-05
2024.08.07 18:00:00,1_09277789306E-05
2024.08.07 19:00:00,1_10806795419E-05
2024.08.07 20:00:00,1_13588885142E-05
2024.08.07 21:00:00,1_16892297228E-05
2024.08.07 22:00:00,1_20074746519E-05
2024.08.07 23:00:00,1_23495947264E-05
2024.08.08 00:00:00,1_25879305415E-05
2024.08.08 01:00:00,1_27501571114E-05
2024.08.08 02:00:00,1_28991168822E-05
2024.08.08 03:00:00,1_30995176733E-05
2024.08.08 04:00:00,1_33027115226E-05
2024.08.08 05:00:00,1_34757356136E-05
2024.08.08 06:00:00,1_3633002709E-05
2024.08.08 07:00:00,1_37941979119E-05
2024.08.08 08:00:00,1_39780768222E-05
2024.08.08 09:00:00,1_41758118843E-05
2024.08.08 10:00:00,1_4530865883E-05
2024.08.08 11:00:00,1_5385909137E-05
2024.08.08 12:00:00,1_65991586982E-05
2024.08.08 13:00:00,1_73748667294E-05
2024.08.08 14:00:00,1_74540127773E-05
2024.08.08 15:00:00,1_76020239451E-05
2024.08.08 16:00:00,1_79070884769E-05
2024.08.08 17:00:00,1_81410759978E-05
2024.08.08 18:00:00,1_80660244951E-05
2024.08.08 19:00:00,1_75372169906E-05
2024.08.08 20:00:00,1_69906161318E-05
2024.08.08 21:00:00,1_62132546393E-05
2024.08.08 22:00:00,1_5398434698E-05
2024.08.08 23:00:00,1_47704713527E-05
2024.08.09 00:00:00,1_42146791404E-05
2024.08.09 01:00:00,1_37658926178E-05
2024.08.09 02:00:00,1_33602015921E-05
2024.08.09 03:00:00,1_29635091071E-05
2024.08.09 04:00:00,1_26187951537E-05
2024.08.09 05:00:00,1_23526788229E-05
2024.08.09 06:00:00,1_21576640595E-05
2024.08.09 07:00:00,1_20222584883E-05
2024.08.09 08:00:00,1_19312453535E-05
