Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.06 19:00:00,1_97243402167E-11
2024.08.06 20:00:00,1_97290257048E-11
2024.08.06 21:00:00,1_9737185844E-11
2024.08.06 22:00:00,1_97224129389E-11
2024.08.06 23:00:00,1_97247339989E-11
2024.08.07 00:00:00,1_97614546255E-11
2024.08.07 01:00:00,1_98313275523E-11
2024.08.07 02:00:00,1_99221073666E-11
2024.08.07 03:00:00,1_99757346081E-11
2024.08.07 04:00:00,2_0023449912E-11
2024.08.07 05:00:00,2_00494811725E-11
2024.08.07 06:00:00,2_00736233191E-11
2024.08.07 07:00:00,2_01236510095E-11
2024.08.07 08:00:00,2_01549384821E-11
2024.08.07 09:00:00,2_01657145843E-11
2024.08.07 10:00:00,2_01678881928E-11
2024.08.07 11:00:00,2_01710384506E-11
2024.08.07 12:00:00,2_01856795168E-11
2024.08.07 13:00:00,2_02263275573E-11
2024.08.07 14:00:00,2_02756336026E-11
2024.08.07 15:00:00,2_03244539254E-11
2024.08.07 16:00:00,2_03424811718E-11
2024.08.07 17:00:00,2_03507384555E-11
2024.08.07 18:00:00,2_035698346E-11
2024.08.07 19:00:00,2_03665521947E-11
2024.08.07 20:00:00,2_03956591199E-11
2024.08.07 21:00:00,2_04612108506E-11
2024.08.07 22:00:00,2_05268059494E-11
2024.08.07 23:00:00,2_05799422642E-11
2024.08.08 00:00:00,2_06426906818E-11
2024.08.08 01:00:00,2_07008611641E-11
2024.08.08 02:00:00,2_07433254601E-11
2024.08.08 03:00:00,2_0788412658E-11
2024.08.08 04:00:00,2_08534023383E-11
2024.08.08 05:00:00,2_09179305821E-11
2024.08.08 06:00:00,2_09796000017E-11
2024.08.08 07:00:00,2_10570866299E-11
2024.08.08 08:00:00,2_1162753841E-11
2024.08.08 09:00:00,2_12646185382E-11
2024.08.08 10:00:00,2_15057294889E-11
2024.08.08 11:00:00,2_24057803561E-11
2024.08.08 12:00:00,2_7027284924E-11
2024.08.08 13:00:00,3_35307788479E-11
2024.08.08 14:00:00,3_73548171562E-11
2024.08.08 15:00:00,4_97825322632E-11
2024.08.08 16:00:00,9_14217937464E-11
2024.08.08 17:00:00,1_64184082996E-10
2024.08.08 18:00:00,1_86738666197E-10
2024.08.08 19:00:00,1_9390836159E-10
2024.08.08 20:00:00,2_05774827733E-10
2024.08.08 21:00:00,2_22331736355E-10
2024.08.08 22:00:00,2_45497122631E-10
2024.08.08 23:00:00,2_7982416384E-10
2024.08.09 00:00:00,3_16242199094E-10
2024.08.09 01:00:00,3_60282359502E-10
2024.08.09 02:00:00,4_12009787398E-10
2024.08.09 03:00:00,4_54469822886E-10
2024.08.09 04:00:00,5_00858077235E-10
2024.08.09 05:00:00,5_46077960628E-10
2024.08.09 06:00:00,5_73898040201E-10
2024.08.09 07:00:00,5_978478268E-10
2024.08.09 08:00:00,6_31874608192E-10
2024.08.09 09:00:00,6_70877187137E-10
2024.08.09 10:00:00,7_36135208346E-10
2024.08.09 11:00:00,9_52587009273E-10
2024.08.09 12:00:00,1_37172739834E-09
2024.08.09 13:00:00,1_8081639519E-09
2024.08.09 14:00:00,1_90169480163E-09
2024.08.09 15:00:00,1_8802408519E-09
2024.08.09 16:00:00,1_81710069214E-09
2024.08.09 17:00:00,1_7935071206E-09
2024.08.09 18:00:00,1_74261771679E-09
2024.08.09 19:00:00,1_73017644656E-09
2024.08.09 20:00:00,1_73771441681E-09
2024.08.09 21:00:00,1_7651373696E-09
2024.08.09 22:00:00,1_84696602457E-09
2024.08.09 23:00:00,1_94687088673E-09
2024.08.10 00:00:00,2_00261118799E-09
2024.08.10 01:00:00,2_015474454E-09
2024.08.10 02:00:00,2_01993111126E-09
2024.08.10 03:00:00,2_03627781303E-09
2024.08.10 04:00:00,2_053690773E-09
2024.08.10 05:00:00,2_08024131254E-09
2024.08.10 06:00:00,2_11733719446E-09
2024.08.10 07:00:00,2_15339834853E-09
2024.08.10 08:00:00,2_20319895661E-09
2024.08.10 09:00:00,2_26565544104E-09
2024.08.10 10:00:00,2_36464381409E-09
2024.08.10 11:00:00,2_51779463945E-09
2024.08.10 12:00:00,2_68058952813E-09
2024.08.10 13:00:00,2_74798006572E-09
2024.08.10 14:00:00,2_73777978066E-09
2024.08.10 15:00:00,2_74276534817E-09
2024.08.10 16:00:00,2_7244269063E-09
2024.08.10 17:00:00,2_68306354911E-09
2024.08.10 18:00:00,2_66930211268E-09
2024.08.10 19:00:00,2_67585487101E-09
2024.08.10 20:00:00,2_68736921605E-09
2024.08.10 21:00:00,2_70651057122E-09
2024.08.10 22:00:00,2_7350022247E-09
2024.08.10 23:00:00,2_75659961524E-09
2024.08.11 00:00:00,2_77942535654E-09
2024.08.11 01:00:00,2_79844902806E-09
2024.08.11 02:00:00,2_81521161938E-09
2024.08.11 03:00:00,2_82964274234E-09
2024.08.11 04:00:00,2_84052736887E-09
2024.08.11 05:00:00,2_84293144581E-09
2024.08.11 06:00:00,2_8540587671E-09
2024.08.11 07:00:00,2_86341905742E-09
2024.08.11 08:00:00,2_87196066928E-09
2024.08.11 09:00:00,2_88452506325E-09
2024.08.11 10:00:00,2_90654389445E-09
2024.08.11 11:00:00,2_93285795649E-09
2024.08.11 12:00:00,2_97243518688E-09
2024.08.11 13:00:00,3_00699265487E-09
2024.08.11 14:00:00,3_01601277286E-09
2024.08.11 15:00:00,3_00013169863E-09
2024.08.11 16:00:00,2_97737390298E-09
2024.08.11 17:00:00,2_96312818726E-09
2024.08.11 18:00:00,2_95378543846E-09
2024.08.11 19:00:00,2_96310287418E-09
2024.08.11 20:00:00,2_98130098386E-09
2024.08.11 21:00:00,2_99732860753E-09
2024.08.11 22:00:00,3_01211211529E-09
2024.08.11 23:00:00,3_02848146561E-09
