Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.06 19:00:00,2_05725569913E-07
2024.08.06 20:00:00,2_2002923572E-07
2024.08.06 21:00:00,2_35509148183E-07
2024.08.06 22:00:00,2_58239964523E-07
2024.08.06 23:00:00,2_80863957869E-07
2024.08.07 00:00:00,2_9646255939E-07
2024.08.07 01:00:00,3_05518256027E-07
2024.08.07 02:00:00,3_15101175374E-07
2024.08.07 03:00:00,3_19693128858E-07
2024.08.07 04:00:00,3_19972627949E-07
2024.08.07 05:00:00,3_18550661405E-07
2024.08.07 06:00:00,3_22966911881E-07
2024.08.07 07:00:00,3_32331040909E-07
2024.08.07 08:00:00,3_43862126329E-07
2024.08.07 09:00:00,3_60627467444E-07
2024.08.07 10:00:00,3_77269543606E-07
2024.08.07 11:00:00,3_90792394001E-07
2024.08.07 12:00:00,4_00146831225E-07
2024.08.07 13:00:00,4_09724464134E-07
2024.08.07 14:00:00,4_24387593512E-07
2024.08.07 15:00:00,4_43522765181E-07
2024.08.07 16:00:00,4_65907248781E-07
2024.08.07 17:00:00,4_90215938953E-07
2024.08.07 18:00:00,5_12685573995E-07
2024.08.07 19:00:00,5_34632761173E-07
2024.08.07 20:00:00,5_54953714982E-07
2024.08.07 21:00:00,5_77427840653E-07
2024.08.07 22:00:00,5_97409155034E-07
2024.08.07 23:00:00,6_14838256752E-07
2024.08.08 00:00:00,6_30359579645E-07
2024.08.08 01:00:00,6_44191629817E-07
2024.08.08 02:00:00,6_58920498608E-07
2024.08.08 03:00:00,6_81753817844E-07
2024.08.08 04:00:00,7_24455503587E-07
2024.08.08 05:00:00,7_86501345829E-07
2024.08.08 06:00:00,8_53571009429E-07
2024.08.08 07:00:00,9_27752182633E-07
2024.08.08 08:00:00,1_02000876723E-06
2024.08.08 09:00:00,1_11657789148E-06
2024.08.08 10:00:00,1_22168648886E-06
2024.08.08 11:00:00,1_42997214425E-06
2024.08.08 12:00:00,1_93001665139E-06
2024.08.08 13:00:00,2_65637140728E-06
2024.08.08 14:00:00,3_34321498485E-06
2024.08.08 15:00:00,4_02748946726E-06
2024.08.08 16:00:00,4_6744694373E-06
2024.08.08 17:00:00,5_20568710272E-06
2024.08.08 18:00:00,5_61381966691E-06
2024.08.08 19:00:00,5_8574155446E-06
2024.08.08 20:00:00,5_98562746745E-06
2024.08.08 21:00:00,5_89106957705E-06
2024.08.08 22:00:00,5_61201386517E-06
2024.08.08 23:00:00,5_34749278813E-06
2024.08.09 00:00:00,5_10704785484E-06
2024.08.09 01:00:00,4_77616276839E-06
2024.08.09 02:00:00,4_41329484602E-06
2024.08.09 03:00:00,4_01122861149E-06
2024.08.09 04:00:00,3_66193580703E-06
2024.08.09 05:00:00,3_33877005687E-06
2024.08.09 06:00:00,2_99489715871E-06
2024.08.09 07:00:00,2_67443806479E-06
2024.08.09 08:00:00,2_4293219667E-06
2024.08.09 09:00:00,2_24659652304E-06
2024.08.09 10:00:00,2_09969903153E-06
2024.08.09 11:00:00,1_97423287318E-06
2024.08.09 12:00:00,1_88601165974E-06
2024.08.09 13:00:00,1_87436751276E-06
2024.08.09 14:00:00,2_01010493583E-06
2024.08.09 15:00:00,2_13059342968E-06
2024.08.09 16:00:00,2_1828059289E-06
2024.08.09 17:00:00,2_18157651943E-06
2024.08.09 18:00:00,2_14112924368E-06
2024.08.09 19:00:00,2_09511995308E-06
2024.08.09 20:00:00,2_07857442547E-06
2024.08.09 21:00:00,2_08405822377E-06
2024.08.09 22:00:00,2_09613403968E-06
2024.08.09 23:00:00,2_09255313166E-06
2024.08.10 00:00:00,2_07339007829E-06
2024.08.10 01:00:00,2_06039703698E-06
2024.08.10 02:00:00,2_04873890652E-06
2024.08.10 03:00:00,2_02861701837E-06
2024.08.10 04:00:00,2_00215299628E-06
2024.08.10 05:00:00,1_9951160084E-06
2024.08.10 06:00:00,1_9981416699E-06
2024.08.10 07:00:00,1_99748933483E-06
2024.08.10 08:00:00,1_99678811441E-06
2024.08.10 09:00:00,2_00438830689E-06
2024.08.10 10:00:00,2_02734395316E-06
2024.08.10 11:00:00,2_11225119529E-06
2024.08.10 12:00:00,2_31215085478E-06
2024.08.10 13:00:00,2_52822383118E-06
2024.08.10 14:00:00,2_66150345851E-06
2024.08.10 15:00:00,2_70982877737E-06
2024.08.10 16:00:00,2_69198744718E-06
2024.08.10 17:00:00,2_66378742708E-06
2024.08.10 18:00:00,2_60946467279E-06
2024.08.10 19:00:00,2_52051063399E-06
2024.08.10 20:00:00,2_42060400524E-06
2024.08.10 21:00:00,2_32368211073E-06
2024.08.10 22:00:00,2_22022163143E-06
2024.08.10 23:00:00,2_11365249925E-06
2024.08.11 00:00:00,2_02395290216E-06
2024.08.11 01:00:00,1_94688800548E-06
2024.08.11 02:00:00,1_87717648714E-06
2024.08.11 03:00:00,1_82520818726E-06
2024.08.11 04:00:00,1_78853997568E-06
2024.08.11 05:00:00,1_76053129053E-06
2024.08.11 06:00:00,1_73399882897E-06
2024.08.11 07:00:00,1_709027174E-06
2024.08.11 08:00:00,1_6855802869E-06
2024.08.11 09:00:00,1_66958943737E-06
2024.08.11 10:00:00,1_66216477737E-06
2024.08.11 11:00:00,1_65563983501E-06
2024.08.11 12:00:00,1_65697360899E-06
2024.08.11 13:00:00,1_66434938365E-06
2024.08.11 14:00:00,1_66800293755E-06
2024.08.11 15:00:00,1_66117285971E-06
2024.08.11 16:00:00,1_64709751971E-06
2024.08.11 17:00:00,1_63017489285E-06
2024.08.11 18:00:00,1_61328273407E-06
2024.08.11 19:00:00,1_59601802352E-06
2024.08.11 20:00:00,1_58200634814E-06
2024.08.11 21:00:00,1_57382828547E-06
2024.08.11 22:00:00,1_56806299856E-06
2024.08.11 23:00:00,1_5611182107E-06
2024.08.12 00:00:00,1_55549571446E-06
2024.08.12 01:00:00,1_55154521053E-06
2024.08.12 02:00:00,1_5489041516E-06
2024.08.12 03:00:00,1_54562610533E-06
2024.08.12 04:00:00,1_54451049639E-06
2024.08.12 05:00:00,1_54567408117E-06
2024.08.12 06:00:00,1_54921372086E-06
2024.08.12 07:00:00,1_55469535912E-06
2024.08.12 08:00:00,1_55943121172E-06
2024.08.12 09:00:00,1_56321561917E-06
2024.08.12 10:00:00,1_56693317876E-06
2024.08.12 11:00:00,1_56778139626E-06
2024.08.12 12:00:00,1_56874750701E-06
2024.08.12 13:00:00,1_57135161771E-06
2024.08.12 14:00:00,1_58122099947E-06
2024.08.12 15:00:00,1_60529759796E-06
2024.08.12 16:00:00,1_63936033459E-06
2024.08.12 17:00:00,1_66549295955E-06
2024.08.12 18:00:00,1_68360816133E-06
2024.08.12 19:00:00,1_7096093643E-06
2024.08.12 20:00:00,1_74214346771E-06
2024.08.12 21:00:00,1_77889228326E-06
2024.08.12 22:00:00,1_82240103186E-06
2024.08.12 23:00:00,1_87789225947E-06
2024.08.13 00:00:00,1_93620826394E-06
2024.08.13 01:00:00,1_98958696274E-06
2024.08.13 02:00:00,2_02910086955E-06
2024.08.13 03:00:00,2_05366222872E-06
2024.08.13 04:00:00,2_06539425562E-06
2024.08.13 05:00:00,2_07838002098E-06
2024.08.13 06:00:00,2_09361655834E-06
2024.08.13 07:00:00,2_10571647585E-06
2024.08.13 08:00:00,2_1128842036E-06
2024.08.13 09:00:00,2_10048119698E-06
2024.08.13 10:00:00,2_04923458114E-06
2024.08.13 11:00:00,1_97456142814E-06
2024.08.13 12:00:00,1_90358127838E-06
2024.08.13 13:00:00,1_8567080815E-06
2024.08.13 14:00:00,1_83107113116E-06
2024.08.13 15:00:00,1_81700818302E-06
2024.08.13 16:00:00,1_81122550202E-06
2024.08.13 17:00:00,1_80721212928E-06
2024.08.13 18:00:00,1_80209474365E-06
2024.08.13 19:00:00,1_79794210453E-06
2024.08.13 20:00:00,1_79742858109E-06
2024.08.13 21:00:00,1_79815185675E-06
2024.08.13 22:00:00,1_79541666512E-06
2024.08.13 23:00:00,1_7958685703E-06
2024.08.14 00:00:00,1_79822018254E-06
2024.08.14 01:00:00,1_80160304808E-06
2024.08.14 02:00:00,1_80732183708E-06
2024.08.14 03:00:00,1_82721817055E-06
2024.08.14 04:00:00,1_85706267075E-06
2024.08.14 05:00:00,1_88959006664E-06
2024.08.14 06:00:00,1_92546599465E-06
2024.08.14 07:00:00,1_96198311642E-06
2024.08.14 08:00:00,1_99952501134E-06
2024.08.14 09:00:00,2_04265370485E-06
2024.08.14 10:00:00,2_09126369555E-06
2024.08.14 11:00:00,2_13985731534E-06
2024.08.14 12:00:00,2_19698858928E-06
2024.08.14 13:00:00,2_26604333875E-06
2024.08.14 14:00:00,2_33892319557E-06
2024.08.14 15:00:00,2_41137513513E-06
2024.08.14 16:00:00,2_47416824095E-06
2024.08.14 17:00:00,2_51789310823E-06
2024.08.14 18:00:00,2_553166496E-06
2024.08.14 19:00:00,2_57976921603E-06
2024.08.14 20:00:00,2_59789135271E-06
2024.08.14 21:00:00,2_60345768766E-06
2024.08.14 22:00:00,2_58642307926E-06
2024.08.14 23:00:00,2_55254644799E-06
2024.08.15 00:00:00,2_5199672109E-06
2024.08.15 01:00:00,2_48861351793E-06
2024.08.15 02:00:00,2_45729279413E-06
2024.08.15 03:00:00,2_42521628024E-06
2024.08.15 04:00:00,2_39221822085E-06
2024.08.15 05:00:00,2_35232641899E-06
2024.08.15 06:00:00,2_30867090067E-06
2024.08.15 07:00:00,2_2625197289E-06
2024.08.15 08:00:00,2_22010658035E-06
2024.08.15 09:00:00,2_18795230467E-06
2024.08.15 10:00:00,2_16794387597E-06
2024.08.15 11:00:00,2_15598879549E-06
2024.08.15 12:00:00,2_15097429646E-06
2024.08.15 13:00:00,2_15429145101E-06
2024.08.15 14:00:00,2_16566377276E-06
2024.08.15 15:00:00,2_18242894334E-06
2024.08.15 16:00:00,2_20747892854E-06
2024.08.15 17:00:00,2_2288704713E-06
2024.08.15 18:00:00,2_24251061809E-06
2024.08.15 19:00:00,2_24831205742E-06
2024.08.15 20:00:00,2_24647305913E-06
2024.08.15 21:00:00,2_23728466153E-06
2024.08.15 22:00:00,2_22338348976E-06
2024.08.15 23:00:00,2_21229583985E-06
2024.08.16 00:00:00,2_20245919991E-06
2024.08.16 01:00:00,2_19259709411E-06
2024.08.16 02:00:00,2_18427885557E-06
2024.08.16 03:00:00,2_17767478716E-06
2024.08.16 04:00:00,2_17177807826E-06
2024.08.16 05:00:00,2_16476610149E-06
2024.08.16 06:00:00,2_15755585486E-06
2024.08.16 07:00:00,2_15099703382E-06
2024.08.16 08:00:00,2_1434170776E-06
2024.08.16 09:00:00,2_13189628084E-06
2024.08.16 10:00:00,2_11699261854E-06
2024.08.16 11:00:00,2_10193434214E-06
2024.08.16 12:00:00,2_08900451071E-06
2024.08.16 13:00:00,2_07892298931E-06
2024.08.16 14:00:00,2_07185030376E-06
2024.08.16 15:00:00,2_06771051126E-06
2024.08.16 16:00:00,2_06458616958E-06
2024.08.16 17:00:00,2_06241452361E-06
2024.08.16 18:00:00,2_0613763354E-06
2024.08.16 19:00:00,2_06025515581E-06
2024.08.16 20:00:00,2_05771402761E-06
2024.08.16 21:00:00,2_0536822376E-06
2024.08.16 22:00:00,2_04841194318E-06
2024.08.16 23:00:00,2_04201364795E-06
2024.08.17 00:00:00,2_0347147256E-06
2024.08.17 01:00:00,2_02808428185E-06
2024.08.17 02:00:00,2_02273690775E-06
2024.08.17 03:00:00,2_01924763132E-06
2024.08.17 04:00:00,2_01664784072E-06
2024.08.17 05:00:00,2_01457874027E-06
2024.08.17 06:00:00,2_01182888304E-06
2024.08.17 07:00:00,2_00584076993E-06
2024.08.17 08:00:00,1_99201463147E-06
2024.08.17 09:00:00,1_97550525627E-06
2024.08.17 10:00:00,1_96253313334E-06
2024.08.17 11:00:00,1_95428151528E-06
2024.08.17 12:00:00,1_95049619833E-06
2024.08.17 13:00:00,1_95001643988E-06
2024.08.17 14:00:00,1_95221832655E-06
2024.08.17 15:00:00,1_95529310076E-06
2024.08.17 16:00:00,1_9579738364E-06
2024.08.17 17:00:00,1_96096220861E-06
2024.08.17 18:00:00,1_96371843231E-06
2024.08.17 19:00:00,1_96614450942E-06
2024.08.17 20:00:00,1_97131566892E-06
2024.08.17 21:00:00,1_97926715373E-06
2024.08.17 22:00:00,1_98949601327E-06
2024.08.17 23:00:00,1_9990434339E-06
2024.08.18 00:00:00,2_00704266717E-06
2024.08.18 01:00:00,2_01246257348E-06
2024.08.18 02:00:00,2_01809803002E-06
2024.08.18 03:00:00,2_02054684451E-06
2024.08.18 04:00:00,2_02005389838E-06
2024.08.18 05:00:00,2_01930220101E-06
2024.08.18 06:00:00,2_01958368962E-06
