Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.06 19:00:00,3_23509066757E-11
2024.08.06 20:00:00,3_24497824444E-11
2024.08.06 21:00:00,3_25503790588E-11
2024.08.06 22:00:00,3_26430826814E-11
2024.08.06 23:00:00,3_27445535964E-11
2024.08.07 00:00:00,3_28682879525E-11
2024.08.07 01:00:00,3_30570813778E-11
2024.08.07 02:00:00,3_32500658951E-11
2024.08.07 03:00:00,3_34086265597E-11
2024.08.07 04:00:00,3_35732656953E-11
2024.08.07 05:00:00,3_36982559912E-11
2024.08.07 06:00:00,3_38372767306E-11
2024.08.07 07:00:00,3_40105409113E-11
2024.08.07 08:00:00,3_41820564909E-11
2024.08.07 09:00:00,3_43024983418E-11
2024.08.07 10:00:00,3_44106167172E-11
2024.08.07 11:00:00,3_45283662773E-11
2024.08.07 12:00:00,3_46504630544E-11
2024.08.07 13:00:00,3_48082257462E-11
2024.08.07 14:00:00,3_49729828431E-11
2024.08.07 15:00:00,3_51358941941E-11
2024.08.07 16:00:00,3_52707828222E-11
2024.08.07 17:00:00,3_54085892551E-11
2024.08.07 18:00:00,3_55419409181E-11
2024.08.07 19:00:00,3_56878554486E-11
2024.08.07 20:00:00,3_58542917578E-11
2024.08.07 21:00:00,3_6092764194E-11
2024.08.07 22:00:00,3_632772555E-11
2024.08.07 23:00:00,3_65284677506E-11
2024.08.08 00:00:00,3_67538707802E-11
2024.08.08 01:00:00,3_69667560451E-11
2024.08.08 02:00:00,3_71365854734E-11
2024.08.08 03:00:00,3_73177079516E-11
2024.08.08 04:00:00,3_75522182794E-11
2024.08.08 05:00:00,3_77820656705E-11
2024.08.08 06:00:00,3_80090993402E-11
2024.08.08 07:00:00,3_82790361908E-11
2024.08.08 08:00:00,3_85888578036E-11
2024.08.08 09:00:00,3_89116308619E-11
2024.08.08 10:00:00,3_95099092332E-11
2024.08.08 11:00:00,4_13921848186E-11
2024.08.08 12:00:00,4_91757190524E-11
2024.08.08 13:00:00,6_15409806448E-11
2024.08.08 14:00:00,6_88839957297E-11
2024.08.08 15:00:00,9_24095799881E-11
2024.08.08 16:00:00,1_69193270505E-10
2024.08.08 17:00:00,3_03847030869E-10
2024.08.08 18:00:00,3_46751988234E-10
2024.08.08 19:00:00,3_61407626048E-10
2024.08.08 20:00:00,3_849542074E-10
2024.08.08 21:00:00,4_1746103796E-10
2024.08.08 22:00:00,4_62620386443E-10
2024.08.08 23:00:00,5_29190025134E-10
2024.08.09 00:00:00,6_0014981873E-10
2024.08.09 01:00:00,6_86103340808E-10
2024.08.09 02:00:00,7_87327147922E-10
2024.08.09 03:00:00,8_71479943765E-10
2024.08.09 04:00:00,9_63777724294E-10
2024.08.09 05:00:00,1_05446484877E-09
2024.08.09 06:00:00,1_11204900843E-09
2024.08.09 07:00:00,1_16250875593E-09
2024.08.09 08:00:00,1_23302157373E-09
2024.08.09 09:00:00,1_31382160706E-09
2024.08.09 10:00:00,1_44681500114E-09
2024.08.09 11:00:00,1_8787140732E-09
2024.08.09 12:00:00,2_71475353308E-09
2024.08.09 13:00:00,3_59124885385E-09
2024.08.09 14:00:00,3_79166609221E-09
2024.08.09 15:00:00,3_76387720991E-09
2024.08.09 16:00:00,3_65199914754E-09
2024.08.09 17:00:00,3_61901442147E-09
2024.08.09 18:00:00,3_53006690545E-09
2024.08.09 19:00:00,3_51836360046E-09
2024.08.09 20:00:00,3_54722518026E-09
2024.08.09 21:00:00,3_61668983651E-09
2024.08.09 22:00:00,3_79819864449E-09
2024.08.09 23:00:00,4_01812139117E-09
2024.08.10 00:00:00,4_14762313383E-09
2024.08.10 01:00:00,4_18807566405E-09
2024.08.10 02:00:00,4_21119272787E-09
2024.08.10 03:00:00,4_25963975204E-09
2024.08.10 04:00:00,4_31060653838E-09
2024.08.10 05:00:00,4_38106351197E-09
2024.08.10 06:00:00,4_4746077954E-09
2024.08.10 07:00:00,4_56636195523E-09
2024.08.10 08:00:00,4_68815919419E-09
2024.08.10 09:00:00,4_83771911419E-09
2024.08.10 10:00:00,5_06676567369E-09
2024.08.10 11:00:00,5_413133497E-09
2024.08.10 12:00:00,5_78300030085E-09
2024.08.10 13:00:00,5_94949067789E-09
2024.08.10 14:00:00,5_94848303948E-09
2024.08.10 15:00:00,5_98027716237E-09
2024.08.10 16:00:00,5_96083404858E-09
2024.08.10 17:00:00,5_88946935665E-09
2024.08.10 18:00:00,5_87880943925E-09
2024.08.10 19:00:00,5_91310556075E-09
2024.08.10 20:00:00,5_95844040774E-09
2024.08.10 21:00:00,6_02074257117E-09
2024.08.10 22:00:00,6_10389783162E-09
2024.08.10 23:00:00,6_17151485471E-09
2024.08.11 00:00:00,6_2421818825E-09
2024.08.11 01:00:00,6_30387564371E-09
2024.08.11 02:00:00,6_36079144911E-09
2024.08.11 03:00:00,6_41296171722E-09
2024.08.11 04:00:00,6_45676223598E-09
2024.08.11 05:00:00,6_48093623212E-09
2024.08.11 06:00:00,6_52631193532E-09
2024.08.11 07:00:00,6_56754917117E-09
2024.08.11 08:00:00,6_60743237901E-09
2024.08.11 09:00:00,6_65736354932E-09
2024.08.11 10:00:00,6_73019817654E-09
2024.08.11 11:00:00,6_81393119706E-09
2024.08.11 12:00:00,6_92967816462E-09
2024.08.11 13:00:00,7_03450542261E-09
2024.08.11 14:00:00,7_07934333377E-09
2024.08.11 15:00:00,7_0640275851E-09
2024.08.11 16:00:00,7_03078040232E-09
2024.08.11 17:00:00,7_01831837091E-09
2024.08.11 18:00:00,7_01680269444E-09
2024.08.11 19:00:00,7_06244485116E-09
2024.08.11 20:00:00,7_12990599894E-09
2024.08.11 21:00:00,7_1907249044E-09
2024.08.11 22:00:00,7_24830995225E-09
2024.08.11 23:00:00,7_30978477748E-09
2024.08.12 00:00:00,7_37735073031E-09
2024.08.12 01:00:00,7_43199146669E-09
2024.08.12 02:00:00,7_48330730715E-09
2024.08.12 03:00:00,7_54555085081E-09
2024.08.12 04:00:00,7_61106733194E-09
2024.08.12 05:00:00,7_6649389058E-09
2024.08.12 06:00:00,7_72368480284E-09
2024.08.12 07:00:00,7_7763919748E-09
2024.08.12 08:00:00,7_81502507152E-09
2024.08.12 09:00:00,7_85031595285E-09
2024.08.12 10:00:00,7_90073340085E-09
2024.08.12 11:00:00,7_94480481403E-09
2024.08.12 12:00:00,8_00324784223E-09
2024.08.12 13:00:00,8_07902367228E-09
2024.08.12 14:00:00,8_2238909016E-09
2024.08.12 15:00:00,8_34433144803E-09
2024.08.12 16:00:00,8_4084303964E-09
2024.08.12 17:00:00,8_45833358909E-09
2024.08.12 18:00:00,8_52262083129E-09
2024.08.12 19:00:00,8_58644355617E-09
2024.08.12 20:00:00,8_65995630761E-09
2024.08.12 21:00:00,8_74979111387E-09
2024.08.12 22:00:00,8_82770567756E-09
2024.08.12 23:00:00,8_94458285217E-09
2024.08.13 00:00:00,9_05357921965E-09
2024.08.13 01:00:00,9_17186060434E-09
2024.08.13 02:00:00,9_29711330144E-09
2024.08.13 03:00:00,9_43591782487E-09
2024.08.13 04:00:00,9_5847152437E-09
2024.08.13 05:00:00,9_72949809608E-09
2024.08.13 06:00:00,9_86842341177E-09
2024.08.13 07:00:00,1_0000198003E-08
2024.08.13 08:00:00,1_01304440392E-08
2024.08.13 09:00:00,1_02370494304E-08
2024.08.13 10:00:00,1_03638564397E-08
2024.08.13 11:00:00,1_05306510179E-08
2024.08.13 12:00:00,1_06634248098E-08
2024.08.13 13:00:00,1_08028572754E-08
2024.08.13 14:00:00,1_09535323034E-08
2024.08.13 15:00:00,1_1084790863E-08
2024.08.13 16:00:00,1_11624363086E-08
2024.08.13 17:00:00,1_12297007249E-08
2024.08.13 18:00:00,1_13676605906E-08
2024.08.13 19:00:00,1_15486225027E-08
2024.08.13 20:00:00,1_17226184315E-08
2024.08.13 21:00:00,1_18964846862E-08
2024.08.13 22:00:00,1_207938638E-08
2024.08.13 23:00:00,1_22777352729E-08
2024.08.14 00:00:00,1_24668142476E-08
2024.08.14 01:00:00,1_26385826249E-08
2024.08.14 02:00:00,1_26841408488E-08
2024.08.14 03:00:00,1_29298349805E-08
2024.08.14 04:00:00,1_32549855536E-08
2024.08.14 05:00:00,1_35706335058E-08
2024.08.14 06:00:00,1_38682896278E-08
