Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.07 05:00:00,6_81056044414E-05
2024.08.07 06:00:00,6_76996205584E-05
2024.08.07 07:00:00,6_65822080919E-05
2024.08.07 08:00:00,6_60005462123E-05
2024.08.07 09:00:00,6_55056428513E-05
2024.08.07 10:00:00,6_44955143798E-05
2024.08.07 11:00:00,6_3682324253E-05
2024.08.07 12:00:00,6_22282532277E-05
2024.08.07 13:00:00,6_197928451E-05
2024.08.07 14:00:00,6_11382420175E-05
2024.08.07 15:00:00,6_06966532359E-05
2024.08.07 16:00:00,6_07209694863E-05
2024.08.07 17:00:00,6_07765396126E-05
2024.08.07 18:00:00,6_11424766248E-05
2024.08.07 19:00:00,6_14258751739E-05
2024.08.07 20:00:00,6_16005781922E-05
2024.08.07 21:00:00,6_14992168266E-05
2024.08.07 22:00:00,6_13143856754E-05
2024.08.07 23:00:00,6_11473951722E-05
2024.08.08 00:00:00,6_08736336289E-05
2024.08.08 01:00:00,6_01268875471E-05
2024.08.08 02:00:00,5_95629026066E-05
2024.08.08 03:00:00,5_93867262069E-05
2024.08.08 04:00:00,5_8953424741E-05
2024.08.08 05:00:00,5_84370900469E-05
2024.08.08 06:00:00,5_79363986617E-05
2024.08.08 07:00:00,5_74705227336E-05
2024.08.08 08:00:00,5_6939512433E-05
2024.08.08 09:00:00,5_63964931644E-05
2024.08.08 10:00:00,5_63809880987E-05
2024.08.08 11:00:00,5_62568129681E-05
2024.08.08 12:00:00,5_58819701837E-05
2024.08.08 13:00:00,5_50740624021E-05
2024.08.08 14:00:00,5_42177403986E-05
2024.08.08 15:00:00,5_36556763109E-05
2024.08.08 16:00:00,5_3316118283E-05
2024.08.08 17:00:00,5_2782761486E-05
2024.08.08 18:00:00,5_19546629221E-05
2024.08.08 19:00:00,5_09332276124E-05
2024.08.08 20:00:00,5_02337679791E-05
2024.08.08 21:00:00,4_97712353535E-05
2024.08.08 22:00:00,4_92386498081E-05
2024.08.08 23:00:00,4_86059070681E-05
2024.08.09 00:00:00,4_84326956212E-05
2024.08.09 01:00:00,4_81139613839E-05
2024.08.09 02:00:00,4_7940229706E-05
2024.08.09 03:00:00,4_76596251247E-05
2024.08.09 04:00:00,4_73333602713E-05
2024.08.09 05:00:00,4_70305130875E-05
2024.08.09 06:00:00,4_67045319965E-05
2024.08.09 07:00:00,4_6073080739E-05
2024.08.09 08:00:00,4_50188708783E-05
2024.08.09 09:00:00,4_39952345914E-05
2024.08.09 10:00:00,4_34353933088E-05
2024.08.09 11:00:00,4_38114984718E-05
2024.08.09 12:00:00,4_47125385108E-05
2024.08.09 13:00:00,4_51969426649E-05
2024.08.09 14:00:00,4_54730179626E-05
2024.08.09 15:00:00,4_5082437282E-05
2024.08.09 16:00:00,4_4507880375E-05
2024.08.09 17:00:00,4_4004067604E-05
2024.08.09 18:00:00,4_35760848632E-05
2024.08.09 19:00:00,4_32889391959E-05
2024.08.09 20:00:00,4_29360115959E-05
2024.08.09 21:00:00,4_27055601904E-05
2024.08.09 22:00:00,4_23665078415E-05
2024.08.09 23:00:00,4_17520786868E-05
2024.08.10 00:00:00,4_17348055635E-05
2024.08.10 01:00:00,4_16811126343E-05
2024.08.10 02:00:00,4_13644047512E-05
2024.08.10 03:00:00,4_10861975979E-05
2024.08.10 04:00:00,4_09066487919E-05
2024.08.10 05:00:00,4_0876580897E-05
2024.08.10 06:00:00,4_07137122238E-05
2024.08.10 07:00:00,4_05005775974E-05
2024.08.10 08:00:00,4_02430341637E-05
2024.08.10 09:00:00,4_01005199819E-05
2024.08.10 10:00:00,4_00089993491E-05
2024.08.10 11:00:00,3_99576747441E-05
2024.08.10 12:00:00,4_00032804464E-05
2024.08.10 13:00:00,3_9812985051E-05
2024.08.10 14:00:00,3_94021408283E-05
2024.08.10 15:00:00,3_90486202377E-05
2024.08.10 16:00:00,3_85925122828E-05
2024.08.10 17:00:00,3_83873993997E-05
2024.08.10 18:00:00,3_82100879506E-05
2024.08.10 19:00:00,3_79585035262E-05
2024.08.10 20:00:00,3_77375581593E-05
2024.08.10 21:00:00,3_76861389668E-05
2024.08.10 22:00:00,3_75624913431E-05
2024.08.10 23:00:00,3_74975970772E-05
2024.08.11 00:00:00,3_73997499992E-05
2024.08.11 01:00:00,3_72934555344E-05
2024.08.11 02:00:00,3_72018694179E-05
2024.08.11 03:00:00,3_7118261389E-05
2024.08.11 04:00:00,3_70371744793E-05
2024.08.11 05:00:00,3_69234476238E-05
2024.08.11 06:00:00,3_67981192539E-05
2024.08.11 07:00:00,3_66235035472E-05
2024.08.11 08:00:00,3_64141669706E-05
2024.08.11 09:00:00,3_62160717486E-05
2024.08.11 10:00:00,3_61019847333E-05
2024.08.11 11:00:00,3_59183686669E-05
2024.08.11 12:00:00,3_58218130714E-05
2024.08.11 13:00:00,3_56939235644E-05
2024.08.11 14:00:00,3_55628835678E-05
2024.08.11 15:00:00,3_53113318852E-05
2024.08.11 16:00:00,3_52313109033E-05
2024.08.11 17:00:00,3_5048557038E-05
2024.08.11 18:00:00,3_49122019543E-05
2024.08.11 19:00:00,3_48641224264E-05
2024.08.11 20:00:00,3_47989007423E-05
2024.08.11 21:00:00,3_4737498936E-05
2024.08.11 22:00:00,3_46506712958E-05
2024.08.11 23:00:00,3_45535372617E-05
2024.08.12 00:00:00,3_44688050973E-05
2024.08.12 01:00:00,3_43540996255E-05
2024.08.12 02:00:00,3_42227758665E-05
2024.08.12 03:00:00,3_40940241585E-05
2024.08.12 04:00:00,3_39880934916E-05
2024.08.12 05:00:00,3_38696736435E-05
2024.08.12 06:00:00,3_37572455464E-05
2024.08.12 07:00:00,3_36184202752E-05
2024.08.12 08:00:00,3_33979660354E-05
2024.08.12 09:00:00,3_32061536028E-05
2024.08.12 10:00:00,3_3067419281E-05
2024.08.12 11:00:00,3_28346905007E-05
2024.08.12 12:00:00,3_27693160216E-05
2024.08.12 13:00:00,3_27586931235E-05
2024.08.12 14:00:00,3_2706422644E-05
2024.08.12 15:00:00,3_27061898133E-05
2024.08.12 16:00:00,3_25905602949E-05
2024.08.12 17:00:00,3_24580068991E-05
2024.08.12 18:00:00,3_23567364831E-05
2024.08.12 19:00:00,3_22499909089E-05
2024.08.12 20:00:00,3_21771294693E-05
2024.08.12 21:00:00,3_21471197822E-05
2024.08.12 22:00:00,3_19714708894E-05
2024.08.12 23:00:00,3_19596365443E-05
2024.08.13 00:00:00,3_18776255881E-05
2024.08.13 01:00:00,3_18037673424E-05
2024.08.13 02:00:00,3_17532940244E-05
