Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.07 03:00:00,4_09487038269E-05
2024.08.07 04:00:00,4_0305814764E-05
2024.08.07 05:00:00,3_99995151383E-05
2024.08.07 06:00:00,3_96503019147E-05
2024.08.07 07:00:00,3_8861289795E-05
2024.08.07 08:00:00,3_8409652916E-05
2024.08.07 09:00:00,3_80158453481E-05
2024.08.07 10:00:00,3_72943031834E-05
2024.08.07 11:00:00,3_66732092516E-05
2024.08.07 12:00:00,3_563116843E-05
2024.08.07 13:00:00,3_5397184547E-05
2024.08.07 14:00:00,3_48009889422E-05
2024.08.07 15:00:00,3_44494692399E-05
2024.08.07 16:00:00,3_43810497725E-05
2024.08.07 17:00:00,3_43098217854E-05
2024.08.07 18:00:00,3_44361906173E-05
2024.08.07 19:00:00,3_45180706063E-05
2024.08.07 20:00:00,3_4538381442E-05
2024.08.07 21:00:00,3_43778992828E-05
2024.08.07 22:00:00,3_41736813425E-05
2024.08.07 23:00:00,3_39929174515E-05
2024.08.08 00:00:00,3_37641140504E-05
2024.08.08 01:00:00,3_32051095029E-05
2024.08.08 02:00:00,3_27428497258E-05
2024.08.08 03:00:00,3_25844121107E-05
2024.08.08 04:00:00,3_22702726407E-05
2024.08.08 05:00:00,3_19025457429E-05
2024.08.08 06:00:00,3_15418074024E-05
2024.08.08 07:00:00,3_11921103275E-05
2024.08.08 08:00:00,3_08072922053E-05
2024.08.08 09:00:00,3_03640390484E-05
2024.08.08 10:00:00,3_02355147141E-05
2024.08.08 11:00:00,3_01739019051E-05
2024.08.08 12:00:00,2_99575385725E-05
2024.08.08 13:00:00,2_94350284094E-05
2024.08.08 14:00:00,2_88517167064E-05
2024.08.08 15:00:00,2_8398600989E-05
2024.08.08 16:00:00,2_82408091152E-05
2024.08.08 17:00:00,2_79179184872E-05
2024.08.08 18:00:00,2_74162866845E-05
2024.08.08 19:00:00,2_67761570285E-05
2024.08.08 20:00:00,2_62946250587E-05
2024.08.08 21:00:00,2_59400239884E-05
2024.08.08 22:00:00,2_55608392763E-05
2024.08.08 23:00:00,2_51615165325E-05
2024.08.09 00:00:00,2_50379107456E-05
2024.08.09 01:00:00,2_48069354711E-05
2024.08.09 02:00:00,2_46635208896E-05
2024.08.09 03:00:00,2_44492857746E-05
2024.08.09 04:00:00,2_42076621362E-05
2024.08.09 05:00:00,2_39798355324E-05
2024.08.09 06:00:00,2_37386157096E-05
2024.08.09 07:00:00,2_33275422943E-05
2024.08.09 08:00:00,2_26865977311E-05
2024.08.09 09:00:00,2_20669953706E-05
2024.08.09 10:00:00,2_16945391003E-05
2024.08.09 11:00:00,2_18290715566E-05
2024.08.09 12:00:00,2_22669732466E-05
2024.08.09 13:00:00,2_24741106649E-05
2024.08.09 14:00:00,2_25898711506E-05
2024.08.09 15:00:00,2_23221868509E-05
2024.08.09 16:00:00,2_19457651838E-05
2024.08.09 17:00:00,2_16067237488E-05
2024.08.09 18:00:00,2_13076018554E-05
2024.08.09 19:00:00,2_11084425246E-05
2024.08.09 20:00:00,2_08861947613E-05
2024.08.09 21:00:00,2_07286811928E-05
2024.08.09 22:00:00,2_05172018468E-05
2024.08.09 23:00:00,2_01572966034E-05
2024.08.10 00:00:00,2_00973463507E-05
2024.08.10 01:00:00,2_00170234166E-05
2024.08.10 02:00:00,1_98010748136E-05
2024.08.10 03:00:00,1_96116507141E-05
2024.08.10 04:00:00,1_94712756638E-05
2024.08.10 05:00:00,1_9412196707E-05
2024.08.10 06:00:00,1_92811912711E-05
2024.08.10 07:00:00,1_91241870198E-05
2024.08.10 08:00:00,1_89419042727E-05
2024.08.10 09:00:00,1_8818414901E-05
2024.08.10 10:00:00,1_87208370335E-05
2024.08.10 11:00:00,1_86480574484E-05
2024.08.10 12:00:00,1_86391116586E-05
2024.08.10 13:00:00,1_85011831491E-05
2024.08.10 14:00:00,1_82431467692E-05
2024.08.10 15:00:00,1_80185052159E-05
2024.08.10 16:00:00,1_77503134182E-05
2024.08.10 17:00:00,1_7604608729E-05
2024.08.10 18:00:00,1_74775395863E-05
2024.08.10 19:00:00,1_73115131474E-05
2024.08.10 20:00:00,1_7161039068E-05
2024.08.10 21:00:00,1_71021529241E-05
2024.08.10 22:00:00,1_70025778061E-05
2024.08.10 23:00:00,1_69325885508E-05
2024.08.11 00:00:00,1_68442329596E-05
2024.08.11 01:00:00,1_67514117493E-05
2024.08.11 02:00:00,1_66671434272E-05
2024.08.11 03:00:00,1_65867295436E-05
2024.08.11 04:00:00,1_65071051015E-05
2024.08.11 05:00:00,1_64121593116E-05
2024.08.11 06:00:00,1_63124695973E-05
2024.08.11 07:00:00,1_61865627888E-05
2024.08.11 08:00:00,1_60405015777E-05
2024.08.11 09:00:00,1_58986658789E-05
2024.08.11 10:00:00,1_5804404029E-05
2024.08.11 11:00:00,1_5672747395E-05
2024.08.11 12:00:00,1_55869856826E-05
2024.08.11 13:00:00,1_54860645125E-05
2024.08.11 14:00:00,1_53881228471E-05
2024.08.11 15:00:00,1_52274751599E-05
2024.08.11 16:00:00,1_51566791828E-05
2024.08.11 17:00:00,1_50286432472E-05
2024.08.11 18:00:00,1_49251172843E-05
2024.08.11 19:00:00,1_48697281475E-05
2024.08.11 20:00:00,1_48057952174E-05
2024.08.11 21:00:00,1_47443070091E-05
2024.08.11 22:00:00,1_46699330799E-05
2024.08.11 23:00:00,1_45899293784E-05
2024.08.12 00:00:00,1_45168705785E-05
2024.08.12 01:00:00,1_44290961543E-05
2024.08.12 02:00:00,1_43350544022E-05
2024.08.12 03:00:00,1_42421595228E-05
2024.08.12 04:00:00,1_41606760735E-05
2024.08.12 05:00:00,1_40736165122E-05
2024.08.12 06:00:00,1_39907042467E-05
2024.08.12 07:00:00,1_38939449243E-05
2024.08.12 08:00:00,1_37522310979E-05
