Column,Max Value,Datetime
Blast Site,2.38502025604,2024-08-01 05:00:00
Spjelkavikelva,0.0024906755425,2024-08-01 12:00:00
Vasstrandlia Pump Intake,4.90995989821e-05,2024-08-08 17:00:00
Profiler,1.60462113854e-05,2024-08-08 20:00:00
Nørebotnen,4.96582242704e-06,2024-10-26 14:00:00
